Tool 1     Tool 2     System 1   System 2         Median         Mean          Max     Std.Dev.
----------------------------------------------------------------------------------------------
astropy    kapteyn    fk5        fk4         2169.828887  1958.594354  2513.714879   576.026515
astropy    pyast      fk5        fk4         2169.829024  1958.594500  2513.715597   576.026587
astropy    pyephem    fk5        fk4         2169.186255  1958.187325  2513.546641   575.920348
astropy    pyslalib   fk5        fk4         2169.829024  1958.594500  2513.715597   576.026587
kapteyn    pyast      fk5        fk4            0.004450     0.004216     0.006194     0.001322
kapteyn    pyephem    fk5        fk4            0.564712     0.574623     1.020032     0.254971
kapteyn    pyslalib   fk5        fk4            0.004449     0.004216     0.006194     0.001322
pyast      pyephem    fk5        fk4            0.564797     0.574896     1.019420     0.254471
pyast      pyslalib   fk5        fk4            0.000000     0.000000     0.000003     0.000000
pyephem    pyslalib   fk5        fk4            0.564797     0.574896     1.019420     0.254471
astrolib   astropy    fk5        fk4         2169.829021  1958.594501  2513.715603   576.026587
astrolib   kapteyn    fk5        fk4            0.004450     0.004217     0.006189     0.001322
astrolib   pyast      fk5        fk4            0.000007     0.000007     0.000014     0.000003
astrolib   pyephem    fk5        fk4            0.564799     0.574899     1.019430     0.254471
astrolib   pyslalib   fk5        fk4            0.000007     0.000007     0.000014     0.000003
astropy    kapteyn    fk5        icrs           0.000000     0.000000     0.000000     0.000000
astropy    novas      fk5        icrs           0.025768     0.023355     0.030023     0.006856
astropy    pyast      fk5        icrs           0.000000     0.000000     0.000000     0.000000
astropy    pyslalib   fk5        icrs           0.000000     0.000000     0.000000     0.000000
kapteyn    novas      fk5        icrs           0.025768     0.023355     0.030023     0.006856
kapteyn    pyast      fk5        icrs           0.000000     0.000000     0.000000     0.000000
kapteyn    pyslalib   fk5        icrs           0.000000     0.000000     0.000000     0.000000
novas      pyast      fk5        icrs           0.025768     0.023355     0.030023     0.006856
novas      pyslalib   fk5        icrs           0.025768     0.023355     0.030023     0.006856
pyast      pyslalib   fk5        icrs           0.000000     0.000000     0.000000     0.000000
astropy    kapteyn    fk5        galactic       0.349018     0.315269     0.403352     0.091704
astropy    pyast      fk5        galactic       0.349473     0.315815     0.404028     0.091816
astropy    pyephem    fk5        galactic       0.350211     0.315151     0.403089     0.091718
