            lon             lat
--------------- ---------------
  75.1444455283  -19.5842286440
 172.3126950322   32.5895491956
 143.4483729749    1.2524335540
 116.6213384825   22.8850991546
  59.1313186815   63.2195925402
 345.2535614408   53.5120815432
  18.2324373515  -78.5534843088
 349.4738746357   30.7789974723
  13.1733662695    4.0953320326
  68.3835668136   41.2836956329
   0.5380245028   -2.6283321639
  90.1900755563    3.4631871029
 101.5279424581  -51.6924363674
 116.4590672553    2.3606365803
 207.0064406180    8.1459854607
 297.7456607848  -14.3517358485
  55.8682139486    7.8079081976
  55.9007878301  -16.2479889330
  75.7395270583  -52.2757438122
  13.8610651467   14.6352438630
  38.2669610778   47.2383575460
  53.5323577744   30.1039931024
 257.4707856407   52.4328834715
 243.3520129053   -8.7853527055
 147.8781692740   69.2748454982
  47.5222119110   25.8847962673
 347.9142650347  -88.2210068863
 347.4856940620   19.2486745191
  28.2452573645   -4.0717876524
 185.3161458457  -31.3424798219
 149.6093443676  -78.6135228220
  59.4653959547   12.8805799542
  52.7530902284  -36.6543993213
 102.4383069096  -10.7759847407
 275.0767945443   -1.6517063768
 308.4061111572   72.1625849999
  40.7921804571   59.3462666613
 122.5260559055  -44.0784640107
  56.2674223038  -27.8022086935
  23.6585411811   17.6124479320
  70.7620782700   15.9745791772
  95.8650813069   69.8344332406
 334.4901309846  -34.8169153276
 133.9000475102  -29.1299199141
 252.3064820198  -31.5640685092
 155.7907458269   19.2641608600
 139.9746582546   77.1900809410
 263.5813657576   23.4713767437
   1.1324624429   13.5890740271
 143.9209484461   -1.2811263760
 299.1114105427   58.8701273059
 106.6379500862   24.1413149161
   7.2543908012   -7.5334085645
  47.0788006789  -55.3237882125
  45.8207840318   55.2093688066
 125.4677679517    5.5795234806
 260.4804049634   77.6350882619
 162.2821872024   52.9587048833
 281.5356412577  -32.8213452762
  58.3837997001  -34.7107911516
 156.8628527991   54.6799652000
 253.9329296837  -18.5518219299
 331.7013674036   59.8697968927
 213.7471572103  -34.2458680137
 172.0649053606  -43.6984663867
 339.0243186284    8.8528033361
  78.1064786895   23.0838709373
   7.6111113910   66.5561048979
  92.9638075758    8.9819737717
 348.1753645683   38.3416743349
 344.3498468479  -56.1249158009
 275.1909114206   20.6044445965
 178.4149091591   43.0067858041
  45.2017939884   29.2994577390
 285.2084288309   80.0637073030
 196.2106084758  -15.0524577717
 233.4088464148  -23.8112382388
  26.4486742413   -6.0426927606
 275.1040223690   21.1669861643
 349.1172549874  -63.9793732629
  19.8538287326  -71.7774249210
 358.7702024490   79.1639587150
 187.6721114897    0.5268346380
  71.7283498377   31.3008262240
 191.0971020940   45.1320910371
 276.1353033551   23.4253631746
 206.1922187223  -19.3438788517
 221.4528890805   21.5139924001
 299.4765511044  -11.5706564500
 221.4777842935    3.8949203059
 359.5237676119  -11.7403228399
  24.6123472272   -2.6740919719
  39.4696034100  -22.6205631413
  92.3531751072   17.7246266895
 126.0257118658  -11.8595561197
  16.8211254934  -59.7450993204
 249.2003176071  -10.8157609113
  48.1106776187   -4.0150294460
  43.3145466288  -42.0354822937
 116.5493907612  -41.5804275318
 248.2811492209  -34.8265364249
 167.1985659292   26.7918520687
  55.6291016822   49.3019344046
 129.8682438638  -29.6974545423
 217.6254601599  -47.1104662197
 282.4810300969   31.5937433841
 351.0035015359   16.1102278531
  51.0482996237  -14.1048288669
 354.3271056419   35.8273329718
  12.8738758739   64.3450569645
 314.0781483972  -15.6598178817
 137.6821902279   23.9737249564
 349.6594764976  -59.5122681964
 251.7553816407   37.1897071905
 132.1813599327  -77.7257933476
  37.7460790018  -74.2948251444
  40.4598449379   44.6965246239
 283.6548881910   48.0894191696
 336.2593598715    9.0576507651
 273.6803489261   16.7342491781
  70.2065356086  -27.3046436527
 285.7709009802   51.3034656853
 130.1423341051  -39.5716209822
 290.8804707522    4.4688778477
 348.5230042681   46.5606469391
 338.6039035197  -71.2454296174
 212.0772029739   56.8499418993
 168.8081080561   15.4749166228
 117.7125829259   -3.3824978548
 239.7493090373   82.4724557303
 107.7297130233   57.7097971339
 140.5625455140  -75.0871469306
  11.5243635998   24.9836158907
  24.0085288218   21.8476328521
 333.9998692793  -10.5485505122
 158.8162981521   63.3237464558
 251.6677994366  -79.5182895336
 359.4392116157  -61.7398188900
 355.2689187743  -21.8176529459
 140.7276816070   -3.5181264557
 189.8954992470   24.1583443942
 351.2807932970   49.4845347607
 260.4529112727  -15.2097566809
 115.8409596178   15.9057473568
 156.9800442520  -11.7362058438
  79.2436672560   13.2090667850
 224.9160757580   -6.9282008190
 333.3088023497   52.5000186029
 261.0001640759   26.0606042340
 251.3187796496   15.0702158207
 317.0793102365  -51.7276112154
 311.9677628995  -12.2024959651
 231.2963513979  -14.0220446505
 160.2288054643  -64.9356665828
 198.1433729870  -26.0972207957
  29.7033699054  -64.6100731832
  10.7578023722  -40.2754922839
 311.9314210188  -70.2685885550
 128.0043540576  -51.6910157797
  71.3154819871   54.5973321656
  98.9529647805   45.1093466814
 269.5950620361  -56.9498895689
 237.7799169102   14.7860219703
 150.8425112889   62.3742589115
  54.0027449807   55.0695929048
 324.8971420499    4.5114580250
 344.2077210905  -41.6094906367
 293.7097877227  -31.4928392218
 209.1101210565   51.7029475740
  54.6775574682   11.5595863561
  66.7198626939  -12.6829965044
 140.5845738269   25.4907770562
  93.0428951398  -25.1842863171
  10.8180964764  -39.8257631433
  54.9272998023   27.2905260701
 249.6184931681   -5.8847448964
  53.6463743073  -24.3939699795
  16.0858589199  -43.5453411897
  81.0604007249  -27.8928513924
  96.6375027965  -32.8214060955
  99.2715680002    1.9579246453
 207.3827957184   14.4291848158
  91.1968089325  -73.8135496294
 183.5410815247  -39.1648388157
 212.6923851029  -40.0146036484
 353.4167007818  -10.9271035078
 225.8958227725  -66.0526723325
 334.7838962971   -1.2558377620
 269.3136079398    9.5478338880
 274.6136246173  -47.7297514206
  59.4020393804   19.0955635764
  53.1663605243   10.7341916797
 144.8723809045  -13.8323424400
 261.8253867900  -67.7223608124
 345.9995458399  -15.9299008811
 220.8589682810  -25.6202940448
 263.5650959832  -28.2889063030
 145.4423967765   74.2749435895
 150.7397114111   18.6107766252
 303.4609841924   32.0494269369
 297.2767391608  -39.4929904804
 227.4251052330   28.1000844736
 256.3353797053   19.0118120936
  19.3038340375  -27.4277595997
 138.6399133292   49.4176232016
 139.6460715147  -68.7573316118
 288.9610837811    7.6688369925
 231.0135942995   65.7753540866
 358.3433086129    5.3873152866
 226.6340321916   29.0251195892
 319.9632276470  -42.8560713047
 110.8155612662   64.0368544431
  63.0581106333   63.3057138442
 324.6834893981    8.6257053533
 270.8368102502   -5.8372082844
  50.8656950259   50.9385893864
 222.8019481646  -26.6753271456
  15.8746907553   12.0425409882
 192.6166802596   50.0233130680
 174.3415535557  -15.8085734300
 161.8691145150   20.8937369540
 198.3515561967   -6.8631129046
 145.0676618190  -12.8704598008
 296.7658410571  -30.6577261513
 166.7542063261   13.1273726715
 208.1184909309  -51.1581156556
 320.6261544940    3.4412277312
 115.3706506939   49.2634476127
 350.6331978027   25.1535948267
 312.9818557533   -1.5007288844
 172.8364409262   28.5923842113
 187.7958755547  -20.5200404340
 172.5185129450   -3.2834662044
 162.6502503158  -41.5238302785
 116.8819725945  -48.6172718433
 266.9345451064  -54.8430599821
 225.4369549293  -25.0822384149
 186.8554614163   -8.9971416261
  20.1174818059   51.3196152118
  50.1972076365  -33.0122142623
  33.9582690177    3.9159305049
 337.8461738617   -5.3585885591
 214.4763497511    7.9778824776
 217.5008582853   29.2011633374
 122.8981169976   18.4411102918
  22.1948250241  -67.8240272249
 356.0085249545   69.2832269501
 301.3177063728  -36.5092098892
 222.1426396286   18.7746929608
  67.8331231455   17.9146922670
 153.0799204756  -43.0047327402
  16.9559912259   20.5961294832
   9.3058854852  -63.4765829354
  48.3338820569    4.5528076495
 122.5790246941   38.1025378605
 193.4659578364   -1.7140747293
 274.7206937682   32.0658314485
 220.4798935099   51.8595584601
 149.5516880952   65.2359655371
 257.2389389350  -52.0875788766
 303.3506943448    9.7789087787
 303.2743837510  -26.7331806714
 285.8592403026  -31.9781940009
 227.2224839206   30.0381243816
  78.2690481640   23.4509059045
 268.5597190446   18.0894675466
  21.5889816841   19.2036411623
 169.7705475906  -15.3921358507
 251.3858910949   31.3491300614
 318.8186264771  -39.1151186325
 289.7858538099  -34.8899470049
 179.0368024580  -20.7375174729
  99.3344766044    6.7314066780
   6.1534246923   18.7791976608
 225.7226238806   14.8959327185
 220.0607321757   55.0052988472
  25.8196507679    3.5902857884
  78.0892541854  -45.0835781681
  36.7858890013  -43.8543255761
 263.0717829102  -38.3126164755
 337.0750243991  -30.7784820368
  50.7079499485   37.6584748368
 294.7995062589   52.9790830544
 357.2767538918  -48.0779312455
  16.9012462867    4.4312371991
 144.3026039520  -41.8610504066
 126.9619370759   39.1997455808
 115.9907218807   49.5884530444
  97.2129851893  -49.4983903060
 302.7930635433   11.8681448783
 329.9014568312    4.1977932148
 260.7552075390  -15.1942584308
 226.3181410060   38.7437494929
 270.5771721514   11.0243224468
 347.9469843562   60.3970407191
 271.0291393896  -33.5106479614
  96.3123996305  -81.4830815790
 280.3842523299   46.3966304160
 273.7460770596   36.9157034565
 197.0813704149  -29.9433150753
 218.3527321186   -0.4765664762
  62.6020496871   15.2232197299
 207.2211545804    6.3668796852
 344.0180193855    8.2811024502
 183.7123145031   11.2029337299
 325.7886661945  -61.1159733488
 106.5387262622   32.1590256484
  23.6679289343  -49.4092359021
  78.8447443628  -24.8718469518
 226.3721281283  -40.6140114813
 249.6426663566   -4.7724296891
 330.6479178454    4.9207055130
  63.7825321191  -34.2301848660
 187.9930754397  -42.1191749764
 268.2548139620  -38.3202655343
 251.2392413907   15.4652623329
 316.8420434802  -79.2982597538
 183.8457987805  -76.6978027664
 203.8398206884  -32.1094296129
  31.0867399107   56.5928918297
 116.1847337475   -5.4545264484
 182.6790493991   28.8381466520
 355.2564628416   51.2138866469
 220.2854527714  -31.7499263512
   0.0383751323   20.2986086601
 197.7152555672   -8.3508217374
  21.9626505301   33.7593671329
 105.2570170578   69.3608793032
 219.2167385211  -13.6748426826
 217.2592450428   -4.8021338004
  54.2150020370  -36.1099289678
 192.7065138744    7.3318838758
   9.6973763844  -35.5445682513
 206.4244105359  -29.7268918520
 220.5125362714   11.9670596090
  83.4150287905  -10.8879944033
  84.8759171084   80.6645940894
 226.8096751963   42.0401612281
 103.1911981828  -11.8712182630
  51.9921328621   51.1889496272
 164.5310296352   44.1017375536
 232.2307120290  -15.2018889125
 129.8129743775  -44.9688187507
 249.3226550539  -11.3305578607
 125.3825239829  -35.7745451061
