            lon             lat
--------------- ---------------
 222.6865241756   -4.0511451326
  81.4311026828   74.2169603640
 245.4194234273   63.9280125153
 190.3321358513   47.2622464536
 139.9096397119   11.5128754781
 115.0516685918  -16.9674774885
 285.7463170293  -28.6018196022
 121.0915941314  -39.2932526612
 168.5607528103  -51.7091474345
 162.8422899199    9.7478721773
 161.8639711242  -65.6040413153
 205.9988023204   17.8337153543
 260.5075988908    1.2586155408
 218.3211411465   41.8903920815
  14.9878371845   45.4547523192
  22.9805609082  -47.0010188392
 190.1381092534  -12.8185670817
 213.9441224659  -20.5925146922
 254.4404066193  -13.3610404873
 157.7697667092  -43.9913501735
 147.7466784322   -6.6115585675
 168.6317988600   -5.6056611434
  74.8821081453   12.3826012552
  11.9569129183    5.5677423457
 119.9680035218   39.4017944750
 169.9126181166  -12.2642504264
 293.1533160079  -21.2523067025
 120.8343351970  -50.9613196241
 190.3191104459  -42.8277563924
 317.0866730764   34.6560336239
 290.7842233346   -8.3660199431
 186.7176706432   -7.6298110566
 235.3667470011  -27.0329470364
 225.0970201196   23.5774706598
  29.5709215807  -21.8119026568
 103.4186113813    4.4905654777
 139.0587462905    1.9681081010
 264.5372913097   16.6838410799
 226.1494203296  -22.8624099581
 163.4375437162  -35.1347255569
 187.6883938440    3.6957580323
 133.9905921786   26.2316278697
 316.4898267435  -73.1095540836
 263.0123265996   34.1078962103
 353.2097852537   -9.9042822402
 204.1878174366   83.6770131314
 119.0312226942   31.2177422876
  49.0925061438   -1.9214362080
 143.7784123688  -52.1779441886
 249.9744025311   62.3739370682
  92.4844775276   -3.9434126615
 187.4607567246   38.2660176150
 180.2936238105  -63.1745013411
 256.8096568606  -30.2930342292
 144.0073529874    1.8596132678
 219.4669276071   51.4032285876
 100.4995936130   17.3195606807
 113.5603450505   56.5222797959
 356.2974680267  -34.4309155140
 233.8552781996  -22.2581010541
 118.9413640791   54.5411916527
   6.2103952595   -7.3897380887
 107.8561682423  -10.1615874900
 335.8563985040   17.4594537249
 301.0372988143   26.2121236110
