            lon             lat
--------------- ---------------
 218.8228179274  -19.4655907612
 286.7895320273   81.8298850070
 255.7633624205   41.7059482439
 211.0824649239   38.7538461998
 146.2043980812   25.7658782881
 113.8610314758    4.4279534444
 292.0105563805  -50.8513857909
 114.8373613112  -18.4894566903
 144.9414852821  -42.1262644910
 167.9385755047   15.7664278314
 129.2043518625  -51.6405036467
 210.4335922435    6.6426984009
 259.6480520083  -21.8342736327
 229.6305075614   25.4342606729
 350.1065299426   46.5126098958
  40.3615058294  -34.4446392075
 184.0217264548  -15.7285995234
 203.5114719315  -32.0055414359
 251.0990007702  -35.7758084277
 141.6128331677  -31.9019943101
 147.5412549448    6.0769600167
 167.2558455127   -0.6210271379
  71.7782104755   34.8616190735
   8.6881974798    9.8038894052
 136.7083508521   58.0961940972
 165.8063260781   -7.2427183866
 299.5776355254  -42.3527383566
 111.7702285733  -29.8201850763
 168.1731773544  -42.4854576645
 309.0555199643   17.3670882808
 293.8126373348  -30.1104947183
 183.0118269653   -9.6232310246
 224.0300970614  -45.0823564874
 229.2959160236    6.2740530506
  35.0323662496   -9.1661383224
 104.9561979143   27.2396897850
 142.0124858295   17.0123638018
 264.6244251649   -6.6495463007
 215.3653204693  -38.3357508392
 150.4467946069  -25.7653958918
 188.4161504360    0.3899700632
 146.1237908648   41.5065849684
  43.0799998352  -73.2642919199
 264.0196950162   10.8178000148
 357.6459991274  -11.8235279458
 257.0288123610   63.3858916969
 130.7091053185   50.6481755788
  47.0719154542   15.6144753438
 127.3396578438  -35.4673556026
 258.0121153028   39.7720080843
  92.5107854422   19.4732442959
 203.4929153801   31.8887400767
 141.9169255517  -55.0176217445
 250.7944644608  -52.8471536246
 146.8484401739   15.3090315791
 234.4017541662   34.0370724648
 103.0416839789   40.2877985577
 148.8741192914   75.1424233432
  11.9744858025  -32.7236943179
 224.2966443520  -40.1178663253
 153.0363832108   71.7083095013
   8.5255677625   -4.3645213331
 107.8725561723   12.1816679498
 331.1619094438    6.8579675448
 297.6037493861    5.6896644788
  99.7200159208  -38.5636576992
 187.6289080168   10.2767937403
 124.7770553232   17.6210758558
 207.9591197923   12.3085791514
 114.3320465052  -10.8674490107
 318.8978728309  -73.1252402914
  51.8228020657    5.5058972776
  69.6519309211   86.1551699449
 162.0849894714   -5.7538974454
 107.7356375289   36.4617499678
 323.9852440864   30.7944118994
 351.2853580329    5.4613474987
 167.7022127887  -45.1257806489
  52.1927744149    5.9389398797
 305.1043349291  -66.4021731507
 285.2741824800  -56.3458653048
 120.2497849219   29.7766879370
 319.4279786495   48.1699455594
 177.5205198562   11.2780312342
  55.2575179923   76.9780546622
  54.5313233462    6.7188732592
 332.0324740492   23.1790972317
  18.1783898717   46.0566153977
  44.2410325007  -33.9155354166
   1.1780919405   34.0730571767
 129.6172909646  -60.8049366768
 162.9880313019  -43.3116382140
 197.8779259780  -48.1920821680
 200.5354473432   17.3412532656
 247.6604246640   21.0953641549
 270.7465887110  -66.3054601448
  11.1876555236    4.2199269990
 186.9284576171  -29.6044763089
 228.1378516658  -53.7424114780
 259.6061475783   -7.4432149023
 352.8749541516  -11.4427380315
 273.7091399332   74.9726729151
 155.5371273747   14.7639969307
 261.2775966605    8.5049605165
 327.2358715169   -5.7388729389
  64.4377573193    8.0564450273
 115.3960743011  -33.2161227982
 198.0041394266  -34.3020849836
 119.2387105055  -13.5871865549
 127.5050671227   15.9368104348
  52.9297615857  -47.1441111583
 226.3863628635   55.1377763348
 306.6569142696  -70.8410408228
  53.2720669840   31.7194147823
 289.7029911974  -31.0748368571
 282.1822036463  -50.8781973240
 150.2067838919    4.7575114205
  77.6302848045   18.4773718145
  96.4591891959  -37.6068566574
  47.9593854098    4.0215706967
 222.7892216458  -27.6444393611
  81.1430458301   19.5602216386
 266.7559806657    0.2730049567
  50.6259948283  -16.6676234616
 115.2589220752   -2.6960822753
 308.9025585355  -58.3183909402
  75.9745320710   60.8574920896
 286.7254603933   64.4220422218
 234.9997441989   22.2032569783
 109.8821371839   43.3522030806
 163.5087669563   45.2826974054
 289.9808861486  -27.7973579468
 136.0929170751  -22.5261398956
 148.8878074650  -21.7640474077
  82.6361886540  -54.9692421768
 136.2010245079   65.4686381128
 312.2360287436  -37.5359419661
 292.7622677912  -68.6267163635
 121.7907207512  -71.2179894960
 255.9859389428   36.2174769161
 342.3103072376   69.0700477974
 117.2750498775    0.1120503529
  15.1647965450   -6.9003894796
 217.5000287131   33.9994513110
 278.2630348705   35.2465937017
 195.9307339612    4.7103444231
 356.0522739016   23.6387900448
 106.6007205107    4.8655492630
  47.7399320084   19.0480364612
  32.6640947159   19.5858301593
 353.0171206376  -62.2273269162
  54.3907461363  -43.2596432967
 356.2528897087   14.1734578644
 293.1051021923  -16.1047516890
 321.8939892286   19.7631174308
 270.9162941605  -58.5958210697
 213.2112517261  -77.5681022645
 321.7157064943  -53.2726086453
 272.1182934385  -10.7112270112
 158.0026336666   25.5077179991
 177.5571993491   36.5495267070
 341.2461922654  -35.6451269210
  23.4849313886   29.6786095585
 144.3723055655   64.0520184281
 150.6390304871   18.2584469829
  81.1121528369  -37.4228063805
  18.3793476797  -82.2504790352
  19.7471279817  -41.0559185756
  66.1674230192   63.8330690021
