            lon             lat
--------------- ---------------
 335.2148122651   36.7853432978
 114.6617543910   26.3435604761
  67.0442842357   37.1080183406
  75.0458788746   70.6997314755
 204.8887490429   48.7724149529
 215.0025053209   12.1094446744
 347.8961673317  -26.5947513642
 235.7762238378    1.9940504297
 270.2084655122    7.9192148076
 235.4443830814   64.4891267351
 269.8492522500   -6.3818894853
 346.5812870892   63.2760528458
   3.6629301672    8.6483623655
  39.2259386754   56.8062448960
 108.1105206140  -13.5023605987
 237.4498500281  -65.1213309264
 291.9037920212   46.2420562515
 314.5102478556   29.8284760261
 347.9075038916    6.2162606473
 261.1012503855   13.5369035930
 231.7325686289   42.3692419645
 258.5613994247   53.0396070777
 168.9703167829   -6.3794175246
 117.5265486684  -52.7642578191
 159.0004572247   40.7484431101
 263.0335928232   46.8991150092
 358.4911607136  -30.0827123619
 244.3410972090   -5.9447505458
 285.2561819382   16.7465440328
  62.1081242826  -14.0358891523
  10.2864753870  -22.3577172748
 288.4364330485   51.9968863647
 325.9473182045   12.1772118447
   9.5757427834   49.2703801289
 177.6454180693  -62.0906351339
 190.0805973460   14.0794440587
 215.1862085673   42.4319982114
  19.3654855097   12.6039844825
 322.8083128747   21.0165107086
 262.6977454732   23.2899722333
 294.7548112064   62.8566022018
 180.7185651869   49.6979109733
 292.5353017952  -41.2130922955
  35.2509858691   21.2779894373
  78.7424657070  -69.2058937032
  93.9776530641   35.4974903149
 169.2014753051   38.3444271279
 165.9659559940  -35.5845623747
 256.0537832808    2.2000174162
  64.9164480642   35.1868924064
 191.9621304584    0.4045578068
  62.3230231086   79.3882683140
 277.4281469800   -2.9546572461
 334.7923683404   -4.7392611027
 219.8734517906   46.0676629645
  55.0130453337   53.5809504939
 176.9115868623   17.5967202615
 136.6325639346   37.4090255535
 308.4846551012  -84.5034803435
 328.5929525910   16.4335258254
 138.9842463462   40.5471997993
 113.6253743247  -66.8037315652
 205.2411531737   10.2415386325
  68.0573362401  -37.4416429124
  45.9058230294  -10.6584090568
 248.2618939798  -18.6181037108
 287.6650546203   72.4174912731
 207.0486829356   27.3641056947
 350.8850728107   69.1999093274
 228.8806029168    5.3092610142
 320.6036841072  -36.2427384542
 178.9846105654  -39.8490317594
 127.3272224100   25.1157171812
 257.4842862661   45.7942001568
 182.0521282342   19.7051911722
  81.7924149132  -15.7470029370
  88.4829165663  -51.3882702884
 285.9815427578   14.1778635920
 178.8971281933  -39.2846771510
 330.1686474222  -33.7981655132
 341.0156503780  -23.8810801248
 192.5732767677   27.5462742255
  91.5337816363   -0.8595917608
 259.4481717094   68.7074500227
 132.9830949329   17.3939005817
 180.1535106214  -37.0407753188
  82.0719513598  -26.1966707132
 127.8591838184  -16.5163294105
 235.3740692247  -62.0024020139
 113.1618751383  -27.7464176186
 277.4426382365  -11.6583842564
 282.0322838037   14.4092164124
 307.4515647498   14.4072788714
 342.2210319751   77.6299162589
  39.4218568287   39.7003497231
 328.5563894528  -20.2663525903
 121.2324647137  -58.5072688179
 297.9787934202   32.8980343625
 323.9477014650    3.3369292127
  16.0403177671   16.4871492338
  70.5438329164  -65.7164565210
 106.8063897021   28.5184660430
 226.0899952842   53.4637539088
  31.7413263987   22.7157197667
  51.9040584474  -41.9328763581
 186.3540782067  -28.5991419734
 248.8255060733   -4.8728425184
 308.9097974849   28.2314903933
 233.6587972041    8.1150749244
 209.9462842222   29.1372878971
 256.9980804726  -52.7485283555
  91.8785881861   52.8995465148
 324.8058622108  -33.4918791459
 159.8323517782  -19.3970604796
   8.0149921071  -19.3679142905
 346.1445489923  -20.6072029350
 235.2219960833   43.8854706014
 185.4001614960  -12.1033532698
 246.3849465624  -20.7105175158
 176.8592890274  -43.6588611679
 334.1126013616   27.8851266717
 186.3618412318   -8.7408284300
  26.6489368474   14.0981305612
 205.0988592438  -53.2645917351
 222.0950934199   10.0446299885
 339.6709764893  -36.6656916849
 150.2012336723   11.9136238296
  95.9545441587   22.6283717405
  35.9027430195   51.2596622038
 175.5546791495   23.4044784238
 168.0260911949   60.7408342492
  11.3362029237  -18.4054653656
 250.5043892909   16.1905701251
 258.6125161909   25.3365909235
 263.5540382291  -33.2564273825
 149.9193258006   38.4072851748
   6.0536742620  -38.9385121137
 327.9547413772  -28.9468172398
 284.9143906695  -19.8122078193
  60.2881807860   36.2161749928
 113.2835234403    8.8086332644
 220.5387098455   13.1468432778
 131.3000935418  -69.4982167622
  57.3752276006   67.5284058312
  64.5537477235   18.5418347345
 312.5946843618   67.2288471404
 104.8742658027  -36.6907424130
 211.2904066464    5.8542243675
 164.0294247488  -32.4826366536
 148.5456504329  -39.2609504178
 318.6338313617  -52.7119347349
 250.3585799921  -52.7321382833
 100.8992037989  -45.6763044325
  23.8060140756  -16.5006336462
  72.0375818816  -22.0898632862
 336.0824772059  -17.3163476338
 308.2911061298  -15.5485264152
 344.4211686122  -44.6676434922
  19.4583165383    4.1576134081
 209.0250115174   59.1318179923
 173.7348210543   74.2931192832
   8.3812283064  -62.1720402838
 135.0204012763  -32.1141418875
 149.8423022783   42.1646536729
 217.8401038790   50.5443654512
 242.6262391867  -32.4005234789
 302.7971975002  -34.9525251045
 282.2879455561  -74.9629636934
 144.9226070129   10.2856824635
 286.3819041945   47.3197071434
 322.0266137311   39.0024328742
  95.4772533311   50.8223379678
 356.7394804616   35.1883374100
 307.8921202667  -15.3109025121
 263.5965308148   53.6579854865
 128.3277902996  -55.4146976723
 318.5496510637   22.2340307290
 313.1554126501  -13.4933141574
 344.6723351109   30.7331743617
   0.6802444023   27.6447368419
   6.6533432192   62.2882846972
 113.6595653254  -10.3174280976
 358.9561436562  -13.4054182565
  54.1591837798  -16.1310247734
  60.7083414443  -37.7534728625
 273.8094395512  -16.5684976342
  25.5620042485  -42.4683206898
 254.7524237732  -27.8150687322
 169.4774980855  -50.3293379807
   4.2497353907  -71.7522461357
 279.1868381863   54.8884951677
 286.2802425223   45.6242158272
  54.5965354586   26.2379444702
   9.1213108628  -50.8396551123
 275.1147231055  -25.2604475587
  80.9221291824  -41.0869836952
  93.6327974202  -78.7144306274
 165.1729128362   38.9770612610
  90.8448017561   39.6317407201
 205.2729541578  -23.2702723073
 306.1718423464  -70.1844989055
 136.7026241579  -15.7687504750
 156.2407037237  -37.7468568080
 300.3971154109   -3.1189718999
 134.5096251764   52.4961680625
  15.2227796095  -13.2890430798
 200.4393120290  -50.8795279074
 163.1062134211   11.4627173975
 261.7697189100   -4.2958986528
 136.8332298349  -14.6187389665
 303.5881956316  -52.8759649382
 169.6661455074   54.2992412332
 203.0628129009   50.0829651885
 238.8084443006  -29.8904887977
 166.9060874369  -65.7321942893
 224.9152455458   50.0766204455
  80.2611338565  -43.0654339751
 264.4020446944   14.0712108642
 138.1091051203   18.4853660937
  70.7914482861    2.3152710990
  98.4240793913   30.8701909199
  90.2934176250  -13.7687494137
  55.5254650398   26.7577427288
 279.2022279981  -72.3554650719
  92.7090207529   23.3675509568
  46.4105534275  -35.8728900972
 240.2776306166  -36.3431549793
 149.5667399465   65.5617785269
 241.0379226513   -0.2457317900
 238.4117945998  -45.3334856766
 110.6958513906   24.5120223624
  73.0289053092  -11.1188456526
  80.6204501722   10.3670588350
  43.8174226955   -3.7028138722
  14.0241940987    9.7253944528
  12.8044854007  -63.7936111573
  83.3441133952  -44.8642376995
  82.8245565484   -4.8262759849
 225.4897562111   30.9229084803
 321.9210814983   13.6822729090
 281.2108598810   25.8142933329
 260.5051357417  -27.3809076787
 112.3075955403  -19.7130810044
 131.3186946942   -8.7421505624
  71.7561045639   63.4465122247
 337.4607848809  -21.5305033952
 202.8173648356   23.9298974018
 295.4940114806  -68.0369492183
 126.1731149603  -18.8277386219
 288.0512602904   61.5006469172
  38.1201869428    0.7549871864
 256.9115175919   18.8329486682
 330.9859808204  -24.9138188161
 289.7251707691   38.2357721712
 118.9720490926   66.7118000283
  92.4450441699   -7.0042423355
 178.8375974522  -28.3805695389
 149.5532426671    4.9609015435
 153.7299462727   41.7661402187
  27.1636759124  -63.3729187224
 218.0185726793  -42.8817788892
 270.2631922572  -66.1764737500
 289.5466923220  -81.5031017111
 137.9336123281  -14.2280927163
 286.7644603356   72.7076509058
 170.4453498848  -41.7825918927
 260.2325876218   22.1860047936
  68.7853519145    6.2592825259
 157.0449861863  -24.6444839468
 297.4319594571  -54.0203072773
 299.2082051976  -77.4753498052
  68.8512663356   -4.0404754576
   7.9637754065   67.0293856073
 253.8555162431    8.9369845909
 125.5572124175  -23.9708421443
 151.6794083542    7.3038965433
 277.0596075441   18.6503099917
 347.2618608538   13.5452761667
 321.9687643468   -1.3764684555
  48.3833476465  -75.9148464263
 288.0594576874  -38.1837765458
 245.8740254713   51.4828866016
 191.4652079023   -5.9400605255
 312.5012084224  -27.3092714806
 271.7543940382   11.3266620568
  34.2097185912    6.0470982026
 119.7198876369   63.1317438948
 149.4015804392   65.0484303755
   0.9885994296   10.9647971620
 215.9055956355  -41.3949975549
 246.5018241319  -28.6770787641
 131.9447295365  -69.6847908425
 143.3591093477   -7.3018797561
 171.7223417032  -49.0575214887
 209.7872474491   17.0165059031
  48.0073253218  -83.9463875472
   0.4296185725  -21.0164110113
 183.2820251674  -13.9837526466
 178.1401215896  -23.5048422808
  67.8076236163  -22.7038583609
 107.0926970833  -27.6925894039
 287.7162897301   55.8133412817
 106.6911886255  -14.6492321884
 251.6743610281  -14.8715333981
  98.9436903875    7.7918986807
 329.2945815602  -44.8373392359
 109.7694030213   80.9005698540
 321.0277898040  -11.8961225487
 341.4024538357   33.0482260425
  61.1764411472  -48.1854704372
 129.6840806092  -54.6189360100
 246.3574712924  -27.6474746186
 332.2967038426   19.1912605938
  52.7309209759  -20.4078288034
  35.7529835244  -78.9323810037
 148.7006566586  -38.8769361636
 351.7179188705  -37.3940569595
  15.5437724992  -28.0883961278
  67.7875319641  -28.8856617234
 219.6600763721   37.7107612575
  32.2146129360   50.1810554363
 114.5806766565   16.6801982335
 220.2373401226   16.2025640141
  72.8292461478  -42.2247959842
 249.7026188620    4.6339330050
  88.6372949616  -13.9282497981
 245.4404093998   27.9156659727
 175.6055718055   49.8454651091
  94.2237029061  -35.0914950360
 102.2758332688  -29.0892697978
 326.5670728669   13.3244866607
  99.9352713085   -1.8397048769
 303.5134678906  -14.2208349372
  71.1998421995  -30.2203989464
 119.5526685619  -22.0438745088
 341.3287300216   47.6885358103
 182.8167816522   38.6602859069
 145.8566017919   -5.1013115140
  10.4369045634   48.0782421077
 224.2421218434   50.6927423294
 125.8461638548   35.1437992354
  99.9941552076  -47.0251166501
  23.7186763119    9.5191470700
 120.6241714981  -58.9311517491
  25.0565526288   19.2234101884
   2.0164601225   -6.6927890628
  15.3576179777  -23.4014758172
 126.2487230965   -4.0525009247
  34.1649137432   69.9923178818
 187.9381042220   23.6110094502
  77.5653985290  -69.9211494563
 357.6145642307   63.5684364288
  97.1428739920   48.7058537494
 245.7969049557  -49.5039163589
 190.0912998697   -2.5590034087
 158.6852470435  -72.8531897907
 238.5596779762   45.4111077614
  48.9378439265  -47.0463250707
 284.2654661509    0.2397888477
  50.1973751117  -28.3211566637
 228.7879786673  -54.9006700599
  77.3349547940  -39.6544702486
   9.0371982147  -23.6587128239
 226.1504004206   42.9236468336
 231.7879673859    8.2046644721
 231.7627940491    9.0899205265
 311.9870874622  -21.6014530125
 122.4381369456   59.6745735173
 148.5517435830  -13.1534042858
 220.5521710010  -47.7342671468
 339.2652714845   38.5043152326
  55.7072824011   54.4380583834
  66.8937024131   -1.6947531828
  55.7069996995  -66.5314851392
 256.9921344822   44.3753342248
 334.7171248053   -1.0306282876
 152.7620856978  -19.7699631611
 196.9614413575  -35.7050666841
 116.6831874297   -4.0645380526
  58.8739320331   58.1016319713
 253.4293401332   52.3651671629
 263.5672795688   -7.6530869172
 346.0856825287   77.4462042211
 134.2384286081   47.6660546649
 258.6330572093    3.9911540069
 355.6137969482   21.6040335596
  37.7796469235  -86.2423431649
 273.8004357531  -35.3746704799
  57.1352806893  -43.8687261960
 294.5142422571    9.7249632597
 200.0413476922   39.4255325697
 209.9614515735   34.4402323405
 337.6491944278    2.2482107594
 157.1198610294   45.9304250797
 176.7310715928   14.6647052994
 239.9929037760   62.0356019888
 227.7651184352  -52.8267547061
  46.8890803043  -71.9004771510
 127.8679476093  -35.4524018012
 228.2102741684   78.9461569620
 331.6833546997  -58.3753681575
  33.5268131631   11.3005583694
  26.3447931824   43.3524671422
 149.4499697790  -41.7804085888
  78.2548832557   -3.4507228155
 187.7260529095    9.5843960876
 201.6859199875   10.9392183931
 171.2317456640   53.0993322167
  78.1625507755  -35.1697418706
  87.1778009907   50.6865481153
  78.7057293568    8.2400893246
 236.6469307156   10.2871471170
 304.7291493124   69.6250522586
 335.5164260201   38.2652892789
 289.3037635019  -64.4601575401
 245.6397675423   13.7802589401
  78.4544219999   85.1999065442
 267.3066219916   50.0282935588
 251.5085730027    3.8332784346
 137.6652988207  -65.4117563409
 306.5781151253   25.2868128875
 190.7348475262   27.0512460498
 322.3566984691  -53.4620801385
 296.3610842307  -51.7935210178
