            lon             lat
--------------- ---------------
 334.1097705093   36.2822936422
 113.1272757218   26.5690110680
  65.3792801911   36.8835238985
  72.2462973924   70.5430464774
 203.8718640037   49.2793063379
 213.7898155033   12.5687398843
 346.5523103439  -27.1377412862
 234.5118618649    2.3121849851
 269.0043263683    7.9230217541
 235.1284476627   64.8060272466
 268.5054422033   -6.3739043798
 345.5627587453   62.7358850023
   2.3771820642    8.0924669515
  37.4214067422   56.3696423626
 106.9559506250  -13.3346698387
 235.1762700224  -64.8124342326
 291.1609795953   46.0377528000
 313.4565340999   29.4419270776
 346.6387914284    5.6732604052
 259.9523265738   13.6284986916
 230.8496537996   42.7172656979
 258.0055894460   53.1525894609
 167.7010285019   -5.8342324000
 116.8938528368  -52.5096796214
 157.5399814830   41.2654481762
 262.3426872079   46.9699135764
 357.1974352652  -30.6391050803
 243.0086721999   -5.6978822059
 284.1358821428   16.6053098803
  60.9504103321  -14.3013148474
   9.0440283596  -22.9065839073
 287.8296826594   51.8236410703
 324.7327683482   11.7193321952
   8.1954293848   48.7205128836
 176.4179118886  -61.5345483402
 188.8225911016   14.6285044699
 214.1966692665   42.8895912125
  18.0450485350   12.0767308161
 321.6562453171   20.5764852574
 261.6539769608   23.3657198572
 294.4553521145   62.6248471491
 179.4381194053   50.2544369841
 290.7988871276  -41.4186592411
  33.8481652831   20.8195319065
  78.9038163785  -69.3138869826
  92.2998081970   35.5279694278
 167.8316348281   38.8898408148
 164.7842318770  -35.0458349026
 254.7935644456    2.3401022165
  63.2837335804   34.9437808523
 190.6820179142    0.9503862739
  58.4923090771   79.1134117665
 276.1177024177   -3.0203208709
 333.4896487634   -5.2402286857
 218.9615817339   46.4975937567
  53.1245175231   53.2543760527
 175.6185377777   18.1521454255
 135.0526110138   37.8083249003
 302.3415312890  -84.8264251377
 327.3971152349   15.9614842510
 137.3831698673   40.9619992294
 113.5287323117  -66.5810300838
 204.0026661526   10.7475558931
  67.1717796795  -37.6537301337
  44.7003991297  -11.0500033505
 246.8080771696  -18.4053620314
 288.0466112821   72.2468006804
 205.8970254146   27.8623185267
 349.8452688293   68.6512408369
 227.6390400291    5.6798465289
 319.0568093615  -36.6682006393
 177.7165068119  -39.2924778329
 125.8348738982   25.4474251436
 256.7617842419   45.9181998710
 180.7757517748   20.2616220878
  80.6667691710  -15.8319213415
  87.8987370846  -51.4058939596
 284.8347850817   14.0299477709
 177.6294472950  -38.7281498348
 328.6958570586  -34.2775743505
 339.6501585814  -24.4053657055
 191.3527530949   28.0907616985
  90.2608721859   -0.8508947983
 259.5744935689   68.8087291824
 131.5713500183   17.7683429111
 178.8756808167  -36.4840177473
  81.0621539430  -26.2783570143
 126.7078780579  -16.1791092285
 233.2477440591  -61.6775137513
 112.1496992901  -27.5319871954
 276.0466436728  -11.7237723620
 280.8902971154   14.2985884079
 306.2830106681   14.0732972471
 341.7080971617   77.1007357622
  37.8542067849   39.2656133099
 327.1641058029  -20.7377851024
 120.7261172610  -58.2206800831
 297.0150329093   32.6410308751
 322.6842458015    2.8904962791
  14.7159855067   15.9504365016
  70.4308969037  -65.9025063617
 105.2335292249   28.6720700520
 225.3501363573   53.8522808065
  30.3412221349   22.2388087883
  51.0163401835  -42.2798366417
 185.0429066948  -28.0451377552
 247.5008286219   -4.6657796634
 307.8607914188   27.8858491525
 232.4420257757    8.4496702703
 208.8185834352   29.6222591812
 255.0078177753  -52.6138205750
  89.8614030855   52.9080128726
 323.3062159776  -33.9426466044
 158.6195690831  -18.8765363297
   6.7591193876  -19.9200531331
 344.8098114412  -21.1461706491
 234.3804024890   44.2062490141
 184.1091181692  -11.5485663587
 244.9127920562  -20.4809537721
 175.6124929420  -43.1032688238
 332.9609535713   27.3868315291
 185.0722038397   -8.1869057045
  25.3074715977   13.5977229799
 203.5131939191  -52.7571141179
 220.8802981139   10.4615965296
 338.2392086443  -37.1853489398
 148.8591648192   12.3933771757
  94.4419624550   22.6787972859
  34.2260760563   50.8041348683
 174.2516405141   23.9588684515
 166.5235080240   61.2836813608
  10.0897781341  -18.9525195269
 249.3755868417   16.3814755571
 257.5895006537   25.4513293246
 261.9107688283  -33.1859806044
 148.4099189117   38.8851737592
   4.8152630448  -39.4928219030
 326.5049142358  -29.4149802373
 283.4376122581  -19.9485548774
  58.6576009636   35.9334667849
 111.9216843829    9.0225617015
 219.3420899421   13.5736063297
 131.1282776962  -69.1313360776
  54.9845494752   67.2186635214
  63.1061160868   18.2963339266
 312.2826733102   66.8532711417
 103.9937905454  -36.5519910522
 210.0392482454    6.3330288087
 162.8481128852  -31.9489757485
 147.5033484075  -38.7886593588
 316.8568916232  -53.1240706615
 248.3946156806  -52.5359834619
 100.1774473782  -45.5745072550
  22.5906729834  -17.0123753709
  70.9715639902  -22.2665145953
 334.7275924476  -17.8225820197
 306.8853764263  -15.8881280821
 342.9837697468  -45.2020840039
  18.1647170189    3.6306639337
 208.1937910092   59.6203717341
 172.2068203213   74.8454377150
   7.2448394184  -62.7237286851
 133.9864987782  -31.7238958016
 148.2997710431   42.6420696817
 216.9726852518   50.9864263300
 241.0347946271  -32.1376683793
 301.1837447581  -35.2474927571
 278.9617021809  -75.0656172834
 143.5809974220   10.7374385195
 285.6788793208   47.1659827590
 321.0233472584   38.5666837829
  93.5146087626   50.8659794742
 355.4843605526   34.6330307817
 306.4877242444  -15.6474286777
 263.0672650194   53.7225748240
 127.6788475042  -55.0718821372
 317.4188323124   21.8204679940
 311.7738730361  -13.8691856484
 343.4806713188   30.1979273586
 359.3986009480   27.0881284963
   5.2631750341   61.7347709272
 112.4705829831  -10.0993458920
 357.6707039792  -13.9619160604
  53.0088774211  -16.4615542425
  59.8032728559  -38.0297538730
 272.3622987414  -16.5984689025
  24.4981536193  -42.9728606423
 253.1894706716  -27.6613237819
 168.3241809467  -49.7829472789
   3.0779135709  -72.3079723394
 278.6859897468   54.8020069271
 285.5442617430   45.4715942675
  53.0953285795   25.9095678384
   7.9422933105  -51.3903329574
 273.5709404616  -25.3026025959
  80.1205109113  -41.1787205518
  95.1286979234  -78.6719266869
 163.7698694867   39.5133000539
  89.1025902883   39.6314923843
 203.8931191323  -22.7639907147
 303.6115438822  -70.5030292725
 135.5288944354  -15.3675162605
 155.1352613962  -37.2394649952
 299.0880233357   -3.3951604095
 132.6995577507   52.8800097619
  13.9752218956  -13.8278110445
 198.9294457860  -50.3552416351
 161.7900495386   11.9934297282
 260.4472358821   -4.2098624404
 135.6509667985  -14.2166569408
 301.6837931134  -53.1762493444
 168.2348824319   54.8454484838
 202.0388608541   50.5969305173
 237.2570361419  -29.5957067908
 165.9114274612  -65.1909529122
 224.1033171669   50.4734842480
  79.4930558550  -43.1633416036
 263.2594838541   14.1310096598
 136.7004022609   18.8951151956
  69.4899021409    2.1261426250
  96.8125738239   30.9439809847
  89.1486290798  -13.7714891974
  54.0165230953   26.4366658476
 276.1817953682  -72.4299735995
  91.1873248866   23.3864689193
  45.4205157499  -36.2602932570
 238.6451149106  -36.0602270276
 147.6403615245   66.0368234182
 239.7554599342    0.0292527304
 236.6574862283  -45.0345762440
 109.1749781065   24.7017994080
  71.8527869317  -11.2868296516
  79.2394347888   10.2697136413
  42.5621301839   -4.1087154449
  12.7213551055    9.1838226580
  11.7666522964  -64.3377223848
  82.6135151920  -44.9323436576
  81.5902663076   -4.9017810745
 224.4457343490   31.3166715379
 320.7228250158   13.2477036449
 280.1932348410   25.7109043602
 258.9404377359  -27.2815670002
 111.2105926497  -19.5067234351
 130.1009789487   -8.3790721294
  69.4286425340   63.2616016778
 336.0915233137  -22.0421480845
 201.6304901188   24.4451337963
 292.9459116336  -68.2653784964
 125.0447843289  -18.5036040520
 287.7417114107   61.3295879088
  36.8357076363    0.3131946389
 255.8151378397   18.9641575470
 329.5748311602  -25.3973484842
 288.8561666135   38.0518718797
 116.5393876979   66.9710027155
  91.2320984620   -6.9864061927
 177.5655730567  -27.8240917210
 148.2458008624    5.4375353828
 152.2208340020   42.2619249544
  26.3880612597  -63.8700873972
 216.4267518074  -42.4383908829
 267.7210216316  -66.1666459463
 284.6668301128  -81.6669495675
 136.7465850797  -13.8187068285
 287.1842288251   72.5451295684
 169.2508771132  -41.2345234871
 259.1749105871   22.2854679238
  67.4483942601    6.0517895694
 155.8645282880  -24.1341023321
 295.4605609699  -54.2682807363
 295.6780885354  -77.7320075703
  67.6074743514   -4.2469724838
   6.5189936686   66.4773125324
 252.6585373542    9.0973272853
 124.4771857574  -23.6513925932
 150.3623921792    7.7908415402
 275.9643405370   18.5871594849
 346.0107300247   13.0036945705
 320.6775338726   -1.8110770373
  48.7893375984  -76.2832802332
 286.3583594460  -38.3484967075
 245.2317179021   51.7131819402
 190.1734364265   -5.3932730905
 311.0034731835  -27.6800289468
 270.5842235598   11.3152834896
  32.8970497954    5.5831756312
 117.4685072041   63.3981224158
 147.4875065023   65.5226690236
 359.7065206791   10.4081463737
 214.3440191256  -40.9395818896
 244.9440000310  -28.4481553863
 131.7726935310  -69.3132206367
 142.1197113553   -6.8588260479
 170.5390237832  -48.5073756358
 208.5901288666   17.5024312526
  50.8388530046  -84.3088786561
 359.1473696360  -21.5731694219
 181.9944017953  -13.4276343676
 176.8691693735  -22.9486331558
  66.7423508150  -22.9189706180
 106.0905718166  -27.5336394330
