            lon             lat
--------------- ---------------
  91.6482845999  -16.8911461337
 193.0148200986   20.8350382092
 163.3299832118   -8.6198423775
 140.5199829081   16.6207167930
 103.8665781192   66.3618109926
   0.9218054104   64.9809187507
  27.6807527037  -67.1975965392
   8.6235873956   42.4606915946
  34.0661724549   15.3618254809
  99.2984913574   43.8971278462
  20.8846689911    9.1223930678
 111.1146684510    2.6190104435
 106.5209185747  -53.2425225405
 136.6512794251   -3.5452064705
 226.9840546750   -2.0210106750
 320.0208683160   -8.0350615878
  78.1137056940   13.6377316367
  73.8489737624  -10.0430070770
  82.3355451116  -48.6920155931
  35.5154217104   25.8363527283
  69.4078714686   55.2822470099
  80.5199246812   35.9365954484
 263.7944397794   49.1654142227
 265.7808362769  -13.2113161694
 177.8651594713   58.4412777811
  73.1928637234   32.8667032930
  15.5849260615  -76.4565606183
   6.8833024449   30.8742560029
  48.6452375020    5.9415434337
 207.1172687327  -42.9590621955
  89.4493432277  -84.6517063898
  82.7083024824   17.9635286207
  66.8683500157  -29.5794810924
 120.2468925341  -13.7931102996
 295.5284511093    0.1456405259
 288.2854381164   76.8362835301
  79.7902096867   66.4253375797
 131.8592240693  -50.1251614883
  71.9884972953  -21.4632466849
  46.3228716951   27.9832447528
  94.6559702351   18.8054110844
 142.7121215940   65.1431837531
 357.1387471319  -23.7920250980
 148.6813049392  -37.4460749714
 280.0562072251  -33.6978828714
 177.0826030794    8.1967529025
 177.2973637303   66.6567212202
 278.8994914624   22.3746680840
  21.7874731420   25.3277876872
 163.5184669030  -11.1903964984
 299.4837406471   63.5077321394
 131.3273950173   19.6301664847
  27.4848289578    4.0403425471
  56.8993396789  -47.0065455519
  82.3977086675   61.6108885976
 146.0614206722   -1.8835655457
 240.6375985254   72.1215341212
 185.3928954588   41.4610171291
 308.5600039296  -29.0666628332
  72.4410124720  -28.5924450614
 181.2591295226   43.4328893423
 278.3772625106  -20.6878509543
 338.8373633604   70.0138419019
 240.1988075397  -43.2420932872
 191.1676210462  -55.4370628581
 358.3875836762   20.0710738369
 103.5640267563   24.2639533235
  38.3563536732   77.9067268649
 114.9557300775    7.4587536078
   6.6484390306   49.9758379403
   7.3031993270  -44.5450152520
 290.9139291521   21.9427371537
 198.4224297819   31.2314678980
  71.5265759636   36.6101586338
 244.7840783833   77.3179749616
 218.0685041685  -26.0877364225
 258.8597241786  -29.7989554898
  46.6501559142    4.1701996110
 290.6959032245   22.4740557371
  11.4870427200  -52.2656889370
  31.3909775870  -60.6055603227
 171.7666250083   88.9474771545
 208.1843189347  -11.0249851864
  99.4056264852   33.5593423879
 209.1193412662   33.6741266846
 291.1694441830   24.8870447437
 229.2652659299  -29.4368725274
 239.2106254186   12.9904408300
 321.2059182900   -5.0030484809
 241.8155038886   -4.4376289268
  19.7566059295    0.0242043465
  45.1568603681    7.7048514005
  57.1754049812  -13.8169315852
 116.2179047493   16.1341764075
 143.7476379994  -19.1838049412
  32.0919415062  -48.5193923224
 272.0063923272  -14.0655550846
  68.3514387108    3.3070738675
  57.2767954711  -33.4958945060
 126.4508784016  -46.5836982822
 277.0019925618  -37.6771730603
 188.1946923431   15.1498391140
  89.6522405518   54.1269704987
 144.2032713138  -37.3713983018
 248.6109810264  -55.2616576691
 295.3133422483   34.1253041454
  10.8327663901   27.8351430457
  69.5597963332   -7.1208577060
  14.2035815190   47.5994973912
  45.5950941109   75.2852812964
 335.9353324546   -6.8285219207
 160.4978756258   14.6084112890
  11.6149550069  -47.7920106613
 264.1147264340   33.4064299734
  87.9402316802  -80.9898223636
  41.0314352495  -64.2752484409
  70.9021470823   52.4525692557
 290.4662554641   50.2593035882
 355.4714427746   20.0844141742
 290.3130345633   17.8554046680
  85.1918323678  -23.4802874359
 290.9299374654   53.7406062063
 141.8161497613  -47.0900303643
 309.8782066987    9.2416360892
   6.3948367729   58.1974580934
   5.4292866812  -59.8204425856
 224.4648667751   46.7939875034
 189.3670969199    3.7927405231
 136.8705397596   -9.4193902016
 220.9518122892   73.4347263648
 142.7960074699   51.9884284465
 109.3315848618  -81.3229021773
  33.7634659987   36.3084570211
  47.2336261803   32.1575215365
 354.6961752080    0.3643266323
 183.9919039188   51.9389910005
 328.1711030472  -76.4216107389
  18.9372367442  -49.9704104432
  15.6321921848  -10.0383869536
 160.0100035070  -13.0386663804
 209.3050322194   12.6784158423
   9.7834057565   61.2027698738
 284.0550902633  -16.0974006505
 138.4698055494    9.8920160418
 176.0171697200  -22.8082153241
 102.4312832707   14.3878717110
 246.9212664607  -14.6178344426
 344.9706922214   62.9954831217
 275.7839678218   24.3794289388
 268.9156920566   11.7240203171
 344.7513104698  -42.1219663603
 333.4098449505   -3.6941506870
 254.6607279116  -20.5565759194
 167.7486718671  -75.8881076281
 221.2933171746  -36.9384053279
  40.4420543343  -54.2135202010
  29.1688373481  -28.8113290919
 347.7797037908  -60.7235606962
 134.3347775445  -58.4490391254
 108.6272690721   55.9685153169
 129.8675484655   41.4704030399
 306.9502622059  -54.5228522346
 255.9215632710    8.9309202494
 177.9828409721   51.4370832881
  91.3243947179   59.9090310582
 344.1445023341   14.5089647330
   6.1875269664  -30.0560534933
 319.5714613841  -25.5648013495
 223.2335001871   41.4368187324
  77.6223880396   17.5400706672
  84.9499714638   -8.5005493650
 163.4083032180   15.7751950317
 107.6921784936  -25.9707720700
  29.2508872115  -28.3650155419
  81.2555399708   32.9292223680
 271.4161580666   -9.1510918151
  70.2024175398  -17.6786937344
  33.4987726921  -32.3481233636
  95.3862333696  -26.1768383277
 109.1590595531  -34.1300405976
 119.6974965066   -0.6864740174
 226.6936373297    4.2663124677
  74.7478416990  -70.8877717330
 205.4744030180  -50.8350280333
 240.4792148141  -49.0684348438
  13.7687486500    0.8386837432
 273.6578675706  -71.5325464887
 354.7584171172    9.6894269987
 287.5826027451    9.9378649606
 306.9154188523  -44.8127677629
  83.9439447207   24.0709939362
