            lon             lat
--------------- ---------------
 322.7468015717   24.1660741461
 122.2946323330   47.2538010626
  53.2309556800   57.4391896799
 318.3197356764   82.8131977843
 222.5725819330   35.8048590305
 216.2624937639   -1.3447640075
 359.9200790826  -29.5436222431
 233.3382613439  -16.9616442026
 269.5953920468  -15.5190850883
 250.3358265219   43.5598885286
 269.0576773002  -29.8161317889
 314.0953222736   50.7198507189
 359.4150421043    8.8758044126
 357.5091882826   64.3790085306
 107.2578716122    8.9778536699
 170.9390724374  -76.2506806822
 286.1510120772   23.8997952841
 308.0752967587   11.8224800388
 345.9811873900    0.4501936324
 260.6633905111   -9.5514610587
 239.9499477935   23.0570677196
 261.9067379528   29.9848230819
 166.8917299518   -1.0103802840
 108.8822413395  -30.9659715709
 180.3838402929   45.4907888947
 264.5566280211   23.6324572160
  11.2358030527  -28.4663475411
 240.4351848265  -26.6003166889
 284.1454159103   -6.0459385197
  62.2722172747    6.5734107498
  17.9777366667  -16.9424883636
 282.7145775425   29.2676495912
 323.6219503786   -1.7985392402
 342.2722900436   47.1124126996
 141.6610641673  -53.0286445278
 194.3556723222    9.4488653355
 227.2262987051   27.0802931909
  12.3393754469   18.7056830997
 317.9511642828    5.6232540471
 262.8188670115    0.0821269851
 284.5330703973   40.5370820134
 205.4047618897   44.6060866739
 306.2821368704  -62.0549685814
  24.0296477031   32.6882675565
  84.3242383994  -46.0409202810
  94.9499965953   58.9001353983
 187.8496587100   39.3816843950
 152.0469668627  -26.6417324659
 254.4381127735  -20.3867081562
  51.3442788259   55.0843075797
 190.6745233976   -3.8556862635
 290.8342558698   74.9876961493
 277.5458493021  -26.2511245817
 337.8985410045  -14.6340736361
 232.2726314130   29.2454031758
  19.4197814538   68.2330167046
 183.9284724566   17.8341839193
 155.1223194348   51.2089021014
  80.6263923964  -70.6641358588
 324.6379039588    3.0649176447
 160.1619805628   53.1167391053
 102.7751708397  -44.2956364767
 206.6351146108    0.2377094674
  71.7376014346  -15.5159465100
  46.0036608803    6.0237917914
 241.8665605125  -39.7837016671
 278.2228171677   49.4028035521
 214.5800482681   15.5524498533
 309.7400778191   56.3221997131
 227.3544831664  -11.9825431183
 338.6999527808  -48.7248281305
 160.4396771445  -35.1438376730
 137.3565677714   42.8958148231
 260.3033411070   22.8485637224
 189.5002568006   17.7172104329
  81.4916298542    7.3925184227
  88.7220597095  -27.9651044028
 285.1039607379   -8.5324829938
 160.7011132959  -34.6174846720
 347.0576041198  -42.9365635632
 352.1118414993  -29.8302959144
 202.2422792802   20.8077326596
  90.9717474858   22.5825695549
 264.5985881613   45.5155410294
 140.5896750058   33.8977384380
 163.0398434454  -33.1207157779
  82.4306072872   -3.0183200564
 125.5826125139    2.6063435646
 180.1938041500  -74.0181751937
 110.0582800181   -5.7627153821
 278.0654133008  -34.9434100834
 281.2280965912   -8.6411368337
 305.6996173409   -4.7485139116
 294.7932670573   60.2649205883
  17.4229912737   50.8123189854
 338.1621381913  -31.3024663651
 109.7678692433  -37.0315875203
 293.3423860031   11.5305716830
 324.6084826325  -10.8045765671
   7.5377774522   20.9497054666
  79.1951593810  -43.1004004974
 112.5388555680   50.7903364043
 239.7574528160   34.7679718205
  19.8021242407   32.7046682282
  59.9528661819  -22.6026374337
 172.9366091740  -28.0371969861
 245.5591436380  -26.3761618752
 303.6966900612    8.9975583519
 232.7711882645  -10.5112072655
 217.7260975928   16.2624571126
 236.7102774044  -74.5043983075
  92.2223230492   76.3388105160
 341.3614553499  -44.7093760769
 153.6337737946   -9.6410510024
  14.6884526262  -15.0856117353
 355.3730061053  -24.8442553225
 243.0650040518   23.8418729432
 179.5833999614  -12.7266070949
 239.0043493719  -41.4519032234
 156.3895864265  -37.6750693273
 325.4194422089   15.5767548161
 181.8533611409  -10.0340690620
  18.6731167980   22.8783435376
 170.6237138517  -56.2368906442
 222.2207964211   -5.5094261489
 358.1282487085  -41.7122896388
 156.2324227688   22.9764860855
  96.9094865092   45.9701025823
   2.4665340602   58.9870896213
 185.3321937045   23.6326309509
 207.8756279283   57.6714967983
  17.2465642464  -12.9313508548
 250.6735714026   -5.8187958877
 259.2554307413    2.3961806896
 258.9793809193  -56.3847681590
 169.9501749978   47.0728030854
  22.4586054086  -33.4270397924
 341.9240633993  -39.4437484820
 288.1817662389  -42.4307553620
  44.5750699278   54.8057730260
 116.0983449711   30.3313925278
 221.7150724854   -2.0899302353
 110.7010001596  -48.8196877849
 340.9439176742   76.9054564080
  57.4489448679   38.9486241312
 292.6642244441   46.9110497988
 101.8872648749  -13.7747818486
 210.6831287275   -5.9893609371
 151.8826419532  -23.1526649663
 136.3838135259  -24.4590174982
 353.0235411565  -63.2805272960
 223.7935811966  -72.7735124209
  97.9566160111  -22.4758975477
  27.6321398162   -6.5728939930
  72.9165891860    0.1721306994
 344.2821894477  -25.7719656120
 314.7628258938  -33.5034586212
   8.2660651839  -46.6385306903
  15.8507367931   10.9693950369
 231.6915998234   43.8274080831
 233.2469598694   63.8116043097
  41.8444019197  -52.0371715196
 127.8471857690  -14.1389667056
 172.8071441736   50.3240482400
 232.7456434014   33.9040810234
 229.7479844640  -51.8464292646
 316.7397957653  -53.4741333240
  72.4904577817  -80.8807452515
 150.3390725098   23.3209962514
 281.8861180221   24.4620193825
 311.3210030985   22.4436868706
 100.4241654296   74.1231307803
 341.1903839218   30.1952476823
 314.2397569879  -33.3856006885
 265.4294632771   30.3560932201
 115.4085348595  -35.1058114555
 313.7897989255    5.5821174241
 319.3360819830  -30.1410193917
 333.2021797239   21.7839951915
 348.3997938289   24.9600246627
 326.7014783217   56.0517873998
 113.1621143931   11.3968430775
   3.9973939709  -13.2037027593
  55.2145079662    2.8551382518
  65.8430485338  -16.9128884071
 273.8609077270  -39.9831828187
  39.8219125448  -29.9198680812
 247.6801148824  -49.9446710506
 146.4134769600  -40.8617912939
  52.1688897078  -59.8684489796
 276.0275703163   31.5921865304
 282.0188245483   22.7694445856
  42.7906617412   43.7699825068
  32.4733357080  -42.6189801970
 275.9469660455  -48.6330735396
  82.5086925066  -17.9387756555
  91.5071061026  -55.2786275914
 184.7076725117   41.5218453478
  89.9552575636   63.0730218016
 193.1633769635  -30.7338590144
  32.2724076075  -76.8449163310
 133.9821440053    1.1117690553
 143.1542885746  -25.3719622677
 302.6596696522  -23.3886097301
 168.3369028425   64.7308405791
  18.6802273493   -6.7546346349
 169.4377979813  -52.5754280531
 168.4934882399   17.6950587733
 260.0030785096  -27.3857189345
 134.4295636978    2.1787254117
 335.6403337777  -69.1410057572
 201.3356817168   52.3533642267
 222.0038365611   37.5134935132
 226.1447002166  -48.4334909671
 131.8052721205  -52.7299577035
 237.5571177228   31.8320044024
  82.1548190721  -19.9494687172
 263.9388490194   -9.2098550950
 146.5472694491   33.3015003145
  68.1564670037   24.1680618082
 101.1729241321   54.0532252512
  89.7251297311    9.6702988172
  43.6480414781   44.5334688957
  68.7586099815  -83.5828222133
  92.6127755007   46.8004824991
  53.7472274977  -18.0089867671
 224.4825189658  -54.9212980783
 205.5036804138   67.1886820159
 238.2071399522  -20.3410296992
 214.8443584009  -62.5477997467
 116.6198437980   46.2225365624
  72.4424479905   11.1739701694
  78.1162484292   33.3448347976
  41.9395632962   12.0716029783
   8.5317476631   13.9729988607
  46.0389448588  -52.0049014625
  84.6567729281  -21.5882601678
  81.8165418770   18.3556538864
 231.4708792385   13.5037638460
 319.4215011788   -1.6121252165
 279.6383595041    2.6794565492
 255.6450483512  -50.2615044745
 110.4560616653    2.2987143670
 130.8103774802    9.3003693429
  12.3043829324   81.2261836366
 347.5567449693  -29.0894015390
 209.5908316858   13.8075950833
  20.7568329403  -80.6024428046
 123.4819762949    0.7316584367
 280.8517190754   38.6479740163
  34.9442482839   14.5121326758
 257.0803616086   -3.9325177345
 342.8490699632  -34.6459532373
 285.6613885154   15.7465341921
 194.2364759969   79.1076275318
  91.9026500476   16.4332997807
 166.4317572730  -24.9078746657
 152.9245970358   16.7247529228
 176.2425571051   48.4491430880
  53.7005851167  -47.9302231342
 193.3116734691  -53.0043491872
 223.2286252062  -89.4411322661
  80.7782567896  -74.4101977718
 135.5633777735    2.2472364498
 277.7378132546   49.6434250517
 152.4386041420  -33.7473961960
 260.4756321640   -0.8650427971
  65.2491998225   27.7354258312
 149.1829085949  -13.5402216265
 328.6808582995  -72.2195146613
  65.1624202265  -76.3740515409
  67.1657677295   17.5878105518
 320.7531399147   59.6294870204
 252.9903020581  -13.4403332898
 121.7600869635   -4.1488661012
 155.8738565842   18.1536453979
 276.1906193771   -4.6820500786
 342.5459705043    6.9601856235
 324.2371230546  -15.9034548827
  73.9209967255  -54.9802513870
 297.7389711687  -60.0608884941
 252.8010494614   29.6077199899
 187.6968295198   -9.4913410327
 324.3620503874  -43.3787834045
 271.1726866041  -12.1149821084
  29.2431447487   18.1614134721
 178.1121159559   77.5590325769
 204.2702733886   66.9942958305
 356.0240971946    9.9333272388
 192.4123848635  -50.9167704056
 236.4400529698  -49.2138714627
 110.9044728332  -49.0794648216
 142.7650764432    7.2337847426
 148.9191237168  -40.5206281963
 213.1879770805    4.9880941844
  81.8825840287  -61.8601302911
   8.6242726948  -19.5459696536
 176.8608258506  -13.6016222629
 168.0928955861  -20.2372424401
  69.1358951307   -1.0019067835
 104.7143411833   -5.0162197337
 281.6245715798   32.9925613358
 105.7451411578    7.9918987878
 246.8364443689  -36.7033560103
  99.5637539804   30.9988358061
 354.6129220919  -52.7821241596
 259.5829551594   74.9243803488
 326.9960272366  -26.1469071890
 329.4423812534   22.7640360812
  68.6499134230  -27.0219556433
 116.6008665040  -34.5764652117
 236.6487693094  -48.1856184247
 327.0137408886    6.8643260067
  54.9434785386   -1.6232551641
  72.8040219902  -59.0006876164
 136.6614639415  -24.1461003105
   9.4425620867  -37.5668311870
  25.0351554606  -20.2130858916
  70.1039172299   -7.1079360265
 228.9127071411   21.4564711692
   0.3274116484   56.6809608958
 119.3655704936   37.8322001851
 222.3814050296    0.9064882260
  76.2830936583  -19.7016778406
 248.1412289716  -17.1342196997
  88.0966078803    9.4902421912
 247.8904729072    6.4967998920
 201.6386656660   46.6019952865
  93.1567597187  -11.6741876139
 100.3458338629   -6.0142895727
 323.8196245361   -0.5169165311
  99.9889260017   21.3240737241
 309.0016009965  -33.4765572677
  73.2651886690   -7.9856112225
 116.7454726888   -1.1216725327
 322.1085027688   35.9492262270
 199.6292055757   34.3898684848
 145.8534907853    8.5173710775
 343.9521424529   46.4630582570
 237.3296660010   32.5577890920
 140.7331930949   52.7504943990
  97.1779132106  -23.7784603246
  17.7479573543   17.5458012965
 109.2521871246  -37.3643066310
  14.8742346159   26.9690998257
   4.0441240717   -5.8466391344
  22.8715939381  -15.9977550609
 127.0044385037   15.0915928149
 325.4058812189   69.3883414075
 196.4550771721   18.9787438875
  83.8692332621  -46.8038634129
 319.9787000025   54.1180692103
 103.2215247550   71.8935684497
 220.7987464548  -68.5741140361
 187.7784411013   -5.8441958826
 120.0478713179  -56.2648072429
 246.0020259950   24.7350588879
  59.3433493542  -28.1080830869
 284.7804147962  -22.5701807971
  54.7414044099   -9.8629852968
 189.9827330898  -66.8227037522
  79.5251725392  -16.7516728663
  17.4428654332  -18.6024143348
 235.8335170453   24.7902291136
 230.9730088634   -9.9578817064
 231.1789813363   -9.0958874710
 321.1790772085  -38.1823983789
 169.2245967256   74.5408342159
 145.6994921032    0.0391106343
 191.1644051433  -58.0285679248
 325.2337556580   27.0311872396
  18.7645868005   69.1519266809
  64.7192432136   19.5746237016
  71.4130829125  -45.4555765585
 259.7704795098   21.4736527722
 336.4367341111  -11.2091182952
