            lon             lat
--------------- ---------------
  74.9677783645  -19.5142980091
 172.2296887258   32.4023566511
 143.3382725301    1.1111155547
 116.5847927843   22.8181643491
  59.3242907261   63.3359228715
 345.0462912796   53.6920297786
  17.9268058364  -78.3645923279
 349.3275228554   30.9636121853
  13.0622326461    4.2869217334
  68.4207134165   41.3739932857
   0.4260794104   -2.4363758751
  90.0889092766    3.4839114145
 101.1717505425  -51.7094027467
 116.3536214581    2.2943235424
 206.8840035764    7.9654185074
 297.6786947252  -14.2813103687
  55.7756907746    7.9331779507
  55.7453798770  -16.1227221682
  75.3937330288  -52.2074182860
  13.7548784042   14.8265440064
  38.2649131113   47.4020605692
  53.5018604975   30.2350636716
 257.1210723844   52.3700344925
 243.2643639382   -8.8904334937
 148.0803432448   69.1234750916
  47.4712623285   26.0299953834
 349.5832645209  -88.0370206995
 347.3509613671   19.4312378884
  28.1274405331   -3.8927360084
 185.2011805383  -31.5353992244
 148.9153232880  -78.7675358042
  59.3880439205   12.9963746714
  52.5366569562  -36.5211886071
 102.2889423728  -10.7963489768
 274.9695533004   -1.6560235503
 307.7820605437   72.2642312193
  40.8644658009   59.5052399094
 122.2451783185  -44.1632916421
  56.0770296649  -27.6778385937
  23.5640535707   17.7966650015
  70.6992282679   16.0578741232
  96.2776822195   69.8352210765
 334.4478883413  -34.6529912550
 133.7017187175  -29.2473697389
 252.3021265462  -31.6425519763
 155.7120563830   19.0980001334
 140.4698523558   77.0562445854
 263.3869438480   23.4285592093
   1.0153676661   13.7812223578
 143.8050639533   -1.4235165660
 298.7032210755   58.9442845120
 106.6101507918   24.1067526277
   7.1411875947   -7.3404800108
  46.7848824408  -55.1773435056
  45.8852935656   55.3581533590
 125.3712858759    5.4856423348
 259.5247143924   77.5809226756
 162.2731483008   52.7824722953
 281.5467199671  -32.8037369678
  58.1659403031  -34.5919173265
 156.8834402151   54.5119158439
 253.8801155510  -18.6253461689
 331.3984264016   60.0283253136
 213.6950230927  -34.4171489155
 171.9063428284  -43.8854231714
 338.8975675278    9.0241953454
  78.0718975996   23.1441882856
   7.5080855301   66.7490107861
  92.8814618638    8.9933588850
 348.0147044949   38.5249626859
 344.3441466079  -55.9459613556
 275.0055812924   20.6003801342
 178.3268589730   42.8156810841
  45.1571483081   29.4496760889
 284.0041330393   80.0915656896
 196.1067364348  -15.2425631523
 233.3585813196  -23.9426376394
  26.3289554877   -5.8614735987
 274.9165255573   21.1626255109
 349.1207567566  -63.7950368811
  19.6056959917  -71.5897451943
 358.5218120767   79.3551894619
 187.5592676302    0.3339334048
  71.7223968065   31.3810871650
 190.9683690871   44.9397955448
 275.9388957882   23.4244601372
 206.1025163322  -19.5253752702
 221.2965527938   21.3560697378
 299.3999458316  -11.4948519627
 221.3575708481    3.7370809009
 359.4156893703  -11.5487424220
  24.4968111356   -2.4908448771
  39.3130770679  -22.4588980339
  92.3019110154   17.7380117329
 125.8775404788  -11.9549987042
  16.6486587887  -59.5553355241
 249.1204457473  -10.9037936065
  47.9890117613   -3.8710639135
  43.0975726035  -41.8811831714
 116.2756337754  -41.6467601812
 248.2870398781  -34.9171847039
 167.1175866248   26.6095745354
  55.6868857243   49.4276238346
 129.6634271387  -29.8038409491
 217.6209297957  -47.2753041092
 282.2501593795   31.6141144578
 350.8758333922   16.2962827727
  50.9015767992  -13.9676067799
 354.1851143453   36.0160341175
  12.8069839084   64.5367553543
 314.0079435583  -15.5417218078
 137.6335945604   23.8462433801
 349.6402515717  -59.3274115114
 251.5097264057   37.1091623124
 131.3427253460  -77.8377246977
  37.2796693558  -74.1297936505
  40.4545130324   44.8562027410
 283.3287065891   48.1135575160
 336.1309732699    9.2245664568
 273.5096053865   16.7251253443
  70.0045120509  -27.2194548767
 285.4202433003   51.3346153224
 129.8966270675  -39.6787190069
 290.7529812984    4.5172266350
 348.3474664225   46.7442901040
 338.7533181019  -71.0744762603
 211.8369261907   56.6760068050
 168.7113009573   15.2909414661
 117.5890398403   -3.4527305897
 238.4822765456   82.3558192344
 107.9158675981   57.6712708949
 139.9255633152  -75.2210354787
  11.4196848262   25.1757839819
  23.9192943021   22.0314932055
 333.9061337018  -10.3855496616
 158.8799050409   63.1525292228
 252.5098430767  -79.5974381033
 359.3693573342  -61.5482650423
 355.1708886258  -21.6283011736
 140.6062268647   -3.6530354475
 189.7773819270   23.9657589168
 351.1089280660   49.6708156302
 260.3906484292  -15.2625640465
 115.7798678124   15.8413225019
 156.8474156539  -11.9043219808
  79.1742404771   13.2657908228
 224.8180409438   -7.0790767868
 333.0581862628   52.6616182660
 260.7964854339   26.0093421137
 251.1590407375   14.9884683572
 317.1511851364  -51.6015068418
 311.8887089861  -12.0901112098
 231.2177579325  -14.1585968697
 159.9329623615  -65.1087579826
 198.0499568366  -26.2861007605
  29.4306423983  -64.4328062789
  10.6325197581  -40.0831065437
 312.2536556984  -70.1557538285
 127.6830021797  -51.7919431770
  71.4492433953   54.6786422902
  99.0336006650   45.1002979089
 269.7769513921  -56.9721312975
 237.6274736052   14.6656390904
 150.9426251808   62.2170029299
  54.0949133377   55.1993439498
 324.7740867827    4.6560382994
 344.1592408050  -41.4307428200
 293.7096452409  -31.4351242834
 208.9033107752   51.5249438232
  54.5943954769   11.6878668465
  66.5694650632  -12.5875118886
 140.5374540621   25.3561232784
  92.8395324688  -25.1729637331
  10.6928428582  -39.6333930532
  54.8893700642   27.4181200325
 249.5235759140   -5.9715447417
  53.4695010174  -24.2630005612
  15.9422229313  -43.3551529089
  80.8492078818  -27.8417725291
  96.4002402567  -32.8221253122
  99.1653285777    1.9481185041
 207.2522992099   14.2490636174
  90.4227169834  -73.7950707781
 183.4204993645  -39.3575559934
 212.6517371824  -40.1874823881
 353.3121585702  -10.7390521810
 226.0613419306  -66.2011870289
 334.6731552381   -1.0914542858
 269.1686293328    9.5241046270
 274.7130198395  -47.7352800413
  59.3427985826   19.2115045430
  53.0803898956   10.8662321419
 144.7279156183  -13.9768432636
 262.1694985452  -67.7700455370
 345.9057744633  -15.7489949219
 220.7987857684  -25.7792655148
 263.5536619623  -28.3314766773
 145.7742652153   74.1286522399
 150.6645565753   18.4538935442
 303.2403985294   32.1371617167
 297.3122123054  -39.4238764669
 227.2448687568   27.9545274553
 256.1602348348   18.9456368529
  19.1687050274  -27.2397009232
 138.6931692130   49.2876115080
 139.1696117012  -68.8891774286
 288.8228454911    7.7108845490
 230.6011530103   65.6377353520
 358.2279137885    5.5783802810
 226.4522702883   28.8778260171
 319.9796183364  -42.7228465329
 111.0857197700   63.9880691657
  63.2673474972   63.4112059791
 324.5510466748    8.7697976463
 270.7436652767   -5.8557521835
  50.9201976435   51.0760057750
