            lon             lat
--------------- ---------------
 354.5132243013   43.0752196764
 112.0384133985    4.7714591729
  71.2011194273   15.1549605821
  82.7282990321   47.6377048228
 175.7251597751   53.1650350452
 208.2934666503   24.5546471146
 338.1773809548  -19.6426149645
 232.9409673756   21.1386179379
 270.2417489065   31.3583303980
 172.1766080941   75.7246639314
 269.8432658150   17.0573185989
  30.6828866584   59.4281092868
   6.8066340365    6.4790061029
  56.8975208944   39.0543230243
 111.8169726962  -35.5800645804
 251.7447065821  -43.7317418878
 310.5609802521   66.6233836682
 328.7017088806   44.6235397970
 351.3428770510   10.4972344703
 259.1968537114   36.6430579740
 209.9957981154   58.1066689544
 241.8493496603   75.3600809081
 172.3946352237  -10.2285352254
 147.8701634589  -70.7175467262
 144.2729257632   29.3987024081
 255.9774029832   69.9995010937
 345.7122212335  -26.7965263931
 243.4983560064   15.1650026087
 288.9709624239   39.1864167180
  56.6738735091  -34.3042813195
   0.0131626703  -24.4997641086
 311.1946583223   72.8038498072
 332.6847405186   24.2838005345
  31.9346568862   40.6993859810
 215.5224342085  -54.9268241998
 183.5352703415   16.9013475536
 191.4177952023   52.0190481247
  22.6240288959    4.0992504014
 333.2356023457   33.6073365920
 260.2384522280   46.4821162060
 352.2082554472   78.8829282980
 155.4141326197   44.6632599648
 287.7704114517  -19.1539778344
  39.9674070229    6.8354666247
 322.8990247903  -85.0149255803
  93.3111910035   12.1039041398
 153.6501839194   30.7133325858
 183.6643295905  -37.7584867598
 254.6028272189   24.8969281577
  69.1211754442   13.5480436692
 190.8415533112    5.1014941830
  81.0090011308   56.8163799444
 277.9115156954   20.2808709904
 334.9047840767    5.3380251905
 192.8669844632   56.8941328972
  66.0491801676   33.0121840275
 170.0268513183   14.8885436410
 127.8879226180   19.9017080763
 277.3089972976  -62.0600040311
 337.0850975735   27.2825353431
 128.6819961313   23.4574669310
 192.3394204552  -80.7012852081
 199.4472958693   19.2716120872
  55.6337564218  -58.2912788352
  40.0092573275  -26.7721790348
 249.4172942356    3.2813407427
  51.4689217582   81.5382197715
 193.3497378225   35.6167817743
  42.4068021238   61.6499035518
 224.8506390183   22.5364662411
 311.4860022830  -19.8041654305
 197.5252638881  -36.3918831619
 123.5024636220    5.9132191824
 245.9992467202   68.1932762607
 173.7407024988   18.8302691846
  79.8312552180  -38.8970027794
  86.3849593619  -74.8085199675
 289.4069077883   36.5466465331
 197.1082139252  -35.9339776679
 320.2038227550  -20.2387264608
 333.3489421477  -14.6615971014
 179.5448577651   30.0712988602
  91.6825599113  -24.2899260786
 147.0559774655   85.4550524493
 130.5875950971   -0.1958729800
 196.8384415379  -33.4923800742
  79.0514829095  -49.3350741693
 135.3428171811  -34.1890813307
 249.2927659510  -41.0297214147
 121.8037758463  -48.6603063731
 277.4407504178   11.5888836354
 284.6908819101   37.2368930267
 314.1605855915   32.2851775844
  58.1625244404   67.2501540267
  49.7613353361   23.0612432506
 323.7530007680   -7.0735208415
 165.3842475127  -73.7444112451
 310.3133529066   52.4930660631
 327.4139586224   16.6849880613
  21.1206319441    8.9162555659
 357.1532595515  -82.1168783669
 104.7988399526    5.9384822148
 190.1473000515   65.2007250726
  37.3570957642    9.2801875727
  30.5889709320  -57.7788577807
 197.7641855436  -23.6112191626
 247.8976811835   16.9564554653
 321.4582066627   44.9675781140
 229.0255609703   26.5330932881
 195.2514250699   38.3280289586
 260.9784466832  -29.7156699197
  91.3014960634   29.4687412903
 315.8976292913  -18.3662358063
 169.3651088813  -25.7258326888
 359.3113333445  -20.8909424569
 339.1756304702  -13.5181452959
 213.0404913726   60.6325528010
 189.7822391982   -8.9615631166
 247.9908818845    0.9425206451
 198.2528843670  -40.4785614497
 348.0689176434   35.6345572501
 189.3041613439   -5.5009290630
  29.7780089223    2.8915780557
 225.5195469113  -39.3722187465
 216.2753986309   24.9982033896
 326.7468051048  -25.9139270887
 148.1129370216   -0.2302363831
  95.4950935229   -0.6974130419
  51.9206079887   34.7261468133
 166.2868750321   19.6422803620
 137.3739562390   49.4723086305
   2.8015395933  -21.3382970962
 245.9944302862   38.0190783823
 254.4817523115   48.1642581190
 264.5308318914   -9.9394402686
 138.1437594859   24.4406642225
 347.2700358614  -37.5355102940
 320.1761995361  -15.0326494728
 284.0313150048    2.9035727047
  65.5116036367   15.2687933847
 113.6083544155  -12.7427919793
 213.5213807595   27.4156184376
 209.5737358751  -74.5865939422
  72.7321941356   46.0351358779
  65.9303484008   -2.7963652580
  21.9089164646   73.5994867803
 113.5006710464  -58.9225235466
 207.0170286687   17.4034695295
 180.0478601444  -35.8067147819
 169.7904661537  -47.8462140072
 303.6205557546  -34.7983650386
 256.3760333050  -30.2178364110
 110.9580099358  -68.3241266407
  15.4286039901  -24.4900102526
  66.5609000451  -44.0783806876
 331.5168045726   -6.8417223542
