            lon             lat
--------------- ---------------
 335.2148029408   36.7853386922
 114.6617480392   26.3435665514
  67.0442744890   37.1080224477
  75.0458614891   70.6997361661
 204.8887496147   48.7724149124
 215.0025002412   12.1094435683
 347.8961634114  -26.5947549891
 235.7762176568    1.9940472768
 270.2084594978    7.9192092705
 235.4443876395   64.4891236115
 269.8492456041   -6.3818950065
 346.5812712092   63.2760491118
   3.6629229424    8.6483602028
  39.2259233334   56.8062464397
 108.1105144172  -13.5023545612
 237.4498326688  -65.1213342287
 291.9037859474   46.2420501823
 314.5102403021   29.8284703170
 347.9074969988    6.2162570242
 261.1012448288   13.5368985215
 231.7325671950   42.3692391851
 258.5613978024   53.0396021592
 168.9703098697   -6.3794139925
 117.5265418898  -52.7642517517
 159.0004545327   40.7484474439
 263.0335898509   46.8991098276
 358.4911575148  -30.0827150285
 244.3410903611   -5.9447544369
 285.2561758699   16.7465380363
  62.1081191264  -14.0358854464
  10.2864714482  -22.3577187690
 288.4364275088   51.9968803233
 325.9473111587   12.1772066607
   9.5757296048   49.2703785636
 177.6454014773  -62.0906323868
 190.0805924607   14.0794455729
 215.1862076636   42.4319970856
  19.3654777960   12.6039839372
 322.8083054062   21.0165053590
 262.6977404897   23.2899670705
 294.7548047931   62.8565961265
 180.7185653808   49.6979134238
 292.5352952484  -41.2130983677
  35.2509771841   21.2779905693
  78.7424687025  -69.2058887745
  93.9776451846   35.4974960043
 169.2014728663   38.3444306392
 165.9659462340  -35.5845585878
 256.0537770638    2.2000126588
  64.9164384424   35.1868963445
 191.9621241393    0.4045591273
  62.3229911328   79.3882720392
 277.4281405255   -2.9546630535
 334.7923623042   -4.7392657383
 219.8734515099   46.0676613546
  55.0130318787   53.5809535780
 176.9115822092   17.5967230763
 136.6325593244   37.4090311815
 308.4846639677  -84.5034862401
 328.5929452249   16.4335207932
 138.9842421394   40.5472053286
 113.6253681876  -66.8037254902
 205.2411479100   10.2415385554
  68.0573332529  -37.4416387277
  45.9058177340  -10.6584068413
 248.2618861390  -18.6181079116
 287.6650505420   72.4174852410
 207.0486797156   27.3641054256
 350.8850531314   69.1999059637
 228.8805970694    5.3092585076
 320.6036797032  -36.2427439115
 178.9845996291  -39.8490291400
 127.3272166819   25.1157231052
 257.4842836653   45.7941953062
 182.0521238843   19.7051934932
  81.7924094798  -15.7469978260
  88.4829135465  -51.3882648296
 285.9815366232   14.1778575836
 178.8971173513  -39.2846745233
 330.1686434305  -33.7981704508
 341.0156459673  -23.8810843076
 192.5732735071   27.5462754821
  91.5337753123   -0.8595861677
 259.4481743016   68.7074450495
 132.9830891760   17.3939063441
 180.1535000840  -37.0407728119
  82.0719466039  -26.1966655863
 127.8591770429  -16.5163234989
 235.3740530518  -62.0024051293
 113.1618688544  -27.7464115447
 277.4426315060  -11.6583900643
 282.0322777787   14.4092104803
 307.4515580381   14.4072729500
 342.2210051199   77.6299121715
  39.4218455942   39.7003512867
 328.5563843466  -20.2663576253
