            lon             lat
--------------- ---------------
 218.8228179281  -19.4655907615
 286.7895320371   81.8298850069
 255.7633624221   41.7059482443
 211.0824649245   38.7538462006
 146.2043980802   25.7658782886
 113.8610314744    4.4279534445
 292.0105563827  -50.8513857906
 114.8373613098  -18.4894566903
 144.9414852809  -42.1262644915
 167.9385755041   15.7664278318
 129.2043518606  -51.6405036471
 210.4335922439    6.6426984011
 259.6480520097  -21.8342736328
 229.6305075622   25.4342606734
 350.1065299434   46.5126098949
  40.3615058285  -34.4446392067
 184.0217264547  -15.7285995236
 203.5114719318  -32.0055414364
 251.0990007716  -35.7758084280
 141.6128331666  -31.9019943105
 147.5412549439    6.0769600169
 167.2558455122   -0.6210271378
  71.7782104739   34.8616190732
   8.6881974799    9.8038894051
 136.7083508500   58.0961940979
 165.8063260776   -7.2427183867
 299.5776355272  -42.3527383562
 111.7702285717  -29.8201850763
 168.1731773538  -42.4854576652
 309.0555199656   17.3670882807
 293.8126373364  -30.1104947180
 183.0118269651   -9.6232310247
 224.0300970624  -45.0823564880
 229.2959160244    6.2740530508
  35.0323662489   -9.1661383220
 104.9561979128   27.2396897852
 142.0124858285   17.0123638022
 264.6244251662   -6.6495463006
 215.3653204700  -38.3357508398
 150.4467946060  -25.7653958921
 188.4161504360    0.3899700633
 146.1237908636   41.5065849691
  43.0799998326  -73.2642919187
 264.0196950175   10.8178000150
 357.6459991278  -11.8235279453
 257.0288123638   63.3858916975
 130.7091053167   50.6481755794
  47.0719154533   15.6144753436
 127.3396578424  -35.4673556028
 258.0121153044   39.7720080847
  92.5107854407   19.4732442959
 203.4929153805   31.8887400774
 141.9169255499  -55.0176217451
 250.7944644627  -52.8471536251
 146.8484401730   15.3090315795
 234.4017541672   34.0370724654
 103.0416839770   40.2877985578
 148.8741192878   75.1424233442
  11.9744858025  -32.7236943170
 224.2966443529  -40.1178663259
 153.0363832081   71.7083095024
   8.5255677626   -4.3645213329
 107.8725561709   12.1816679499
 331.1619094448    6.8579675448
 297.6037493875    5.6896644789
  99.7200159190  -38.5636576991
 187.6289080167   10.2767937406
 124.7770553219   17.6210758560
 207.9591197927   12.3085791517
 114.3320465039  -10.8674490106
 318.8978728347  -73.1252402906
  51.8228020647    5.5058972776
  69.6519309032   86.1551699442
 162.0849894708   -5.7538974454
 107.7356375272   36.4617499680
 323.9852440877   30.7944118990
 351.2853580334    5.4613474987
 167.7022127880  -45.1257806496
  52.1927744139    5.9389398797
 305.1043349323  -66.4021731501
 285.2741824825  -56.3458653046
 120.2497849204   29.7766879373
 319.4279786512   48.1699455588
 177.5205198559   11.2780312345
  55.2575179878   76.9780546612
  54.5313233451    6.7188732592
 332.0324740502   23.1790972314
  18.1783898715   46.0566153967
  44.2410324997  -33.9155354158
   1.1780919409   34.0730571759
 129.6172909621  -60.8049366773
 162.9880313010  -43.3116382147
 197.8779259783  -48.1920821688
 200.5354473434   17.3412532661
 247.6604246652   21.0953641553
 270.7465887143  -66.3054601449
  11.1876555236    4.2199269990
