            lon             lat
--------------- ---------------
 334.1097705102   36.2822936418
 113.1272757202   26.5690110682
  65.3792801897   36.8835238982
  72.2462973892   70.5430464769
 203.8718640038   49.2793063387
 213.7898155037   12.5687398845
 346.5523103444  -27.1377412853
 234.5118618656    2.3121849851
 269.0043263694    7.9230217542
 235.1284476643   64.8060272474
 268.5054422046   -6.3739043798
 345.5627587464   62.7358850014
   2.3771820643    8.0924669517
  37.4214067412   56.3696423617
 106.9559506234  -13.3346698387
 235.1762700250  -64.8124342335
 291.1609795969   46.0377527999
 313.4565341011   29.4419270775
 346.6387914288    5.6732604054
 259.9523265749   13.6284986917
 230.8496538005   42.7172656985
 258.0055894476   53.1525894613
 167.7010285012   -5.8342324002
 116.8938528343  -52.5096796218
 157.5399814819   41.2654481768
 262.3426872094   46.9699135767
 357.1974352654  -30.6391050792
 243.0086722008   -5.6978822060
 284.1358821441   16.6053098804
  60.9504103307  -14.3013148469
   9.0440283595  -22.9065839063
 287.8296826612   51.8236410703
 324.7327683491   11.7193321953
   8.1954293849   48.7205128828
 176.4179118878  -61.5345483415
 188.8225911014   14.6285044701
 214.1966692669   42.8895912132
  18.0450485347   12.0767308161
 321.6562453180   20.5764852574
 261.6539769620   23.3657198574
 294.4553521169   62.6248471490
 179.4381194047   50.2544369850
 290.7988871295  -41.4186592408
  33.8481652824   20.8195319063
  78.9038163741  -69.3138869820
  92.2998081953   35.5279694277
 167.8316348273   38.8898408154
 164.7842318761  -35.0458349034
 254.7935644466    2.3401022165
  63.2837335790   34.9437808520
 190.6820179140    0.9503862738
  58.4923090727   79.1134117657
 276.1177024190   -3.0203208708
 333.4896487641   -5.2402286853
 218.9615817344   46.4975937574
  53.1245175217   53.2543760521
 175.6185377772   18.1521454258
 135.0526110123   37.8083249007
 302.3415313053  -84.8264251371
 327.3971152357   15.9614842510
 137.3831698658   40.9619992298
 113.5287323076  -66.5810300841
 204.0026661528   10.7475558932
  67.1717796776  -37.6537301330
  44.7003991287  -11.0500033500
 246.8080771707  -18.4053620316
 288.0466112858   72.2468006804
 205.8970254148   27.8623185272
 349.8452688306   68.6512408359
 227.6390400297    5.6798465289
 319.0568093629  -36.6682006385
 177.7165068114  -39.2924778339
 125.8348738967   25.4474251438
 256.7617842432   45.9181998714
 180.7757517744   20.2616220881
  80.6667691694  -15.8319213412
  87.8987370819  -51.4058939592
 284.8347850829   14.0299477710
 177.6294472945  -38.7281498357
 328.6958570597  -34.2775743495
 339.6501585821  -24.4053657046
 191.3527530947   28.0907616989
  90.2608721844   -0.8508947982
 259.5744935716   68.8087291829
 131.5713500170   17.7683429113
 178.8756808162  -36.4840177482
  81.0621539412  -26.2783570139
 126.7078780565  -16.1791092286
 233.2477440613  -61.6775137523
 112.1496992884  -27.5319871955
 276.0466436741  -11.7237723619
 280.8902971166   14.2985884081
 306.2830106692   14.0732972472
 341.7080971644   77.1007357613
  37.8542067840   39.2656133094
 327.1641058039  -20.7377851017
 120.7261172581  -58.2206800835
 297.0150329106   32.6410308750
 322.6842458024    2.8904962794
  14.7159855065   15.9504365016
  70.4308969000  -65.9025063610
 105.2335292233   28.6720700521
