            lon             lat
--------------- ---------------
  91.6482845999  -16.8911461334
 193.0148200987   20.8350382091
 163.3299832118   -8.6198423774
 140.5199829082   16.6207167932
 103.8665781193   66.3618109929
   0.9218054098   64.9809187507
  27.6807527043  -67.1975965391
   8.6235873953   42.4606915947
  34.0661724548   15.3618254810
  99.2984913574   43.8971278465
  20.8846689910    9.1223930679
 111.1146684510    2.6190104437
 106.5209185746  -53.2425225402
 136.6512794251   -3.5452064703
 226.9840546750   -2.0210106752
 320.0208683160   -8.0350615880
  78.1137056940   13.6377316370
  73.8489737624  -10.0430070767
  82.3355451116  -48.6920155928
  35.5154217103   25.8363527284
  69.4078714684   55.2822470102
  80.5199246812   35.9365954487
 263.7944397794   49.1654142224
 265.7808362769  -13.2113161697
 177.8651594717   58.4412777811
  73.1928637233   32.8667032933
  15.5849260626  -76.4565606182
   6.8833024448   30.8742560029
  48.6452375019    5.9415434339
 207.1172687325  -42.9590621957
  89.4493432279  -84.6517063895
  82.7083024824   17.9635286210
  66.8683500158  -29.5794810921
 120.2468925341  -13.7931102994
 295.5284511093    0.1456405257
 288.2854381160   76.8362835298
  79.7902096865   66.4253375799
 131.8592240691  -50.1251614881
  71.9884972953  -21.4632466847
  46.3228716950   27.9832447530
  94.6559702351   18.8054110846
 142.7121215945   65.1431837533
 357.1387471320  -23.7920250980
 148.6813049390  -37.4460749713
 280.0562072251  -33.6978828717
 177.0826030794    8.1967529025
 177.2973637309   66.6567212202
 278.8994914624   22.3746680837
  21.7874731419   25.3277876873
 163.5184669029  -11.1903964983
 299.4837406468   63.5077321391
 131.3273950173   19.6301664849
  27.4848289578    4.0403425473
  56.8993396790  -47.0065455516
  82.3977086674   61.6108885979
 146.0614206722   -1.8835655455
 240.6375985258   72.1215341209
 185.3928954591   41.4610171291
 308.5600039297  -29.0666628335
  72.4410124720  -28.5924450612
 181.2591295229   43.4328893423
 278.3772625106  -20.6878509546
 338.8373633596   70.0138419018
 240.1988075395  -43.2420932875
 191.1676210458  -55.4370628581
 358.3875836761   20.0710738368
 103.5640267563   24.2639533238
  38.3563536721   77.9067268650
 114.9557300775    7.4587536081
   6.6484390302   49.9758379403
   7.3031993273  -44.5450152520
 290.9139291520   21.9427371535
 198.4224297820   31.2314678979
  71.5265759635   36.6101586340
 244.7840783839   77.3179749613
 218.0685041683  -26.0877364226
 258.8597241785  -29.7989554901
  46.6501559142    4.1701996112
 290.6959032244   22.4740557368
  11.4870427204  -52.2656889369
  31.3909775874  -60.6055603226
 171.7666250237   88.9474771545
 208.1843189346  -11.0249851866
  99.4056264852   33.5593423882
 209.1193412664   33.6741266845
 291.1694441829   24.8870447434
 229.2652659298  -29.4368725276
 239.2106254186   12.9904408298
 321.2059182900   -5.0030484811
 241.8155038886   -4.4376289270
  19.7566059295    0.0242043466
  45.1568603681    7.7048514007
  57.1754049812  -13.8169315850
 116.2179047493   16.1341764077
 143.7476379993  -19.1838049410
  32.0919415064  -48.5193923223
 272.0063923272  -14.0655550849
  68.3514387107    3.3070738678
  57.2767954712  -33.4958945058
 126.4508784015  -46.5836982820
 277.0019925618  -37.6771730605
 188.1946923431   15.1498391140
  89.6522405518   54.1269704990
 144.2032713136  -37.3713983016
 248.6109810262  -55.2616576693
 295.3133422482   34.1253041451
  10.8327663900   27.8351430457
  69.5597963332   -7.1208577057
  14.2035815187   47.5994973913
  45.5950941101   75.2852812966
 335.9353324546   -6.8285219208
 160.4978756258   14.6084112891
  11.6149550072  -47.7920106613
 264.1147264341   33.4064299731
  87.9402316803  -80.9898223633
  41.0314352499  -64.2752484407
  70.9021470821   52.4525692560
 290.4662554640   50.2593035880
 355.4714427745   20.0844141741
 290.3130345633   17.8554046677
  85.1918323678  -23.4802874356
 290.9299374652   53.7406062060
 141.8161497611  -47.0900303641
 309.8782066986    9.2416360890
   6.3948367724   58.1974580934
   5.4292866817  -59.8204425855
 224.4648667753   46.7939875032
 189.3670969200    3.7927405231
 136.8705397595   -9.4193902014
 220.9518122899   73.4347263646
 142.7960074701   51.9884284467
 109.3315848612  -81.3229021771
  33.7634659985   36.3084570212
  47.2336261801   32.1575215367
 354.6961752080    0.3643266323
 183.9919039191   51.9389910005
 328.1711030482  -76.4216107391
  18.9372367445  -49.9704104431
  15.6321921848  -10.0383869535
 160.0100035069  -13.0386663803
 209.3050322195   12.6784158422
   9.7834057559   61.2027698739
 284.0550902633  -16.0974006508
 138.4698055495    9.8920160420
 176.0171697198  -22.8082153241
 102.4312832707   14.3878717113
 246.9212664606  -14.6178344429
 344.9706922208   62.9954831216
 275.7839678218   24.3794289385
 268.9156920566   11.7240203168
 344.7513104700  -42.1219663604
 333.4098449505   -3.6941506871
 254.6607279116  -20.5565759196
 167.7486718659  -75.8881076280
 221.2933171744  -36.9384053281
  40.4420543346  -54.2135202008
  29.1688373483  -28.8113290918
 347.7797037913  -60.7235606963
 134.3347775442  -58.4490391252
 108.6272690722   55.9685153172
 129.8675484656   41.4704030401
 306.9502622061  -54.5228522348
 255.9215632710    8.9309202491
 177.9828409724   51.4370832882
  91.3243947179   59.9090310585
 344.1445023340   14.5089647329
   6.1875269666  -30.0560534933
 319.5714613841  -25.5648013497
 223.2335001873   41.4368187323
  77.6223880395   17.5400706675
  84.9499714638   -8.5005493647
 163.4083032181   15.7751950318
 107.6921784935  -25.9707720697
  29.2508872117  -28.3650155418
  81.2555399707   32.9292223683
 271.4161580666   -9.1510918154
  70.2024175398  -17.6786937341
  33.4987726922  -32.3481233635
  95.3862333696  -26.1768383275
 109.1590595530  -34.1300405973
 119.6974965066   -0.6864740171
 226.6936373297    4.2663124675
  74.7478416992  -70.8877717327
 205.4744030177  -50.8350280334
 240.4792148139  -49.0684348441
  13.7687486499    0.8386837433
 273.6578675706  -71.5325464890
 354.7584171172    9.6894269987
 287.5826027450    9.9378649603
 306.9154188524  -44.8127677631
  83.9439447207   24.0709939365
  75.9392920830   16.9956162400
 163.0005620393  -23.7672040679
 309.5630409215  -65.7900890652
   6.6725552728   -4.3341023846
 246.0745095869  -33.6914755379
 290.2202596855  -28.2197246392
 178.5026673240   63.4886130038
 172.2198030017    7.9326484294
 316.7737208530   38.5903238624
 324.7029270972  -32.8025357731
 243.7068362888   20.3517250078
 272.9211526993   16.5669299211
  37.8156000167  -16.4976124964
 165.5290071266   39.6781422087
 130.1071753659  -76.3327519138
 307.3515180370   12.0194224843
 235.3163513635   57.5870677642
  18.7226049841   17.1618177129
 242.8075679453   21.1462324365
 345.4033212462  -33.0538937802
 148.8414644092   57.4795252000
 107.8336586982   65.6370374035
 343.4449552298   18.5737650009
 292.2326057129   -4.8115086217
  85.3921434080   56.6062689159
 248.3706233762  -34.4239617447
  37.4604652412   23.1110466680
 209.9767017894   38.6232060538
 194.4626717526  -27.5817560276
 182.9512747035    9.4669683730
 219.6343405155  -17.7588404855
 163.3274855349  -22.8338418276
 322.2189169301  -24.2299734708
 187.3036075563    1.5073383212
 238.9285114089  -60.6230706937
 339.9164391024   12.9499445843
 145.8090040756   42.6280125191
  10.1690220720   36.8678205363
 332.8851618778    7.0419677821
 193.4301177225   16.8317879777
 209.3073468290  -32.0466985340
 192.6850405828  -15.0370458363
 179.5434919807  -52.8867514057
 123.7807399457  -53.4133922804
 303.3482669338  -53.0610033250
 250.8190180912  -32.4281545373
 207.7349145033  -20.5738801432
  48.7949148179   61.7676151552
  65.3206596913  -25.6067195475
  55.3541602669   13.2002481455
 358.1292920532    5.8134348260
 234.3534197670   -1.3365159120
 234.3584842719   20.0765410309
 145.6719490093   11.2144257095
  34.1747733911  -56.8379578148
  15.7951199074   81.0640256727
 327.6464538896  -29.2421833972
 240.2798118831   10.3776036547
  92.1674606199   21.2851665670
 167.5033111559  -53.5908220188
  39.3853506593   31.5563928677
  26.0046514869  -51.9082544820
  69.9752172300   11.7255612091
 149.1350534212   30.6136314981
 214.2165300055  -12.9671406128
 287.4945716857   33.0056920794
 232.5362671914   42.7913847803
 177.7595641590   54.3517024500
 292.8444061016  -52.4032379616
 321.3937543625   16.6902823352
 327.4888201297  -19.3269509449
 312.3897068019  -27.4366531563
 243.1656913820   22.2313960930
 103.8134358160   24.5886867624
 284.9899701673   18.1342532885
  44.2794068083   29.7682164005
 189.5153290684  -27.0886163294
 265.3261122699   27.6515651177
 343.7733667503  -29.4760972927
 316.7465524689  -29.5708911951
 199.6213763651  -32.5053222628
 120.7103725111    3.9788834145
  27.4113329889   30.3752457459
 244.3036194421    7.0660897493
 231.3243461840   45.8256119295
  47.0188981438   13.8167804307
  87.4114378022  -42.2494287084
  51.2254838088  -34.4765521338
 292.6736673598  -38.0404331598
 359.1332851400  -19.5975928020
  79.7115767487   43.8211561179
 299.1873147480   57.1454336478
  17.4263890295  -36.2975947963
  37.9370329682   15.4455022977
 157.2731202655  -51.4511736065
 153.2894251800   31.0535578391
 146.4490301196   42.8455167565
 103.4703692375  -50.2844898832
 320.4505024957   18.6542659553
 349.3072715818   14.7073850707
 284.3483858209  -16.0205890794
 240.6325785588   30.6702987204
 288.5088683440   11.6401499800
   3.1208642178   71.9740699295
 298.8271362100  -31.7860082160
  56.2057022537  -76.7399054716
 288.0076386311   47.9776520730
 285.0684107893   37.5052263840
 220.5632683035  -40.8560971390
 239.3245880580   -9.2072207140
  86.3435298753   19.6683071202
 227.3821291133   -3.7681607113
   3.6658338499   19.7757313103
 203.8707350004   -0.4854073842
 353.9215188456  -50.5590177534
 133.0673708262   27.4885233031
  39.1562893778  -38.7029572660
  94.0003996030  -22.7894112359
 256.0047863195  -47.4723653107
 271.2175922646   -8.0559755453
 350.0048887369   15.4964682422
  77.5227226476  -29.0598740541
 211.2443561630  -53.6016968770
 297.6308207270  -37.0013743871
 268.7575522167   12.0955123459
 357.5641718806  -68.8563280199
 247.0988104978  -87.7846460713
 228.5851189970  -42.3643024083
  65.6565908560   65.4559396140
 134.9707763263  -11.1857896049
 202.4523679212   17.1208316353
  15.1171682871   62.9920714921
 246.8180308699  -39.8128380348
  20.7239509781   32.0540889382
 219.0957817593  -19.2919069281
  46.7213983185   44.1983768949
 148.9141738180   63.2341364762
 242.1761183565  -22.1466382117
 238.8289556254  -13.6419991165
  68.3162386176  -29.2772427700
 212.9078393441   -3.9820572640
  28.5241573967  -24.0418906999
 231.0892008615  -39.7135811095
 239.7105006704    3.4139982714
 101.5342634855  -10.0459731667
 157.2806576625   75.2069307877
 240.3437365145   33.9788964237
 120.7646656361  -15.0150027491
  86.7561888800   56.6295377995
 186.6099306258   32.5333899679
 255.8412936282  -21.5544129320
 139.5344073736  -52.2879037666
 272.2347269751  -14.5456353019
 137.7860297753  -42.5686335182
  92.4377376480  -67.0828468514
 149.6071807196  -86.1441700574
 227.3427927391   18.2191157650
 129.8745807566    7.9878703890
 244.6397829349   84.0380849126
 281.0106819683  -33.9248941574
 115.8746462879    1.2912744784
 165.8706188547   15.9363221782
 333.7945253628    0.6021397370
 296.0185070809   60.4037792851
 292.9428111691  -12.4544195793
  72.4697458840   49.8073603749
 258.3524695035  -55.6638431030
  33.4350055527   -0.6031166873
 224.0882955515  -57.5389270054
 322.3013351516    2.8050116179
 243.9098948487  -36.2158904140
  70.4940002181  -84.8737310657
  72.6337433125   59.0384298059
  12.8504857983   49.2215566390
  13.9894711839   49.7077237628
  23.9635913659  -34.2187256996
 157.3160032451   32.4379392363
 249.6707303478   30.8224537641
 321.0725058946   11.5311482542
  95.4379044970  -17.2264084069
 145.8782435079   -0.9521582482
 196.0392567738  -33.0053898523
 281.5182318131  -42.6433836867
  69.7364412889   36.8867892776
