            lon             lat
--------------- ---------------
 353.8146876182   43.0746868749
 111.3399184835    4.7716876525
  70.5025066719   15.1547873160
  82.0292385934   47.6376596895
 175.0266121251   53.1655576747
 207.5950271267   24.5551313909
 337.4787031710  -19.6431976109
 232.2425438222   21.1389462355
 269.5434603631   31.3583107976
 171.4779061156   75.7251695354
 269.1448085251   17.0573076540
  29.9838763194   59.4276773789
   6.1080720424    6.4784250432
  56.1986546461   39.0540455158
 111.1189397000  -35.5798282478
 251.0455063486  -43.7315270256
 309.8632638132   66.6230316055
 328.0033731160   44.6230747110
 350.6443138567   10.4966597662
 258.4986385025   36.6431408631
 209.2976896650   58.1071053278
 241.1525471483   75.3602964731
 171.6961387784  -10.2279270865
 147.1727155739  -70.7169743775
 143.5742709441   29.3991595244
 255.2802058846   69.9995991817
 345.0135581191  -26.7971444354
 242.7998818440   15.1652474365
 288.2727553047   39.1862232481
  55.9757527096  -34.3046425512
 359.3145992075  -24.5003993318
 310.4972690597   72.8034953469
 331.9862509498   24.2832974312
  31.2358787483   40.6989416003
 214.8233257447  -54.9262703338
 182.8367561526   16.9019153948
 190.7194148348   52.0195567095
  21.9254850791    4.0987087541
 332.5371610860   33.6068416234
 259.5404016249   46.4821846662
 351.5099184118   78.8824237493
 154.7154309320   44.6637519817
 287.0715710309  -19.1541686878
  39.2688610532    6.8350234477
 322.1955740448  -85.0154664307
  92.6126161398   12.1039481964
 152.9515565820   30.7138323554
 182.9657709774  -37.7578340995
 253.9044591607   24.8970615569
  68.4225788317   13.5478492777
 190.1430238423    5.1020705765
  80.3097167442   56.8163224943
 277.2130893226   20.2807797942
 334.2062051814    5.3374891271
 192.1686541609   56.8946334205
  65.3503719588   33.0119786013
 169.3283203376   14.8891098478
 127.1893019810   19.9020657479
 276.6091372493  -62.0600781845
 336.3866085922   27.2820187256
 127.9833458387   23.4578282348
 191.6400652488  -80.7006096503
 198.7488124221   19.2721414144
  54.9361394085  -58.2916698425
  39.3109588598  -26.7726701591
 248.7187034323    3.2815416010
  50.7676191087   81.5379265316
 192.6512964836   35.6173054241
  41.7076035750   61.6495400850
 224.1522174748   22.5368538761
 310.7872107546  -19.8045809433
 196.8265739481  -36.3912597468
 122.8039587316    5.9135503399
 245.3018669253   68.1934602412
 173.0421720053   18.8308339532
  79.1332994024  -38.8971252223
  85.6889593991  -74.8085772124
 288.7086623454   36.5464488465
 196.4095301682  -35.9333534963
 319.5050598354  -20.2392089921
 332.6502677909  -14.6621518637
 178.8463405999   30.0718491308
  90.9843882726  -24.2899097822
 146.3542790097   85.4554903464
 129.8891376013   -0.1954798121
 196.1397718030  -33.4917583627
  78.3537567886  -49.3352103627
 134.6446527967  -34.1886236345
 248.5936297269  -41.0294818390
 121.1059415260  -48.6599632212
 276.7422315002   11.5887983126
 283.9926565449   37.2367375069
 313.4622138052   32.2847838352
  57.4629396582   67.2499063169
  49.0626586749   23.0608924230
 323.0543418798   -7.0740134960
 164.6863561868  -73.7437510746
