            lon             lat
--------------- ---------------
 334.6618002016   36.5332387525
 113.8952012229   26.4579925747
  66.2107736526   36.9976195916
  73.6416932576   70.6246496799
 204.3810147324   49.0253560204
 214.3960973566   12.3382648372
 347.2252297075  -26.8666130771
 235.1437590310    2.1518603882
 269.6063942081    7.9196551246
 235.2851632931   64.6472643112
 269.1773348802   -6.3795296669
 346.0704348323   63.0056655262
   3.0197915571    8.3704913458
  38.3199775809   56.5892983190
 107.5333421986  -13.4171754193
 236.3080239909  -64.9691780842
 291.5325281616   46.1390626070
 313.9833356340   29.6342762903
 347.2731394077    5.9444153815
 260.5267299713   13.5813250266
 231.2911243164   42.5424203008
 258.2833130544   53.0954378134
 168.3356469528   -6.1065071389
 117.2104944803  -52.6362816614
 158.2720591582   41.0076079888
 262.6880784847   46.9336820920
 357.8452537691  -30.3609735914
 243.6745399579   -5.8227649353
 284.6961119621   16.6746086689
  61.5291376572  -14.1673678808
   9.6657428845  -22.6319026927
 288.1332982172   51.9095609647
 325.3401186988   11.9474280256
   8.8834411428   48.9956999243
 177.0290426723  -61.8125083613
 189.4518640173   14.3537292282
 214.6917687922   42.6601152585
  18.7047203611   12.3408668534
 322.2322357973   20.7956361073
 262.1758308340   23.3265902937
 294.6060178317   62.7403908916
 180.0801928281   49.9761777490
 291.6681868390  -41.3178390655
  34.5486729166   21.0497226134
  78.8220307879  -69.2600829264
  93.1388628694   35.5147653426
 168.5180732619   38.6174710998
 165.3743591169  -35.3148300574
 255.4235250889    2.2685792234
  64.0990838398   35.0671183405
 191.3219624138    0.6771726326
  60.3871902045   79.2548816766
 276.7730144306   -2.9890710739
 334.1414014124   -4.9904404845
 219.4177224680   46.2819293626
  54.0660585982   53.4195173140
 176.2656166788   17.8745412121
 135.8441839114   37.6100164900
 305.4964602876  -84.6710347667
 327.9950075401   16.1967301037
 138.1855398032   40.7559006506
 113.5785408563  -66.6922700498
 204.6218990992   10.4939257915
  67.6144993903  -37.5466932694
  45.3029602070  -10.8531688792
 247.5344926856  -18.5133632041
 287.8584381339   72.3325842878
 206.4731677164   27.6125937049
 350.3628042827   68.9253580092
 228.2595800350    5.4934320509
 319.8318217186  -36.4566866384
 178.3493188829  -39.5707042925
 126.5819525321   25.2830305867
 257.1229409328   45.8553452644
 181.4144853296   19.9833743965
  81.2295436112  -15.7881109310
  88.1908082462  -51.3963721168
 285.4082573178   14.1025607234
 178.2620749266  -39.0063606586
 329.4337237921  -34.0387851786
 340.3338627547  -24.1437868180
 191.9636062585   27.8182164562
  90.8973381654   -0.8536965509
 259.5103557875   68.7582406272
 132.2779575356   17.5823948534
 179.5134449479  -36.7623772322
  81.5670232554  -26.2363005384
 127.2836382979  -16.3466023664
 234.3066423010  -61.8420529730
 112.6558489780  -27.6380647009
 276.7447640418  -11.6927636835
 281.4613625230   14.3525412212
 306.8674191397   14.2391486042
 341.9660849199   77.3651274498
  38.6362512925   39.4841661807
 327.8611306851  -20.5029738300
 120.9798703501  -58.3634432454
 297.4969609072   32.7684911082
 323.3162329313    3.1127909746
  15.3775137919   16.2192141616
  70.4862120040  -65.8093532434
 106.0204772565   28.5971062465
 225.7199637556   53.6573777243
  31.0403215865   22.4781366144
  51.4602133842  -42.1055159526
 185.6975517476  -28.3222919734
 248.1628824338   -4.7708030849
 308.3852984953   28.0576670480
 233.0502104227    8.2811946030
 209.3827275924   29.3791064838
 256.0017426164  -52.6835198511
  90.8700664504   52.9062295816
 324.0574872776  -33.7183373765
 159.2257346844  -19.1362699175
   7.3875004733  -19.6437931183
 345.4779679536  -20.8770990886
 234.8011587289   44.0450274763
 184.7542544084  -11.8260837552
 245.6483006983  -20.5973629959
 176.2345467547  -43.3809593867
 333.5364676730   27.6353504610
 185.7167222483   -8.4640170930
  25.9775614022   13.8486356668
 204.3029911771  -53.0116405237
 221.4875504925   10.2521399026
 338.9566674904  -36.9261505679
 149.5308108994   12.1543325754
  95.1983929124   22.6554151423
  35.0615422259   51.0330639278
 174.9039229243   23.6818200770
 167.2786295157   61.0126654935
  10.7133578332  -18.6787164488
 249.9398914010   16.2847364247
 258.1009664656   25.3927449068
 262.7321135984  -33.2231841701
 149.1663670514   38.6471744021
   5.4355869995  -39.2155301835
 327.2310584651  -29.1818572947
 284.1763407891  -19.8821227642
  59.4717027585   36.0765242516
 112.6029493502    8.9171273880
 219.9403145094   13.3592959510
 131.2165197758  -69.3146148165
  56.1738894973   67.3759435755
  63.8293757869   18.4206603440
 312.4402966907   67.0407750215
 104.4340883688  -36.6203286165
 210.6646678062    6.0928564187
 163.4381613561  -32.2153910747
 148.0241349211  -39.0241287857
 317.7483983574  -52.9194591554
 249.3748845978  -52.6362924879
 100.5384169181  -45.6245419063
  23.1984873055  -16.7559279093
  71.5045065481  -22.1769619929
 335.4057909949  -17.5701553207
 307.5888871019  -15.7196844534
 343.7045053912  -44.9353595582
  18.8112094438    3.8946402013
 208.6098099929   59.3756163747
 172.9786511939   74.5695112322
   7.8152340928  -62.4477024810
 134.5033738775  -31.9181182796
 149.0730488286   42.4043298150
 217.4066098557   50.7647602847
 241.8295438987  -32.2707979937
 301.9916527565  -35.1016750497
 280.6294207922  -75.0182642215
 144.2523791247   10.5125177295
 286.0305327194   47.2420220871
 321.5247592980   38.7837953923
  94.4962869309   50.8465357128
 356.1109282491   34.9105750751
 307.1905583657  -15.4805286873
 263.3317861686   53.6896416922
 128.0036358721  -55.2426643245
 317.9842225295   22.0263254086
 312.4652756130  -13.6824923031
 344.0759263721   30.4651481991
   0.0386173815   27.3664281150
   5.9547817904   62.0116974358
 113.0652255670  -10.2070552045
