            lon             lat
--------------- ---------------
 322.7468075083   24.1660843360
 122.2946459834   47.2537924376
  53.2309787933   57.4391922340
 318.3197156830   82.8132077400
 222.5725821558   35.8048546317
 216.2625010970   -1.3447694308
 359.9200839066  -29.5436125282
 233.3382715813  -16.9616467376
 269.5954018721  -15.5190810902
 250.3358236474   43.5598890910
 269.0576900233  -29.8161278824
 314.0953243295   50.7198603958
 359.4150498452    8.8758141628
 357.5092029960   64.3790184073
 107.2578800078    8.9778469058
 170.9390897225  -76.2506909107
 286.1510155672   23.8998018911
 308.0753028051   11.8224892277
 345.9811945239    0.4502040375
 260.6633993555   -9.5514586210
 239.9499504708   23.0570663778
 261.9067391975   29.9848257412
 166.8917371041   -1.0103906624
 108.8822437380  -30.9659785609
 180.3838432111   45.4907792130
 264.5566307445   23.6324603434
  11.2358069856  -28.4663388104
 240.4351971817  -26.6003179422
 284.1454239235   -6.0459322035
  62.2722256044    6.5734116675
  17.9777416968  -16.9424803837
 282.7145798576   29.2676556951
 323.6219575780   -1.7985290111
 342.2722981525   47.1124231860
 141.6610675252  -53.0286546659
 194.3556783872    9.4488569377
 227.2263007705   27.0802895825
  12.3393846159   18.7056917156
 317.9511710613    5.6232639806
 262.8188741184    0.0821298062
 284.5330703538   40.5370883864
 205.4047612793   44.6060796482
 306.2821542092  -62.0549595577
  24.0296597450   32.6882747682
  84.3242350845  -46.0409233676
  94.9500191701   58.9001305090
 187.8496614359   39.3816753322
 152.0469735030  -26.6417429486
 254.4381237763  -20.3867068434
  51.3443004487   55.0843104687
 190.6745309095   -3.8556950513
 290.8342345477   74.9877034033
 277.5458609069  -26.2511192752
 337.8985480959  -14.6340631103
 232.2726328412   29.2454004512
  19.4198062648   68.2330245093
 183.9284780587   17.8341745115
 155.1223270477   51.2088915824
  80.6263703301  -70.6641382898
 324.6379109569    3.0649279162
 160.1619869772   53.1167285922
 102.7751695996  -44.2956425897
 206.6351216990    0.2377026117
  71.7376056424  -15.5159473294
  46.0036690367    6.0237956099
 241.8665763601  -39.7837026590
 278.2228137552   49.4028089657
 214.5800529240   15.5524441675
 309.7400776380   56.3222090473
 227.3544923883  -11.9825467046
 338.6999596036  -48.7248176073
 160.4396846751  -35.1438481834
 137.3565782245   42.8958049263
 260.3033439071   22.8485660957
 189.5002621286   17.7172015282
  81.4916382995    7.3925158372
  88.7220616291  -27.9651082520
 285.1039691066   -8.5324765376
 160.7011208517  -34.6174951797
 347.0576095768  -42.9365531899
 352.1118470748  -29.8302857390
 202.2422835745   20.8077252122
  90.9717586159   22.5825653241
 264.5985850513   45.5155441641
