            lon             lat
--------------- ---------------
 354.5132108143   43.0751446188
 112.0383970966    4.7714966014
  71.2010887387   15.1549461959
  82.7282058883   47.6377053757
 175.7251546758   53.1651099944
 208.2934756599   24.5547078881
 338.1773636884  -19.6426880609
 232.9409815290   21.1386547276
 270.2417831798   31.3583199742
 172.1765962625   75.7247389817
 269.8432775855   17.0573086391
  30.6827970087   59.4280504152
   6.8066212059    6.4789333038
  56.8974551136   39.0542908116
 111.8170086550  -35.5800272143
 251.7446245209  -43.7317283693
 310.5610850174   66.6233276852
 328.7017277051   44.6234709678
 351.3428665378   10.4971592642
 259.1968984105   36.6430620151
 209.9958607647   58.1067283751
 241.8496077927   75.3601071815
 172.3946240312  -10.2284599438
 147.8702407776  -70.7174778935
 144.2728948841   29.3987687609
 255.9775969224   69.9995094068
 345.7122062273  -26.7966012660
 243.4983641250   15.1650267514
 288.9710061437   39.1863829823
  56.6739092463  -34.3043136755
   0.0131566699  -24.4998387303
 311.1948069730   72.8037932857
 332.6847410671   24.2837297070
  31.9346049550   40.6993281361
 215.5223492129  -54.9267694638
 183.5352636536   16.9014212802
 191.4178155867   52.0191190736
  22.6240155184    4.0991855252
 333.2356078176   33.6072655626
 260.2385201927   46.4821189091
 352.2082454623   78.8828532470
 155.4141000309   44.6633318286
 287.7703768491  -19.1540104232
  39.9673897062    6.8354160547
 322.8985927789  -85.0149914929
  93.3111644045   12.1039186039
 153.6501586240   30.7134037934
 183.6643067510  -37.7584129186
 254.6028506539   24.8969381621
  69.1211471046   13.5480266180
 190.8415442641    5.1015654631
  81.0088755407   56.8163782242
 277.9115313839   20.2808506830
 334.9047753777    5.3379533598
 192.8670137977   56.8942031965
  66.0491225766   33.0121630310
 170.0268394263   14.8886187772
 127.8878926568   19.9017618290
 277.3088490920  -62.0600238906
 337.0850969248   27.2824628045
 128.6819627128   23.4575213900
 192.3392495259  -80.7012144456
 199.4472966925   19.2716789456
  55.6338549715  -58.2913123933
  40.0092748598  -26.7722295531
 249.4172872658    3.2813573804
  51.4684779018   81.5381812571
 193.3497460220   35.6168518769
  42.4066846280   61.6498553750
 224.8506526000   22.5365118913
 311.4859737119  -19.8042225801
 197.5252288759  -36.3918150965
 123.5024468563    5.9132688285
 245.9994157224   68.1932973717
 173.7406920380   18.8303443369
  79.8313052246  -38.8970057481
  86.3852255432  -74.8085142425
 289.4069463534   36.5466122774
 197.1081796702  -35.9339093693
 320.2037972063  -20.2387903881
 333.3489249999  -14.6616683880
 179.5448521449   30.0713733965
  91.6825826621  -24.2899135682
 147.0555632033   85.4551203026
 130.5875843198   -0.1958167109
 196.8384095067  -33.4923116301
  79.0515597762  -49.3350781365
 135.3428368523  -34.1890209496
 249.2926908612  -41.0297047299
 121.8038308462  -48.6602581716
 277.4407542315   11.5888638859
 284.6909236845   37.2368643871
 314.1606039986   32.2851184601
  58.1623503058   67.2501232894
  49.7612976730   23.0612028726
 323.7529854822   -7.0735870500
 165.3842664938  -73.7443363046
 310.3134074542   52.4930102598
 327.4139572550   16.6849198122
  21.1206155879    8.9161897187
 357.1532973305  -82.1169535196
 104.7988219079    5.9385111158
 190.1473387157   65.2007965348
  37.3570764096    9.2801345184
  30.5890347167  -57.7789167781
 197.7641601081  -23.6111512522
 247.8976922251   16.9564740790
 321.4582342496   44.9675136264
 229.0255811724   26.5331344738
 195.2514370970   38.3280981224
 260.9783925721  -29.7156684380
  91.3014433450   29.4687530902
 315.8976036278  -18.3662965535
 169.3650995156  -25.7257574393
 359.3113262276  -20.8910171896
 339.1756156319  -13.5182186727
 213.0405673189   60.6326097007
 189.7822244151   -8.9614913709
 247.9908719036    0.9425390979
 198.2528448500  -40.4784937954
 348.0689108275   35.6344823187
 189.3041480183   -5.5008571380
  29.7779959642    2.8915184287
 225.5194860733  -39.3721738413
 216.2754117883   24.9982574337
 326.7467785843  -25.9139951633
 148.1129261094   -0.2301676820
  95.4950836369   -0.6973957205
  51.9205523540   34.7261088390
 166.2868611434   19.6423551320
 137.3738949758   49.4723701900
   2.8015343408  -21.3383711182
 245.9944755302   38.0190994527
 254.4818243335   48.1642683402
 264.5308075868   -9.9394433874
 138.1437293482   24.4407264523
 347.2700202193  -37.5355854027
 320.1761779681  -15.0327133564
 284.0313075070    2.9035447159
  65.5115732937   15.2687717520
 113.6083580771  -12.7427526898
 213.5213952771   27.4156749284
 209.5735581147  -74.5865341176
  72.7321065859   46.0351233902
  65.9303412547   -2.7963863188
  21.9087797782   73.5994214990
 113.5007669149  -58.9224841933
 207.0170309059   17.4035312786
 180.0478414986  -35.8066401387
 169.7904584001  -47.8461386651
 303.6205056008  -34.7984150046
 256.3759785109  -30.2178288905
 110.9581651769  -68.3240901595
  15.4286068871  -24.4900794401
  66.5609596433  -44.0784008562
 331.5167905828   -6.8417927933
 306.7181918299    3.1438804364
 326.4164181433  -34.6810555928
  19.5353350493   -3.7636838792
 165.8577814944   62.4417867414
 123.2765782583   60.6300365398
 327.9320301088  -56.9762036458
 150.5822276186  -46.5428840780
 136.4775660429   27.8883542925
 185.7509388897   59.7088671832
 246.6914454545  -11.1496941017
 297.3043451599  -14.5701839548
 275.1159755335  -51.7419282836
 143.7778593924   -3.5029242689
 302.1423249656   68.9382277985
 342.9086575338   50.1407015352
  93.8964154497   27.4571154875
  12.8801826112   33.1753649519
 306.4032714494    3.4687518998
 253.2717890213   76.7251855764
 167.0315525636  -68.8238382801
 329.3167865689   36.2212324022
 311.8087902887    3.9043522690
 359.6416461238   34.0040260263
  12.3667575304   24.9304045720
  41.0047790021   52.2616416712
 117.5898192267  -31.5184714474
 353.6357142146  -11.8681324802
  47.0363041720  -34.3793623408
  45.1685633301  -56.7236113106
 273.6771048339    6.8221704446
   2.0182802602  -48.2515355021
 256.4953407523   -5.0877986845
 197.6099318047  -48.8146643539
 311.2170164345  -61.7115927475
 295.1550110352   77.5239262591
 300.5930539099   67.3422091473
  58.4596932296    6.5920847647
 340.8447580032  -48.6961219852
 274.6270588211   -1.9032829062
  74.2423040410  -64.0305127668
 266.6350607884  -77.8037938694
 150.0662522058   29.8659001602
  90.6774883714   16.1944474628
 211.8953925215  -11.9149865465
 287.7431549413  -48.9646631664
 144.6184661968  -30.7874086471
 176.1437915140  -43.5021474757
 301.8958198550   17.0178871915
 120.8725507025   33.7209890693
   8.6595612831  -18.2126437310
 220.8235307095  -38.6202930161
 160.0520892356    3.9590672787
 261.3220032132   18.8957946786
 144.3094469322  -29.6617435762
 293.2155276096  -32.1099459120
 143.8715938784   44.7025193824
 172.8121490747   53.4824775637
 242.9327372769   -9.3352211912
 214.7006387377  -60.8615754445
 193.6867701587   62.1118068861
  72.3759170412  -65.9099335463
 263.1614590018   37.3776978286
 134.9546231849    2.2351951954
  69.5535707933  -19.7709296817
  97.2888534293    7.6438106614
  90.3578090871  -37.2076648300
  59.3945854588    6.9073128637
 274.2415807744  -49.0516601444
  92.4866632340   -0.0483477879
  28.6611548032  -50.4523250649
 245.5298609456  -15.3948082368
 122.7576152932   48.7574167187
 238.9545106912   20.1264442204
 246.1346213051  -24.4768278221
 108.7742834797    2.4115528943
  69.9399317463  -33.3838123932
  80.5390130588  -12.7647066859
  40.1875134910  -19.5168014075
  16.6695102359    3.4385550617
 328.1907357697  -59.5536658906
  77.3259035024  -68.0108961017
  81.8914288996  -28.0638104764
 210.6851010164   45.6287958762
 329.2121352543   27.0896795769
 285.3642968293   48.6573694723
 261.5540106388   -4.2195794670
 118.2547403338  -40.9891094590
 136.4381743160  -25.7678165401
  79.3657011249   40.6791764622
 331.1592437171  -11.2375955173
 191.0063841441   30.8735010665
 283.3443666216  -45.7752999325
 134.2920051479  -36.8708118876
 335.7339620939   80.6664062551
  36.0014988066  -13.4998240792
 253.3658005403   41.5193950394
 324.2409913089  -12.2112147308
 301.5250284751   59.5348207270
 105.6691194277   44.8416494006
  92.8144634059  -30.4196374871
 191.1076362144  -26.3083914121
 149.9145150937   -6.9771332030
 139.6688214181   28.6731059625
 337.1701218075  -64.3646182072
 229.8679270291  -26.4112575756
 270.1447185136  -42.7373261203
 275.4186194967  -58.4326120156
 145.3102257982  -28.9360496822
  54.1522391918   81.5815623564
 191.6402304073  -41.3424525302
 257.1208260350   45.1895598377
  68.0729071275  -15.5796937738
 169.2191222659  -31.5729013034
 288.6852136014  -32.3461640558
 280.6642705916  -55.1203336532
  66.4450365152  -25.7668629036
  47.0947832027   55.4087406791
 251.2416103116   31.3309462845
 135.5958273019  -41.9469562469
 151.0857109430   -4.0446898349
 278.9965781757   41.8693680760
 353.7704140949   17.4669264507
 323.8796650126   12.8827495038
 306.4419813815  -74.2108786414
 284.6589638912  -15.6590568413
 219.5524208046   70.7232880439
 192.8609536013   -0.9342811035
 307.4576359124   -9.2275055130
 272.0938360781   34.7531914275
  34.0076140103   -7.2236235096
 107.4003646635   41.4765816942
 123.0694530364   48.2824157919
   5.3080941320    9.6583398483
 227.6526273706  -25.5745183129
 249.3677465953   -6.9053695941
 210.3926021506  -74.3932137872
 148.2475855304  -20.6143740487
 198.2559091672  -46.9337198304
 201.0519339820   27.2230332094
 282.2981961029  -70.6554782797
 351.6964237443  -19.3796322560
 188.6334200306  -11.5140545914
 188.1547617673  -22.1946879583
  61.0594204402  -43.9387798084
 113.7435138677  -49.7325106030
 316.5403858956   76.3751889655
 110.3382545391  -36.9174109879
 252.1536400753    7.4396124788
  99.1915462821  -15.3624686210
 314.8600683857  -30.1908982025
  95.7705341209   57.8584064103
 319.6351246207    3.1917709963
 357.9571583648   37.3497086420
  36.6843193427  -66.3703582870
 167.1250334596  -67.7118003073
 249.0754955213   -5.9094102013
 341.9762633907   28.4403709416
  43.8703195626  -38.0689066253
 298.4547958393  -70.9150511614
 169.6573637684  -47.4538238872
 336.2113428647  -30.7743721914
   1.9957432260  -31.7369902467
  59.0309769318  -49.9642023621
 199.8558780773   49.6446640705
  48.7930731798   34.6736863918
 113.5691475059   -4.7704350818
 212.0031417054   30.1820676705
  60.2052364580  -63.8985381933
 247.2752518593   26.4860654717
  88.3358834546  -37.3596584847
 236.3212237332   48.5237340610
 151.4820667549   42.9676151762
  96.6105828475  -58.4338902781
 107.4789859017  -51.7862758472
 333.7642888105   25.1321643959
 100.9598916967  -24.9017771095
 302.5273227466    5.5144806526
  63.1583228028  -51.9221598901
 127.7479610556  -41.6882825943
   8.5986959256   49.8356346955
 164.7052485490   36.0447307569
 149.9166582161  -17.6952541737
  31.7758831481   39.3841318249
 192.1515563255   62.3399760755
 119.7713380161   15.3356119006
 110.0076212136  -69.7711782347
  25.4525138764   -0.3478198873
 165.7571388083  -74.2628674339
  30.2012782053    8.2222227546
 359.1748008274   -6.9399938501
   4.2017472416  -27.4568707875
 129.7191769151  -22.6330102547
  62.7662270841   51.7835847983
 177.2733539000   24.6964154125
 318.2386968888  -84.3124583959
  37.3321324461   55.9904394744
  95.2116468009   25.3957164686
 252.5298681217  -27.5221301532
 190.2784069440    1.6425548282
 225.7331108244  -66.8283288751
 216.0202899800   63.0805368999
  21.9345589546  -61.1491941404
 285.5168937044   22.9139141445
  37.4598948812  -44.7714636235
 242.3239122655  -35.3509487771
  68.8064285349  -62.1650886601
 358.2509971242  -25.1762508343
 202.8348509905   56.6037734933
 227.0085186643   26.1216580141
 226.7095125107   26.9659030311
 308.5511117586   -3.6045041575
 110.2448095280   38.4945210741
 155.6706903194  -24.2593756875
 233.6948768334  -30.3335809645
 359.4870961688   42.9537600786
  66.7972299400   33.7268098668
  64.7505926463  -23.1313861501
 344.3154663457  -76.5227550636
 245.9659797339   66.7325648006
 336.1895358848    8.8214274476
 162.6989268071  -28.7938525415
 210.0585348559  -26.1820070043
 119.5681185376  -24.8063219509
  70.0550185660   36.7983066222
 231.8829439091   73.6127426640
 263.3786556451   15.6384622288
  58.2029408749   66.3964895155
 122.5267858143   29.0982999056
 257.2600603859   26.9291184254
   5.0069948365   21.4748092377
 278.1858022172  -68.6667416644
 273.1670465346  -11.9771624970
  35.5837273906  -61.2463174281
 298.4240722892   30.7771179785
 179.2306412313   43.4695014831
 192.0810459134   43.0560988542
 340.1832126671   10.7859378517
 140.1993711431   33.4794534445
 171.0961066893   12.1415965770
 185.1727417547   76.3806355293
 240.8233072105  -33.5805362862
 321.3139555126  -74.2169739195
 144.3023862958  -51.9953363792
 116.2369567521   73.2009602258
 309.1544217446  -43.0237279394
  35.1163051687   -2.0434759062
  41.1338970543   30.0979664584
 172.6595301079  -49.6469152434
  76.8934359039  -26.3571958132
 183.2446335384   11.8582129267
 195.7543388962   18.5676096592
 145.8802069069   44.2093530069
  71.6284245690  -57.8564515888
  87.9888190756   27.2669684546
  78.4379683416  -14.7470314151
 231.6202583898   29.3909948881
  29.0920525161   76.8804473984
 355.8220299531   44.2374358483
 281.0145161019  -41.7572218365
 240.8068804960   34.7834308500
  87.9660580592   61.8422917370
 263.9306186088   73.4108305701
 249.3924537814   25.9593333734
 198.7827132231  -71.0412017253
 317.3537385364   42.9005054129
 178.1210185642   28.8975706985
 305.8180411397  -36.3365849914
 288.4949493703  -30.0333975454
  56.2260347948  -83.3712289650
 295.4494828617    6.8168913484
  32.7478226767  -52.5339703313
 180.1009231346  -14.2519178554
  20.4651189061  -67.5944164607
 201.7592743149  -58.2988442393
 242.3543356930    0.9255007000
 282.2916811127  -13.5487426736
 219.5065384224   59.9667308012
 261.9479231659  -36.0912802901
 311.9493702923  -18.0562381865
  64.4623340109   34.8505978895
  58.1426804322    8.0063824762
 150.3139057093  -71.7294750657
   7.5559149172  -13.0210966765
 249.0801116590    5.8393305267
 280.3626893308   66.2580380099
 115.3684726784   33.1020166020
 195.7005717058   57.5252334638
 325.9579305529  -37.3500719755
 172.1554476671  -83.7164165552
 246.0440151203   21.7511494650
  21.8962119424   11.1503515618
   3.8760035321  -42.3623256669
 289.3812208896  -16.9423150149
 156.1057859682   -0.1057638570
 156.9606993001  -42.7835262424
 138.0646671872  -60.5338827208
 161.9898228541    5.1979910112
 297.7678527710   -7.3592475021
 150.4332888898   35.0849342341
 135.5950558845   34.0974387358
 200.9792661745   18.0351405217
 266.9725782070    4.0298317556
 356.1834050774  -47.3428334043
 217.4299598098   31.5794443533
 228.9879387325   -7.4049654393
  19.5094443269   36.0220847956
 230.9097712441  -29.1687384440
  19.2024290207    6.6708899231
 223.9642756753  -25.9446110368
 186.0025374120  -46.5290526623
 111.6462193215   44.3072169059
   5.6717674771   52.6735851466
  98.1774681376  -35.7350847254
 103.1434972241  -25.0315232859
 198.8345924910  -32.7938540545
 214.5671060910   55.7665023265
 331.2672916496  -35.8995880586
   2.4013120704  -26.9156722041
 155.7328810266  -12.4287741196
 221.0537154572  -17.0174143215
 262.2743471003   42.2265821222
  60.7680096155  -25.7581319828
 202.2257221906  -34.6556194241
 194.8699718838  -29.2638086489
 291.9155100200  -54.9183259886
 149.4696144240  -37.0807107074
 238.9364376950   11.8326827757
 323.5762304790  -63.4257487636
 271.2693353964   43.6524023221
 129.4649296099    5.5000588568
 344.0705756371    8.8546586396
 133.9565968277  -37.9739969066
 243.5334152262   28.8287724009
 294.6809576396   -5.1741507757
 174.5098387668    1.8456230277
 338.8724926044  -31.9943534989
 225.5848191652  -14.9619073578
 272.1883160474  -50.8165802237
 246.7111855455   13.2177096764
 322.7720454741  -27.5231570440
   2.8820628304   42.2357918166
 353.1007942821   -8.5265249345
  42.4907688935  -20.0311813576
 347.0847884680  -10.2624969219
  83.4507185812   -6.4951933302
  69.1113495136   -1.8424178741
 175.0009878801   20.5017427423
 158.6035023249   52.8422607949
 128.6694325331  -79.9082371115
 122.6160602711  -54.2556496586
 106.5996242020   25.4049965194
  95.7319792616    9.2701705265
 241.2996532077  -49.9221312763
  76.9026371424  -31.8665983414
 151.9199483308  -23.7802247527
 134.7195972821  -79.5291400038
  40.3827750868  -66.1003896136
  78.8465493437  -47.7203685252
 337.7657510204  -36.2494532773
 139.5256418249   34.4558370532
 297.7359931378    4.6580706946
 214.7209389362  -15.0869301566
 244.8675132832  -27.9185845891
 260.1272545095   53.1769019002
 147.9209737425  -25.2387892219
 128.1170721047   31.5403286922
 331.9586217832   57.5192383302
 300.7020174661   49.6383692611
 323.3949089810   62.3636906665
