            lon             lat
--------------- ---------------
  91.6482751773  -16.8911456947
 193.0148115152   20.8350352292
 163.3299744813   -8.6198450415
 140.5199750595   16.6207148587
 103.8665763907   66.3618107987
   0.9217958599   64.9809216945
  27.6807420398  -67.1975936956
   8.6235787966   42.4606945766
  34.0661642603   15.3618282076
  99.2984856993   43.8971278892
  20.8846605536    9.1223959991
 111.1146600579    2.6190098736
 106.5209060802  -53.2425228726
 136.6512707499   -3.5452082474
 226.9840462112   -2.0210130619
 320.0208601122   -8.0350596731
  78.1136978377   13.6377327542
  73.8489647619  -10.0430057569
  82.3355333539  -48.6920146817
  35.5154138023   25.8363554233
  69.4078666407   55.2822485336
  80.5199181901   35.9365964490
 263.7944279415   49.1654133839
 265.7808284280  -13.2113169077
 177.8651519771   58.4412748667
  73.1928569138   32.8667046439
  15.5849163610  -76.4565576497
   6.8832938169   30.8742589816
  48.6452291683    5.9415457677
 207.1172610166  -42.9590650482
  89.4493034019  -84.6517058364
  82.7082948777   17.9635295130
  66.8683400737  -29.5794794566
 120.2468833198  -13.7931113271
 295.5284425751    0.1456413195
 288.2854169682   76.8362839525
  79.7902075666   66.4253386166
 131.8592125060  -50.1251630571
  71.9884877347  -21.4632452785
  46.3228641035   27.9832471601
  94.6559627189   18.8054113679
 142.7121178077   65.1431817355
 357.1387389012  -23.7920221905
 148.6812949004  -37.4460772080
 280.0562006867  -33.6978828746
 177.0825946499    8.1967499952
 177.2973567399   66.6567183125
 278.8994817082   22.3746680209
  21.7874649002   25.3277906091
 163.5184581120  -11.1903991668
 299.4837264750   63.5077331275
 131.3273874003   19.6301649383
  27.4848204939    4.0403453949
  56.8993288221  -47.0065435088
  82.3977053954   61.6108895062
 146.0614120772   -1.8835676907
 240.6375828661   72.1215322242
 185.3928871504   41.4610141561
 308.5599968605  -29.0666614122
  72.4410025060  -28.5924436757
 181.2591214320   43.4328863949
 278.3772551092  -20.6878510445
 338.8373505735   70.0138444500
 240.1988011627  -43.2420952016
 191.1676125970  -55.4370658401
 358.3875749276   20.0710767584
 103.5640195710   24.2639531438
  38.3563517258   77.9067294925
 114.9557219280    7.4587528430
   6.6484302875   49.9758409176
   7.3031909458  -44.5450122726
 290.9139194450   21.9427377131
 198.4224209948   31.2314649458
  71.5265693814   36.6101600614
 244.7840590496   77.3179732359
 218.0684963254  -26.0877390579
 258.8597172428  -29.7989565713
  46.6501475167    4.1702020083
 290.6958934848   22.4740562853
  11.4870341031  -52.2656859550
  31.3909671420  -60.6055575431
 171.7666676520   88.9474743247
