            lon             lat
--------------- ---------------
 353.8146806640   43.0746872639
 111.3399060119    4.7716824206
  70.5024948491   15.1547818616
  82.0292269337   47.6376540074
 175.0265922294   53.1655574064
 207.5950125838   24.5551342352
 337.4786889781  -19.6431956353
 232.2425302602   21.1389508856
 269.5434481932   31.3583165049
 171.4778715247   75.7251689145
 269.1447962881   17.0573133625
  29.9838722124   59.4276743307
   6.1080604032    6.4784242102
  56.1986447877   39.0540406481
 111.1189290417  -35.5798334884
 251.0454956354  -43.7315215555
 309.8632603964   66.6230358395
 328.0033657299   44.6230775417
 350.6443026260   10.4966604696
 258.4986255412   36.6431464995
 209.2976695667   58.1071083180
 241.1525250907   75.3603015803
 171.6961275224  -10.2279276858
 147.1727173494  -70.7169772797
 143.5742560007   29.3991563192
 255.2801902244   69.9996047579
 345.0135430250  -26.7971431794
 242.7998689113   15.1652526151
 288.2727446583   39.1862285949
  55.9757383792  -34.3046474072
 359.3145843255  -24.5003994907
 310.4972693098   72.8034995383
 331.9862409899   24.2832999105
  31.2358705625   40.6989384473
 214.8233199504  -54.9262668891
 182.8367421438   16.9019159041
 190.7193954277   52.0195579939
  21.9254731717    4.0987064128
 332.5371522396   33.6068440532
 259.5403884887   46.4821903183
 351.5099350188   78.8824243670
 154.7154134565   44.6637497501
 287.0715580931  -19.1541633002
  39.2688492848    6.8350196603
 322.1955084790  -85.0154631128
  92.6126037547   12.1039425070
 152.9515412211   30.7138299630
 182.9657631008  -37.7578335774
 253.9044462472   24.8970671019
  68.4225670058   13.5478438883
 190.1430110638    5.1020718049
  80.3097055898   56.8163168318
 277.2130773900   20.2807854262
 334.2061933900    5.3374914054
 192.1686333995   56.8946348453
  65.3503610901   33.0119733208
 169.3283065550   14.8891090144
 127.1892883863   19.9020613397
 276.6091233051  -62.0600725428
 336.3865990548   27.2820208030
 127.9833319566   23.4578238774
 191.6400868168  -80.7006082766
 198.7487982779   19.2721434634
  54.9361221232  -58.2916746431
  39.3109444244  -26.7726739496
 248.7186910451    3.2815470001
  50.7676299016   81.5379219683
 192.6512802503   35.6173068954
  41.7075989086   61.6495361192
 224.1522035610   22.5368580135
 310.7871970699  -19.8045767716
 196.8265656443  -36.3912578777
 122.8039461110    5.9135456671
 245.3018492018   68.1934655198
 173.0421577838   18.8308334875
  79.1332864339  -38.8971308685
  85.6889463731  -74.8085829191
 288.7086515808   36.5464541779
 196.4095218079  -35.9333516666
 319.5050459006  -20.2392054596
 332.6502541570  -14.6621494441
 178.8463250136   30.0718492430
  90.9843761387  -24.2899154832
 146.3542053862   85.4554873742
 129.8891253338   -0.1954840444
 196.1397631072  -33.4917565584
  78.3537434262  -49.3352159968
 134.6446433495  -34.1886275344
 248.5936190744  -41.0294764440
 121.1059328170  -48.6599679892
 276.7422194032   11.5888039522
 283.9926454804   37.2367429884
 313.4622041084   32.2847878203
  57.4629342392   67.2499013845
  49.0626479129   23.0608879639
 323.0543290164   -7.0740102481
 164.6863629847  -73.7437523625
 309.6152510812   52.4927143741
 326.7154285002   16.6845040391
  20.4220565441    8.9157136260
 356.4543072321  -82.1175653784
 104.1003200868    5.9386349096
 189.4489838114   65.2012261133
  36.6585210928    9.2797274848
  29.8909527736  -57.7794479854
 197.0655410999  -23.6106129475
 247.1992126209   16.9566635844
 320.7599170030   44.9671529619
 228.3271676707   26.5334498818
 194.5529888646   38.3285456187
 260.2794528035  -29.7155593990
  90.6027105572   29.4687647788
 315.1988519170  -18.3666812335
 168.6666481187  -25.7252080340
 358.6127515391  -20.8915723121
 338.4769698215  -13.5187219278
 212.3424477818   60.6329749316
 189.0836725959   -8.9609602273
 247.2922572026    0.9427428565
 197.5541568290  -40.4779332689
 347.3704011198   35.6340235676
 188.6056022358   -5.5003310457
  29.0794662483    2.8910649048
 224.8205749179  -39.3717501645
 215.5769660656   24.9986472880
 326.0480145611  -25.9144554500
 147.4144496844   -0.2297290039
  94.7966396817   -0.6973554267
  51.2217996885   34.7258212592
 165.5883142982   19.6428316937
 136.6750490700   49.4727070992
   2.1029779542  -21.3389273474
 245.2962043723   38.0192855079
 253.7837136117   48.1643835715
 263.8320803741   -9.9393788447
 137.4451084510   24.4410863716
 346.5713279842  -37.5361449904
 319.4774630981  -15.0331232679
 283.3326934630    2.9034275046
  64.8129783079   15.2685617240
 112.9100183935  -12.7425484419
 212.8229584373   27.4160746722
 208.8740064165  -74.5859872373
  72.0331662226   46.0349936139
  65.2318957847   -2.7966109151
  21.2096558566   73.5990234681
 112.8032045325  -58.9222698020
 206.3185337179   17.4039733593
 179.3493296681  -35.8060635731
 169.0920822175  -47.8455614904
 302.9215466146  -34.7987153617
 255.6770410923  -30.2176751000
 110.2611113911  -68.3238999827
  14.7301258709  -24.4906248822
  65.8629819607  -44.0786566886
 330.8181516606   -6.8422557904
 306.0195833257    3.1435779727
 325.7175841070  -34.6815226396
  18.8368122651   -3.7641855402
 165.1590680660   62.4422157813
