            alt              az
--------------- ---------------
  -1.8086147934  307.6463578659
  50.5506020968   61.3484998518
  62.7967114289  343.8125031328
  30.4210576195  359.2008489261
 -15.1217237163   31.6647623390
 -43.1226345518   61.0672026459
  -3.2918081043  243.0898324850
 -65.9811363409   57.6622169153
 -66.2861692842  322.3894931402
 -12.8009649333    8.4877103298
  -1.3835242975  307.5856312614
  50.0679282191   61.5999815726
  62.9345854714  344.7884976241
  30.4176726313  359.4691006904
 -15.4148722000   31.4883524141
 -43.6028214697   60.7742182749
  -2.8022566681  243.0512106992
 -66.4442835569   56.9629060482
 -65.9578796076  321.3578092739
 -12.8900369191    8.3140349594
  -1.7329828433  307.7310569454
  50.4336624521   61.4739751912
  62.8017467520  344.1354275219
  30.3939956970  359.3577039754
 -15.2078084891   31.7293231228
 -43.2393960245   61.1249229404
  -3.1739736683  243.1790146541
 -66.0957816819   57.6625417200
 -66.2368412172  322.2257827123
 -12.8466154014    8.5498143437
  -1.3062303594  307.6682424736
  49.9471094907   61.7215337991
  62.9367314582  345.1173782859
  30.3883440644  359.6251078198
 -15.5039054825   31.5491267804
 -43.7231530096   60.8280517944
  -2.6806991595  243.1374377599
 -66.5621641456   56.9545493000
 -65.9058537558  321.1890768122
 -12.9375461877    8.3725163683
  -1.6515381152  307.8143217001
  50.3109721639   61.6023402831
  62.8087292713  344.4695178448
  30.3674826114  359.5170256112
 -15.2969294590   31.7905978651
 -43.3618379851   61.1773645835
  -3.0502927212  243.2668798709
 -66.2158180292   57.6510108932
 -66.1823147374  322.0503325073
 -12.8926135904    8.6087929109
