            lon             lat
--------------- ---------------
  74.9677842606  -19.5142902921
 172.2297005014   32.4023519824
 143.3382799109    1.1111149375
 116.5848033262   22.8181676454
  59.3243009323   63.3359313066
 345.0462879984   53.6920335113
  17.9268346685  -78.3645850068
 349.3275256231   30.9636164843
  13.0622394823    4.2869286526
  68.4207231124   41.3740013769
   0.4260868999   -2.4363702291
  90.0889168326    3.4839178928
 101.1717492118  -51.7093974661
 116.3536289893    2.2943268702
 206.8840112472    7.9654105812
 297.6787039687  -14.2813135132
  55.7756981256    7.9331864628
  55.7453868107  -16.1227136555
  75.3937353713  -52.2074105965
  13.7548843032   14.8265509860
  38.2649185544   47.4020689811
  53.5018680847   30.2350722158
 257.1210743998   52.3700269204
 243.2643714781   -8.8904418054
 148.0803726571   69.1234737726
  47.4712694152   26.0300039476
 349.5834874477  -88.0370163694
 347.3509659166   19.4312419296
  28.1274479581   -3.8927280134
 185.2011840994  -31.5354053867
 148.9152879753  -78.7675372463
  59.3880514843   12.9963831048
  52.5366638048  -36.5211800532
 102.2889482817  -10.7963438299
 274.9695606926   -1.6560295280
 307.7820415021   72.2642295195
  40.8644709001   59.5052483864
 122.2451775749  -44.1632891411
  56.0770363438  -27.6778300868
  23.5640595947   17.7966727257
  70.6992363855   16.0578820958
  96.2777065118   69.8352269141
 334.4479012711  -34.6529890036
 133.7017211571  -29.2473689162
 252.3021358304  -31.6425598581
 155.7120664428   19.0979976996
 140.4698968410   77.0562443995
 263.3869489781   23.4285521206
   1.0153733144   13.7812280697
 143.8050709561   -1.4235172528
 298.7032149654   58.9442815089
 106.6101612359   24.1067572442
   7.1411955497   -7.3404736499
  46.7848901806  -55.1773349451
  45.8853000578   55.3581619124
 125.3712938898    5.4856443839
 259.5247019786   77.5809152779
 162.2731658964   52.7824689402
 281.5467315526  -32.8037422035
  58.1659465999  -34.5919088625
 156.8834588812   54.5119132442
 253.8801239703  -18.6253539551
 331.3984190936   60.0283271209
 213.6950287358  -34.4171571713
 171.9063431072  -43.8854277990
 338.8975734616    9.0241982323
  78.0719065813   23.1441957896
   7.5080794747   66.7490171817
  92.8814700147    8.9933650823
 348.0147057318   38.5249668137
 344.3441653011  -55.9459577179
 275.0055861992   20.6003741602
 178.3268723488   42.8156756791
  45.1571551798   29.4496846357
 284.0041001847   80.0915607480
 196.1067423742  -15.2425703299
 233.3585888086  -23.9426461852
  26.3289630450   -5.8614657044
 274.9165303987   21.1626195274
 349.1207790642  -63.7950326103
  19.6057159296  -71.5897377458
 358.5217840136   79.3551948882
 187.5592748786    0.3339270022
  71.7224060209   31.3810950804
 190.9683815966   44.9397888159
 275.9389003009   23.4244542641
 206.1025223540  -19.5253831510
 221.2965604710   21.3560612511
 299.3999546856  -11.4948548663
 221.3575781397    3.7370724128
 359.4156979229  -11.5487368906
  24.4968185067   -2.4908370934
  39.3130848927  -22.4588895930
  92.3019201020   17.7380179899
 125.8775459287  -11.9549967286
  16.6486738532  -59.5553283037
 249.1204535237  -10.9038016626
  47.9890189887   -3.8710553471
