            lon             lat
--------------- ---------------
 354.5132297696   43.0751446177
 112.0384162258    4.7714967604
  71.2011078496   15.1549463696
  82.7282250033   47.6377055543
 175.7251740367   53.1651099918
 208.2934948504   24.5547077897
 338.1773828719  -19.6426881123
 232.9410006879   21.1386545759
 270.2418022920   31.3583197963
 172.1766160865   75.7247389901
 269.8432967031   17.0573084611
  30.6828158857   59.4280505198
   6.8066403084    6.4789333408
  56.8974741680   39.0542909695
 111.8170277194  -35.5800270549
 251.7446436045  -43.7317285433
 310.5611038439   66.6233275603
 328.7017466691   44.6234708890
 351.3428856271   10.4971592532
 259.1969175460   36.6430618372
 209.9958801220   58.1067282723
 241.8496271827   75.3601070170
 172.3946431214  -10.2284599360
 147.8702594448  -70.7174778123
 144.2729140931   29.3987688518
 255.9776161207   69.9995092302
 345.7122254388  -26.7966012944
 243.4983832650   15.1650265850
 288.9710252066   39.1863828192
  56.6739284263  -34.3043135180
   0.0131758734  -24.4998387143
 311.1948256777   72.8037931623
 332.6847601148   24.2837296395
  31.9346239547   40.6993282438
 215.5223681421  -54.9267695803
 183.5352828296   16.9014212533
 191.4178349285   52.0191190227
  22.6240346294    4.0991856084
 333.2356268296   33.6072654967
 260.2385393303   46.4821187310
 352.2082636761   78.8828532387
 155.4141193198   44.6633318881
 287.7703959956  -19.1540105879
  39.9674088135    6.8354161812
 322.8986136393  -85.0149915875
  93.3111835325   12.1039187806
 153.6501778453   30.7134038581
 183.6643257366  -37.7584129459
 254.6028697910   24.8969379862
  69.1211662152   13.5480267900
 190.8415634018    5.1015654139
  81.0088946446   56.8163784025
 277.9115504914   20.2808505089
 334.9047944844    5.3379532988
 192.8670331808   56.8942031413
  66.0491416615   33.0121632002
 170.0268585960   14.8886187923
 127.8879118233   19.9017619597
 277.3088682869  -62.0600240651
 337.0851159594   27.2824627499
 128.6819818888   23.4575215190
 192.3392676070  -80.7012144993
 199.4473158717   19.2716788713
  55.6338742352  -58.2913122374
  40.0092940458  -26.7722294264
 249.4173063909    3.2813572082
  51.4684963628   81.5381814063
 193.3497652658   35.6168518202
  42.4067035267   61.6498555068
 224.8506717701   22.5365117544
 311.4859928810  -19.8042227029
 197.5252478767  -36.3918151653
 123.5024659903    5.9132689681
 245.9994349892   68.1932972026
 173.7407112213   18.8303443404
  79.8313243597  -38.8970055701
  86.3852446482  -74.8085140638
 289.4069654208   36.5466121149
 197.1081986727  -35.9339094370
 320.2038163829  -20.2387904898
 333.3489441657  -14.6616684536
 179.5448713704   30.0713733820
  91.6826017749  -24.2899133907
 147.0555843141   85.4551203860
 130.5876034417   -0.1958165861
 196.8384285194  -33.4923116969
  79.0515789197  -49.3350779587
 135.3428558811  -34.1890208359
 249.2927099417  -41.0297049021
 121.8038498465  -48.6602580288
 277.4407733459   11.5888637115
 284.6909427608   37.2368642190
 314.1606230354   32.2851183436
  58.1623692366   67.2501234490
  49.7613167516   23.0612030188
 323.7530046235   -7.0735871424
 165.3842850116  -73.7443362751
 310.3134264107   52.4930101344
 327.4139763298   16.6849197298
  21.1206346851    8.9161897977
 357.1533177426  -82.1169535125
 104.7988410366    5.9385112838
 190.1473582112   65.2007964878
  37.3570955105    9.2801346391
  30.5890540693  -57.7789166738
 197.7641791584  -23.6111513217
 247.8977113633   16.9564739081
 321.4582532230   44.9675135279
 229.0256003470   26.5331343289
 195.2514563518   38.3280980602
 260.9784116875  -29.7156686163
  91.3014624787   29.4687532678
 315.8976227963  -18.3662966659
 169.3651185522  -25.7257574222
 359.3113454180  -20.8910171757
 339.1756347956  -13.5182187210
 213.0405866909   60.6326095902
 189.7822435102   -8.9614914169
 247.9908910268    0.9425389269
 198.2528638323  -40.4784938663
 348.0689298227   35.6344822975
 189.3041671240   -5.5008571825
  29.7780150791    2.8915185310
 225.5195051026  -39.3721739794
 216.2754309732   24.9982573155
 326.7467977832  -25.9139952476
 148.1129452311   -0.2301676015
  95.4951027589   -0.6973955448
  51.9205714089   34.7261089890
 166.2868803289   19.6423551586
 137.3739142640   49.4723702988
   2.8015535323  -21.3383710935
 245.9944946977   38.0190992836
 254.4818434918   48.1642681644
 264.5308267090   -9.9394435661
 138.1437485356   24.4407265591
 347.2700394778  -37.5355854263
 320.1761971300  -15.0327134581
 284.0313266263    2.9035445471
  65.5115923999   15.2687719206
 113.6083771801  -12.7427525331
 213.5214144719   27.4156748168
 209.5735767041  -74.5865342193
  72.7321256693   46.0351235650
  65.9303603799   -2.7963861497
  21.9087983597   73.5994215802
 113.5007858952  -58.9224840364
 207.0170500757   17.4035311835
 180.0478604926  -35.8066401548
 169.7904773258  -47.8461386493
 303.6205248009  -34.7984151440
 256.3759976178  -30.2178290672
 110.9581841015  -68.3240899990
  15.4286260857  -24.4900793774
  66.5609788200  -44.0784006866
 331.5168097249   -6.8417928642
 306.7182109457    3.1438803032
 326.4164373743  -34.6810556779
