            lon             lat
--------------- ---------------
 334.1097620380   36.2822894410
 113.1272688784   26.5690157999
  65.3792705103   36.8835265666
  72.2462801543   70.5430497057
 203.8718634461   49.2793069343
 213.7898104134   12.5687395823
 346.5523054454  -27.1377445965
 234.5118558797    2.3121830110
 269.0043204697    7.9230176197
 235.1284510659   64.8060252126
 268.5054356690   -6.3739084387
 345.5627455174   62.7358813754
   2.3771748140    8.0924645551
  37.4213927273   56.3696428234
 106.9559443681  -13.3346653918
 235.1762550178  -64.8124361243
 291.1609741413   46.0377478768
 313.4565270735   29.4419222288
 346.6387844875    5.6732569682
 259.9523211173   13.6284949922
 230.8496518606   42.7172639945
 258.0055877028   53.1525858078
 167.7010218978   -5.8342292522
 116.8938467809  -52.5096751687
 157.5399776968   41.2654520840
 262.3426842575   46.9699096806
 357.1974309150  -30.6391077140
 243.0086656243   -5.6978847874
 284.1358762481   16.6053051864
  60.9504046853  -14.3013126077
   9.0440235174  -22.9065857237
 287.8296777820   51.8236361968
 324.7327614446   11.7193277056
   8.1954176200   48.7205108673
 176.4178987178  -61.5345458455
 188.8225860651   14.6285062178
 214.1966676109   42.8895909099
  18.0450408487   12.0767296307
 321.6562381962   20.5764806350
 261.6539720567   23.3657160398
 294.4553469055   62.6248421602
 179.4381181579   50.2544395535
 290.7988800562  -41.4186637946
  33.8481567551   20.8195320356
  78.9038177923  -69.3138836808
  92.2997999320   35.5279736350
 167.8316314031   38.8898441313
 164.7842233581  -35.0458316746
 254.7935583820    2.3400988465
  63.2837240377   34.9437833648
 190.6820118042    0.9503878428
  58.4922793692   79.1134140166
 276.1176960322   -3.0203252453
 333.4896424450   -5.2402327597
 218.9615806554   46.4975930502
  53.1245047560   53.2543778263
 175.6185328256   18.1521481531
 135.0526055055   37.8083295984
 302.3415262253  -84.8264296054
 327.3971081110   15.9614798376
 137.3831646418   40.9620038913
 113.5287271639  -66.5810256724
 204.0026608895   10.7475564066
  67.1717758997  -37.6537275034
  44.7003933164  -11.0500023366
 246.8080697179  -18.4053648391
 288.0466085378   72.2467957892
 205.8970217860   27.8623189095
 349.8452527913   68.6512374785
 227.6390343283    5.6798450883
 319.0568039476  -36.6682050586
 177.7164974218  -39.2924754059
 125.8348676375   25.4474299048
 256.7617815525   45.9181962977
 180.7757470876   20.2616244586
  80.6667634009  -15.8319178759
  87.8987336247  -51.4058902218
 284.8347791012   14.0299430700
 177.6294379701  -38.7281474011
 328.6958520005  -34.2775784812
 339.6501533270  -24.4053694005
 191.3527493243   28.0907632841
  90.2608656214   -0.8508908249
 259.5744958377   68.8087254358
 131.5713438786   17.7683475711
 178.8756716935  -36.4840153940
  81.0621487935  -26.2783535548
 126.7078714884  -16.1791046754
 233.2477300519  -61.6775155110
 112.1496931621  -27.5319827186
 276.0466369787  -11.7237766962
 280.8902912386   14.2985838105
 306.2830041434   14.0732923682
 341.7080766055   77.1007319123
  37.8541961471   39.2656137896
 327.1641000608  -20.7377893547
 120.7261108254  -58.2206756281
 297.0150267665   32.6410259220
 322.6842392139    2.8904917636
  14.7159775108   15.9504350409
  70.4308980994  -65.9025035384
 105.2335219588   28.6720746526
 225.3501366857   53.8522795657
  30.3412134685   22.2388086213
  51.0163374378  -42.2798351431
 185.0428982632  -28.0451358210
 247.5008221262   -4.6657825533
 307.8607847008   27.8858442323
 232.4420202760    8.4496684489
 208.8185800128   29.6222593190
 255.0078072420  -52.6138237792
  89.8613931103   52.9080170398
 323.3062106596  -33.9426509194
 158.6195618170  -18.8765327311
   6.7591142657  -19.9200551281
 344.8098060954  -21.1461740835
 234.3804006699   44.2062470279
 184.1091111120  -11.5485643241
 244.9127844221  -20.4809564481
 175.6124831866  -43.1032662636
 332.9609457173   27.3868273014
 185.0721970327   -8.1869037325
  25.3074637469   13.5977223929
 203.5131817595  -52.7571135980
 220.8802928299   10.4615956369
 338.2392042028  -37.1853526478
 148.8591589722   12.3933813395
  94.4419549665   22.6788015249
  34.2260633835   50.8041350472
 174.2516359848   23.9588712935
 166.5235081013   61.2836848397
  10.0897729599  -18.9525212753
 249.3755817571   16.3814724961
 257.5894960197   25.4513257318
 261.9107606796  -33.1859842455
 148.4099143515   38.8851780659
   4.8152598085  -39.4928239801
 326.5049088464  -29.4149844702
 283.4376054298  -19.9485593921
  58.6575911641   35.9334689559
 111.9216777530    9.0225663324
 219.3420849316   13.5736055649
 131.1282691634  -69.1313317040
  54.9845320325   67.2186654716
  63.1061080609   18.2963363850
 312.2826647011   66.8532661994
 103.9937850125  -36.5519867489
 210.0392426187    6.3330288146
 162.8481046776  -31.9489724074
 147.5033404079  -38.7886553471
 316.8568868278  -53.1240750570
 248.3946047250  -52.5359862722
 100.1774424954  -45.5745030706
  22.5906677041  -17.0123761431
  70.9715587981  -22.2665117026
 334.7275867271  -17.8225859800
 306.8853701373  -15.8881328103
 342.9837662685  -45.2020874375
  18.1647100320    3.6306627702
 208.1937931922   59.6203719781
 172.2068282255   74.8454408660
   7.2448408603  -62.7237305222
 133.9864917328  -31.7238914032
 148.2997667297   42.6420740095
 216.9726850828   50.9864257999
 241.0347859209  -32.1376707601
 301.1837383700  -35.2474974108
 278.9616895616  -75.0656214565
 143.5809914086   10.7374428618
 285.6788744175   47.1659779405
 321.0233394685   38.5666790826
  93.5145993765   50.8659837911
 355.4843512154   34.6330278332
 306.4877179461  -15.6474334104
 263.0672629116   53.7225708832
 127.6788403042  -55.0718777100
 317.4188253048   21.8204632549
 311.7738668034  -13.8691903297
 343.4806628466   30.1979236589
 359.3985922130   27.0881258391
   5.2631601846   61.7347686781
 112.4705766048  -10.0993413426
 357.6706983109  -13.9619187212
  53.0088720093  -16.4615525866
  59.8032693496  -38.0297517380
 272.3622918029  -16.5984730798
  24.4981512005  -42.9728612157
 253.1894626562  -27.6613269622
 168.3241706885  -49.7829442779
   3.0779194852  -72.3079744465
 278.6859861294   54.8020022976
 285.5442567680   45.4715894553
  53.0953197143   25.9095695581
   7.9422919425  -51.3903347744
 273.5709331705  -25.3026067814
  80.1205069292  -41.1787171698
  95.1287011098  -78.6719226791
 163.7698659087   39.5133036165
  89.1025815459   39.6314964679
 203.8931110233  -22.7639902266
 303.6115380839  -70.5030337734
 135.5288877197  -15.3675118295
 155.1352531136  -37.2394612874
 299.0880169409   -3.3951652224
 132.6995526043   52.8800145713
  13.9752163158  -13.8278125068
 198.9294341818  -50.3552407595
 161.7900439199   11.9934332846
 260.4472294337   -4.2098661118
 135.6509601060  -14.2166525074
 301.6837867910  -53.1762539146
 168.2348812347   54.8454518345
 202.0388605387   50.5969312731
 237.2570275994  -29.5957089106
 165.9114142271  -65.1909497847
 224.1033167700   50.4734831089
  79.4930520941  -43.1633382572
 263.2594783627   14.1310057819
 136.7003963073   18.8951197652
  69.4898953349    2.1261454794
  96.8125660525   30.9439853466
  89.1486230859  -13.7714853180
  54.0165141944   26.4366676406
 276.1817831047  -72.4299776944
  91.1873172497   23.3864730299
  45.4205123444  -36.2602921855
 238.6451057444  -36.0602292314
 147.6403600678   66.0368278634
 239.7554537672    0.0292503694
 236.6574758920  -45.0345782856
 109.1749711230   24.7018040716
  71.8527809828  -11.2868266807
  79.2394275719   10.2697171115
  42.5621238081   -4.1087146004
  12.7213476924    9.1838210489
  11.7666545855  -64.3377238880
  82.6135114287  -44.9323401550
  81.5902599340   -4.9017775275
 224.4457310498   31.3166703561
 320.7228181510   13.2476990257
 280.1932293762   25.7108997441
 258.9404299029  -27.2815705084
 111.2105864249  -19.5067189411
 130.1009724199   -8.3790675772
  69.4286281867   63.2616046984
 336.0915178392  -22.0421519627
 201.6304861054   24.4451345315
