            alt              az
--------------- ---------------
  -1.8082834047  307.6461182561
  50.5504759341   61.3484517665
  62.7967728895  343.8125709680
  30.4210922424  359.2006866397
 -15.1219175866   31.6643745016
 -43.1230857589   61.0667884255
  -3.2914372117  243.0898749761
 -65.9816286277   57.6613585582
 -66.2857906119  322.3882619569
 -12.8009928396    8.4872903929
  -1.3831332639  307.5853842140
  50.0677249937   61.5999666525
  62.9346607484  344.7887416042
  30.4177010535  359.4689764703
 -15.4151137020   31.4879438851
 -43.6033436802   60.7737596498
  -2.8018133935  243.0512434261
 -66.4448452271   56.9619266966
 -65.9574429279  321.3564389394
 -12.8900815583    8.3135952672
  -1.7299154150  307.7300749414
  50.4305002462   61.4752542285
  62.8027493050  344.1412943124
  30.3940685990  359.3589011417
 -15.2098187061   31.7274717891
 -43.2428702015   61.1222768824
  -3.1705117007  243.1784761900
 -66.0991966739   57.6568438032
 -66.2343387969  322.2176711522
 -12.8471563806    8.5479501566
  -1.3060248037  307.6680568238
  49.9471140983   61.7214347367
  62.9367439561  345.1172190618
  30.3883722212  359.6248960287
 -15.5040239819   31.5488213612
 -43.7234730473   60.8277591254
  -2.6804616360  243.1375223757
 -66.5625293865   56.9539114697
 -65.9055608110  321.1881703990
 -12.9375564956    8.3721795072
  -1.6512131729  307.8140862682
  50.3108489923   61.6022957470
  62.8087803620  344.4696078454
  30.3675128235  359.5168697568
 -15.2971238916   31.7902275672
 -43.3622823987   61.1769730372
  -3.0499208689  243.2669408001
 -66.2163070974   57.6501775385
 -66.1819375855  322.0491294042
 -12.8926445867    8.6083905006
