            lon             lat
--------------- ---------------
 322.7468093282   24.1660747466
 122.2946514679   47.2538031644
  53.2309678993   57.4391972996
 318.3196861965   82.8131977944
 222.5725936562   35.8048514193
 216.2625049046   -1.3447714896
 359.9200934985  -29.5436171573
 233.3382727291  -16.9616518210
 269.5954046280  -15.5190908299
 250.3358349643   43.5598814415
 269.0576913432  -29.8161375776
 314.0953241247   50.7198501656
 359.4150523831    8.8758094479
 357.5091871125   64.3790133715
 107.2578838261    8.9778576076
 170.9390573090  -76.2506848138
 286.1510203837   23.8997912204
 308.0753063608   11.8224786884
 345.9811985148    0.4501971923
 260.6634023791   -9.5514675153
 239.9499583109   23.0570602300
 261.9067466845   29.9848167158
 166.8917410114   -1.0103839510
 108.8822485174  -30.9659678206
 180.3838572404   45.4907837629
 264.5566372172   23.6324510528
  11.2358167269  -28.4663414332
 240.4351968134  -26.6003241651
 284.1454277591   -6.0459428077
  62.2722286663    6.5734181704
  17.9777490191  -16.9424817575
 282.7145852320   29.2676451464
 323.6219617957   -1.7985385233
 342.2722937007   47.1124158141
 141.6610652026  -53.0286449838
 194.3556842099    9.4488589861
 227.2263099526   27.0802855434
  12.3393851061   18.7056892952
 317.9511747078    5.6232540080
 262.8188781833    0.0821206873
 284.5330761340   40.5370777684
 205.4047759959   44.6060796248
 306.2821621538  -62.0549701667
  24.0296568681   32.6882745323
  84.3242449062  -46.0409140994
  94.9500170020   58.9001406433
 187.8496739568   39.3816785697
 152.0469743144  -26.6417342908
 254.4381252062  -20.3867150194
  51.3442905966   55.0843152172
 190.6745342613   -3.8556923259
 290.8342417287   74.9876926282
 277.5458633400  -26.2511295692
 337.8985540634  -14.6340710634
 232.2726422901   29.2453955460
  19.4197833967   68.2330234057
 183.9284853537   17.8341784466
 155.1223397190   51.2088998807
  80.6263919002  -70.6641293995
 324.6379147299    3.0649184965
 160.1620011973   53.1167362501
 102.7751759396  -44.2956320385
 206.6351258005    0.2377023562
  71.7376117660  -15.5159394954
  46.0036720267    6.0237994342
 241.8665731906  -39.7837091006
 278.2228215111   49.4027986335
 214.5800599490   15.5524424211
 309.7400776449   56.3221985820
 227.3544943193  -11.9825507661
 338.6999721232  -48.7248254574
 160.4396833372  -35.1438405625
 137.3565860551   42.8958149415
 260.3033505743   22.8485572402
 189.5002695078   17.7172044673
  81.4916415763    7.3925248193
  88.7220682513  -27.9650985849
 285.1039728768   -8.5324871752
 160.7011195944  -34.6174875938
 347.0576215334  -42.9365598768
 352.1118563189  -29.8302916519
 202.2422917324   20.8077257850
  90.9717608222   22.5825751735
 264.5985947230   45.5155348695
 140.5896913188   33.8977381249
 163.0398500934  -33.1207189857
  82.4306182386   -3.0183137293
 125.5826240317    2.6063452410
 180.1937954659  -74.0181803067
 110.0582905157   -5.7627117694
 278.0654285622  -34.9434150180
 281.2281086973   -8.6411414384
 305.6996291391   -4.7485155728
 294.7932659507   60.2649175445
  17.4229976447   50.8123255539
 338.1621537420  -31.3024637593
 109.7678753491  -37.0315838735
 293.3423957657   11.5305684625
 324.6084952612  -10.8045757192
   7.5377867204   20.9497112648
  79.1951668778  -43.1003939379
 112.5388751933   50.7903397218
 239.7574629341   34.7679643258
  19.8021330796   32.7046749537
  59.9528767137  -22.6026299441
 172.9366170029  -28.0372013396
 245.5591559449  -26.3761691772
 303.6967000669    8.9975564307
 232.7711995545  -10.5112148903
 217.7261091781   16.2624495925
 236.7102926444  -74.5044058728
  92.2223560789   76.3388160200
 341.3614734914  -44.7093730738
 153.6337837199   -9.6410530323
  14.6884649438  -15.0856053612
 355.3730201068  -24.8442507056
 243.0650143652   23.8418655490
 179.5834098424  -12.7266121470
 239.0043618112  -41.4519107376
 156.3895919920  -37.6750717094
 325.4194512714   15.5767557716
 181.8533713390  -10.0340743377
  18.6731263832   22.8783501901
 170.6237153673  -56.2368947403
 222.2208075217   -5.5094337554
 358.1282651179  -41.7122847341
 156.2324370312   22.9764837234
  96.9095036283   45.9701076339
   2.4665361205   58.9870949559
 185.3322071613   23.6326253490
 207.8756433127   57.6714896278
  17.2465763289  -12.9313442984
 250.6735828780   -5.8188029578
 259.2554417544    2.3961741342
 258.9793979776  -56.3847747333
 169.9501931716   47.0727990655
  22.4586187827  -33.4270329053
 341.9240803399  -39.4437454100
 288.1817834681  -42.4307591935
  44.5750804118   54.8057806590
 116.0983602941   30.3313954110
 221.7150836316   -2.0899378344
 110.7010035854  -48.8196842480
 340.9438985169   76.9054593597
  57.4489570350   38.9486316814
 292.6642282468   46.9110464964
 101.8872745428  -13.7747773144
 210.6831396634   -5.9893682293
 151.8826499527  -23.1526667699
 136.3838212266  -24.4590172500
 353.0235648148  -63.2805229330
 223.7935904606  -72.7735200465
  97.9566247752  -22.4758926019
  27.6321513044   -6.5728868339
  72.9166003736    0.1721376498
 344.2822039437  -25.7719622544
 314.7628421257  -33.5034590856
   8.2660815655  -46.6385248291
  15.8507471769   10.9694014954
 231.6916105599   43.8274004483
 233.2469696910   63.8115966902
  41.8444141903  -52.0371639186
 127.8471950519  -14.1389653253
 172.8071629449   50.3240439007
 232.7456541759   33.9040733983
 229.7479958976  -51.8464369107
 316.7398172666  -53.4741335247
  72.4904493914  -80.8807382775
 150.3390869120   23.3209946487
 281.8861263979   24.4620148482
 311.3210111402   22.4436859487
 100.4241978510   74.1231354703
 341.1903910012   30.1952506644
 314.2397731943  -33.3856012226
 265.4294717476   30.3560871266
 115.4085410822  -35.1058084872
 313.7898093583    5.5821168302
 319.3360976013  -30.1410192459
 333.2021879487   21.7839971657
 348.3998019286   24.9600285050
 326.7014782615   56.0517885248
 113.1621269675   11.3968463198
   3.9974064010  -13.2036972801
  55.2145191905    2.8551458439
  65.8430590086  -16.9128811165
 273.8609234892  -39.9831881686
  39.8219243675  -29.9198605150
 247.6801290877  -49.9446782634
 146.4134815886  -40.8617923808
  52.1688999837  -59.8684413489
 276.0275780104   31.5921813911
 282.0188331365   22.7694400656
  42.7906722229   43.7699901209
  32.4733487988  -42.6189728362
 275.9469836481  -48.6330786870
  82.5087022905  -17.9387693343
  91.5071097161  -55.2786220216
 184.7076883544   41.5218398030
  89.9552787615   63.0730275114
 193.1633855279  -30.7338652736
  32.2724277902  -76.8449089775
 133.9821553313    1.1117696236
 143.1542961386  -25.3719629225
 302.6596840166  -23.3886117849
 168.3369280399   64.7308367440
  18.6802389743   -6.7546279820
 169.4378006092  -52.5754320146
 168.4935015259   17.6950549201
 260.0030917732  -27.3857254379
 134.4295751661    2.1787259205
 335.6403641106  -69.1410034704
 201.3356973821   52.3533574061
 222.0038483773   37.5134859098
 226.1447110787  -48.4334986106
 131.8052733107  -52.7299568458
 237.5571281324   31.8319968545
  82.1548287012  -19.9494623695
 263.9388609210   -9.2098613067
 146.5472855989   33.3014992099
  68.1564793507   24.1680689996
 101.1729437263   54.0532298619
  89.7251417724    9.6703045474
  43.6480520531   44.5334765198
  68.7585973269  -83.5828150497
  92.6127923745   46.8004879668
  53.7472384373  -18.0089791536
 224.4825294294  -54.9213057105
 205.5036986213   67.1886749617
 238.2071516208  -20.3410372325
 214.8443661671  -62.5478071872
 116.6198623965   46.2225393810
  72.4424597879   11.1739771460
  78.1162621139   33.3448414301
  41.9395742946   12.0716105807
   8.5317576251   13.9730047446
  46.0389564135  -52.0048938195
  84.6567823095  -21.5882540125
  81.8165544584   18.3556602591
 231.4708903131   13.5037562094
 319.4215125721   -1.6121250592
 279.6383704024    2.6794517768
 255.6450637634  -50.2615112650
 110.4560731149    2.2987179328
 130.8103899003    9.3003703325
  12.3043650238   81.2261898293
 347.5567598578  -29.0893977944
 209.5908434650   13.8075878364
  20.7568654482  -80.6024360193
 123.4819875674    0.7316603856
 280.8517253939   38.6479693715
  34.9442590065   14.5121401194
 257.0803730402   -3.9325244347
 342.8490859468  -34.6459500526
 285.6613978761   15.7465300732
 194.2365094055   79.1076211913
  91.9026627831   16.4333053143
 166.4317653206  -24.9078782787
 152.9246104370   16.7247509843
 176.2425750836   48.4491383792
  53.7005954888  -47.9302155202
 193.3116788341  -53.0043554579
 223.2285678375  -89.4411398855
  80.7782532245  -74.4101913234
 135.5633892514    2.2472368075
 277.7378175888   49.6434200837
 152.4386103659  -33.7473980716
 260.4756434036   -0.8650492671
  65.2492121767   27.7354331454
 149.1829179644  -13.5402230780
 328.6808929337  -72.2195132757
  65.1624222220  -76.3740442233
  67.1657796937   17.5878177871
 320.7531380529   59.6294873553
 252.9903140012  -13.4403402361
