            lon             lat
--------------- ---------------
 354.5132175007   43.0751513746
 112.0383953570    4.7714853486
  71.2010892051   15.1549388293
  82.7282117202   47.6376964220
 175.7251403614   53.1651034341
 208.2934685760   24.5547073706
 338.1773593403  -19.6426789990
 232.9409755615   21.1386590019
 270.2417777551   31.3583297713
 172.1765594543   75.7247318576
 269.8432738969   17.0573183956
  30.6828144014   59.4280504580
   6.8066205006    6.4789379526
  56.8974615328   39.0542858192
 111.8170054831  -35.5800384603
 251.7446308769  -43.7317209206
 310.5610875540   66.6233389123
 328.7017310620   44.6234810417
 351.3428662788   10.4971665167
 259.1968908890   36.6430705182
 209.9958405794   58.1067281958
 241.8495685174   75.3601130389
 172.3946237534  -10.2284670339
 147.8702536564  -70.7174880434
 144.2728904522   29.3987583068
 255.9775729422   69.9995174711
 345.7122002872  -26.7965931869
 243.4983596386   15.1650328875
 288.9710023391   39.1863941252
  56.6739003633  -34.3043186280
   0.0131503298  -24.4998328843
 311.1948116650   72.8038044911
 332.6847418878   24.2837393875
  31.9346128631   40.6993279300
 215.5223634947  -54.9267685456
 183.5352586943   16.9014160458
 191.4177999487   52.0191152757
  22.6240144401    4.0991871641
 333.2356099802   33.6072751850
 260.2385104921   46.4821275486
 352.2082888145   78.8828603661
 155.4140917669   44.6633224447
 287.7703758615  -19.1539993321
  39.9673891683    6.8354142594
 322.8985419798  -85.0149809335
  93.3111636495   12.1039085099
 153.6501530776   30.7133942152
 183.6643127080  -37.7584181303
 254.6028449468   24.8969460311
  69.1211473745   13.5480195715
 190.8415414230    5.1015615574
  81.0088848227   56.8163694857
 277.9115278545   20.2808611675
 334.9047740869    5.3379628007
 192.8669953030   56.8941996714
  66.0491267406   33.0121564741
 170.0268352507   14.8886113249
 127.8878902690   19.9017505249
 277.3088557990  -62.0600134535
 337.0850985068   27.2824719963
 128.6819601575   23.4575101062
 192.3393135791  -80.7012180704
 199.4472909038   19.2716766847
  55.6338363432  -58.2913171588
  40.0092673004  -26.7722313565
 249.4172848689    3.2813644731
