            lon             lat
--------------- ---------------
 335.2148021570   36.7853382685
 114.6617484569   26.3435678622
  67.0442743898   37.1080237843
  75.0458610479   70.6997374549
 204.8887507905   48.7724143284
 215.0025002665   12.1094428324
 347.8961643759  -26.5947553405
 235.7762174676    1.9940461696
 270.2084593762    7.9192079185
 235.4443888709   64.4891225276
 269.8492454743   -6.3818964123
 346.5812688092   63.2760489763
   3.6629229983    8.6483603813
  39.2259221170   56.8062473942
 108.1105144670  -13.5023530035
 237.4498303232  -65.1213354962
 291.9037853386   46.2420490603
 314.5102398070   29.8284694622
 347.9074970698    6.2162568007
 261.1012447287   13.5368972041
 231.7325677290   42.3692381568
 258.5613979241   53.0396009196
 168.9703095770   -6.3794135680
 117.5265411721  -52.7642501582
 159.0004555723   40.7484479089
 263.0335898323   46.8991085742
 358.4911586623  -30.0827151068
 244.3410900872   -5.9447556733
 285.2561756976   16.7465367691
  62.1081196181  -14.0358840439
  10.2864723601  -22.3577185002
 288.4364268448   51.9968791787
 325.9473110349   12.1772059567
   9.5757283341   49.2703789393
 177.6453983013  -62.0906320893
 190.0805926214   14.0794453986
 215.1862084502   42.4319963161
  19.3654778006   12.6039845061
 322.8083050867   21.0165046267
 262.6977404147   23.2899657742
 294.7548035493   62.8565950584
 180.7185668263   49.6979133612
 292.5352956656  -41.2130998467
  35.2509770553   21.2779914852
  78.7424701920  -69.2058871363
  93.9776454815   35.4974974157
 169.2014738246   38.3444308818
 165.9659450593  -35.5845579968
 256.0537769058    2.2000113345
  64.9164383374   35.1868976685
 191.9621239484    0.4045589405
  62.3229887723   79.3882732358
 277.4281404394   -2.9546644385
 334.7923625873   -4.7392663213
 219.8734523490   46.0676605000
  55.0130311990   53.5809547575
 176.9115825059   17.5967232139
 136.6325601301   37.4090321168
 308.4846732767  -84.5034876811
 328.5929450089   16.4335201617
 138.9842430587   40.5472062063
 113.6253671134  -66.8037238447
 205.2411479249   10.2415380313
  68.0573340518  -37.4416372180
  45.9058182606  -10.6584057084
 248.2618857380  -18.6181092260
 287.6650489446   72.4174841040
 207.0486801415   27.3641048360
 350.8850498936   69.1999059243
 228.8805969334    5.3092575127
 320.6036806455  -36.2427449555
 178.9845981701  -39.8490288979
 127.3272171482   25.1157242565
 257.4842837619   45.7941940640
 182.0521242227   19.7051934977
  81.7924098095  -15.7469962341
  88.4829139737  -51.3882631354
 285.9815364683   14.1778563115
 178.8971159193  -39.2846742796
 330.1686444490  -33.7981712762
 341.0156467927  -23.8810848252
 192.5732740259   27.5462752126
  91.5337755316   -0.8595846012
 259.4481745391   68.7074438101
 132.9830895134   17.3939074436
 180.1534987480  -37.0407726067
  82.0719469952  -26.1966639662
 127.8591768384  -16.5163221517
 235.3740509079  -62.0024063512
 113.1618687011  -27.7464099736
 277.4426314419  -11.6583914868
 282.0322776293   14.4092091845
 307.4515578597   14.4072719206
 342.2209995383   77.6299119383
  39.4218450437   39.7003522655
 328.5563849564  -20.2663584227
 121.2324561140  -58.5072612245
 297.9787863807   32.8980272086
 323.9476949852    3.3369231376
  16.0403095228   16.4871488341
  70.5438376864  -65.7164505996
 106.8063832850   28.5184734371
 226.0899975387   53.4637507164
  31.7413173318   22.7157213768
  51.9040581851  -41.9328723135
 186.3540676786  -28.5991400598
 248.8254990992   -4.8728480459
 308.9097898807   28.2314835557
 233.6587915025    8.1150708970
 209.9462816841   29.1372866698
 256.9980684557  -52.7485346845
  91.8785790862   52.8995534716
 324.8058588044  -33.4918853362
 159.8323433115  -19.3970555057
   8.0149886106  -19.3679158009
 346.1445451876  -20.6072070796
 235.2219952547   43.8854664262
 185.4001533991  -12.1033512678
 246.3849380403  -20.7105228685
 176.8592758919  -43.6588580399
 334.1125924427   27.8851215180
 186.3618335677   -8.7408265581
  26.6489289570   14.0981315235
 205.0988425318  -53.2645922846
 222.0950880461   10.0446272801
 339.6709745834  -36.6656965778
 150.2012282729   11.9136295554
  95.9545372584   22.6283789606
  35.9027282194   51.2596643098
 175.5546755516   23.4044815145
 168.0260958016   60.7408380508
  11.3361993231  -18.4054664441
 250.5043841075   16.1905645056
 258.6125114803   25.3365847234
 263.5540295012  -33.2564340837
 149.9193231513   38.4072907977
   6.0536740938  -38.9385139355
 327.9547377041  -28.9468231631
 284.9143839991  -19.8122152408
  60.2881706323   36.2161798212
 113.2835172731    8.8086407504
 220.5387048750   13.1468407560
 131.3000799716  -69.4982095243
  57.3752076613   67.5284103042
  64.5537398956   18.5418400071
 312.5946712867   67.2288405516
 104.8742601346  -36.6907347670
 211.2904008036    5.8542229974
 164.0294144096  -32.4826320740
 148.5456402095  -39.2609443501
 318.6338298141  -52.7119414390
 250.3585670342  -52.7321440796
 100.8991988884  -45.6762968361
  23.8060102464  -16.5006330872
  72.0375776845  -22.0898572725
 336.0824727015  -17.3163527894
 308.2911004666  -15.5485334764
 344.4211685172  -44.6676479233
  19.4583099480    4.1576134325
 209.0250169794   59.1318168310
 173.7348377694   74.2931224162
   8.3812363346  -62.1720418701
 135.0203929565  -32.1141349093
 149.8423001543   42.1646592853
 217.8401057449   50.5443632243
 242.6262290896  -32.4005285057
 302.7971923050  -34.9525324545
 282.2879350247  -74.9629712943
 144.9226013985   10.2856886138
 286.3818982405   47.3196999588
 322.0266043053   39.0024267966
  95.4772449679   50.8223450559
 356.7394695773   35.1883346459
 307.8921145775  -15.3109095883
 263.5965286765   53.6579790266
 128.3277806032  -55.4146903155
 318.5496433501   22.2340243710
 313.1554070639  -13.4933209843
 344.6723253768   30.7331702437
   0.6802346556   27.6447345339
   6.6533236145   62.2882831469
 113.6595590054  -10.3174205250
 358.9561392215  -13.4054208863
  54.1591795319  -16.1310204846
  60.7083398365  -37.7534678702
 273.8094324534  -16.5685047662
  25.5620050926  -42.4683199463
 254.7524149345  -27.8150748110
 169.4774837526  -50.3293339702
   4.2497515602  -71.7522482839
 279.1868336283   54.8884881005
 286.2802365564   45.6242086401
  54.5965264219   26.2379487461
   9.1213139180  -50.8396565707
 275.1147157179  -25.2604547751
  80.9221263080  -41.0869769941
  93.6328024784  -78.7144232378
 165.1729112598   38.9770654448
  90.8447936420   39.6317476865
 205.2729443576  -23.2702728790
 306.1718417453  -70.1845062942
 136.7026168649  -15.7687436551
 156.2406930869  -37.7468514271
 300.3971091329   -3.1189791522
 134.5096228459   52.4961746762
  15.2227753133  -13.2890436395
 200.4392961337  -50.8795278335
 163.1062081579   11.4627219138
 261.7697121280   -4.2959051392
 136.8332226097  -14.6187321592
 303.5881915862  -52.8759723475
 169.6661478303   54.2992448777
 203.0628150621   50.0829647917
 238.8084343454  -29.8904934332
 166.9060668660  -65.7321899778
 224.9152468764   50.0766173895
  80.2611312911  -43.0654273151
 264.4020389888   14.0712042830
 138.1090999365   18.4853726637
  70.7914420217    2.3152769548
  98.4240723509   30.8701981722
  90.2934121113  -13.7687422608
  55.5254559686   26.7577471007
 279.2022168284  -72.3554725941
  92.7090136644   23.3675580632
  46.4105522840  -35.8728866906
 240.2776197961  -36.3431597806
 149.5667438364   65.5617840708
 241.0379160554   -0.2457365893
 238.4117820024  -45.3334903054
 110.6958452172   24.5120297839
