            lon             lat
--------------- ---------------
 219.5260649221  -19.6814385892
 285.5593697678   81.9074429928
 256.1637360093   41.6384574698
 211.6074184107   38.5161355230
 146.9186596654   25.5335906451
 114.5210188637    4.3138772307
 292.9667531058  -50.7448750048
 115.3933492050  -18.6076240441
 145.4377462903  -42.3548872041
 168.5950448434   15.4938704203
 129.5721506553  -51.8172032813
 211.0580181962    6.4034426601
 260.3988112393  -21.8825110097
 230.1703727031   25.2549738811
 350.6980773568   46.7870601711
  40.8782952035  -34.2332631924
 184.6683788505  -16.0062230712
 204.2229195129  -32.2601819010
 251.9303442659  -35.8641010734
 142.1459756601  -32.1210462265
 148.1973140536    5.8412104439
 167.8956846412   -0.8929062632
  72.6037196527   34.9467480823
   9.3365144633   10.0788498175
 137.6516395750   57.8920354821
 166.4383077336   -7.5130006826
 300.4376695659  -42.2134758579
 112.2625391329  -29.9245539974
 168.7625768668  -42.7582966228
 309.6285735842   17.5435784542
 294.6003337479  -29.9963225890
 183.6552677282   -9.9011736676
 224.8670400224  -45.2811554285
 229.9136702760    6.0936468084
  35.6473388350   -8.9390112785
 105.7347575089   27.1660222926
 142.7047449540   16.7919337925
 265.2975769508   -6.6739942017
 216.1351877899  -38.5617443950
 151.0213456269  -26.0082905924
 189.0566286030    0.1148030243
 146.8997547616   41.2744446070
  43.0920747258  -73.0608815992
 264.6075885968   10.7902285744
 358.2887326223  -11.5452705556
 257.1288512392   63.3236757181
 131.6044403356   50.4649910661
  47.7701838091   15.8028331185
 127.8225413300  -35.6371693580
 258.4262780566   39.7151970607
  93.2496348719   19.4592573076
 204.0641120355   31.6340236757
 142.3121452956  -55.2373978909
 251.7838307960  -52.9364971817
 147.5300053518   15.0750664850
 234.8895940692   33.8760236871
 103.9114709495   40.2229242403
 150.0433660859   74.9027098239
  12.5773141199  -32.4515962885
 225.1029687808  -40.3158026993
 154.0493846724   71.4591335695
   9.1630772568   -4.0894107444
 108.5700051371   12.0946234385
 331.7863615251    7.1025750510
 298.2197159862    5.8199954252
 100.1417412308  -38.6116644244
 188.2626885879   10.0010855490
 125.4896008484   17.4608770856
 208.5713455353   12.0633963661
 114.9237690784  -10.9834641610
 320.1307445864  -72.9134318993
  52.4849312790    5.6767121074
  74.2759840939   86.2413742429
 162.7169331854   -6.0192733590
 108.5713625251   36.3750210648
 324.5286329965   31.0203530061
 351.9220739948    5.7367688649
 168.2843808215  -45.3981521934
  52.8566953363    6.1083275986
 306.2608905767  -66.2397391468
 286.3168330821  -56.2700701646
 121.0270142263   29.6348289716
 319.8666047247   48.3820736659
 178.1632302113   10.9998486404
  56.9030502004   77.1333553812
  55.1990717925    6.8790960768
 332.6175134428   23.4256312193
  18.9113408108   46.3205026458
  44.7509348364  -33.7168976982
   1.8237391471   34.3513216937
 129.8732843749  -60.9829796772
 163.5527343882  -43.5783121101
 198.6165381271  -48.4565530968
 201.1454507347   17.0810978113
 248.2019154658   20.9907882308
 272.0215990233  -66.2987465037
  11.8325563587    4.4927348145
 187.5892183037  -29.8806906882
 229.0643219357  -53.9265771699
 260.2828373408   -7.4918210917
 353.5222442020  -11.1662656681
 273.3144407337   74.9897424528
 156.2074614239   14.5099406013
 261.8772722166    8.4641950229
 327.8913043503   -5.5038866607
  65.1142650631    8.1750896599
 115.8719023917  -33.3365737466
 198.7049278181  -34.5663737177
 119.8204324249  -13.7244049932
 128.2080621530   15.7659750874
  53.3309862256  -46.9770111794
 226.7379645354   54.9464215214
 307.9323054358  -70.6723058768
  54.0517220802   31.8843536521
 290.5010300563  -30.9791356126
 283.1566378270  -50.8171281018
 150.8584970116    4.5151347406
  78.3620119010   18.5352692391
  96.8866121537  -37.6391971505
  48.6149462906    4.2068237230
 223.5301252183  -27.8475527927
  81.8815662200   19.6013098439
 267.3954511043    0.2588105885
