            lon             lat
--------------- ---------------
  75.1430701399  -19.5845872607
 172.3108427287   32.5904906569
 143.4466614496    1.2531407290
 116.6192554644   22.8854290527
  59.1280965837   63.2189985123
 345.2523470279   53.5111770845
  18.2316933426  -78.5544373002
 349.4723500548   30.7780692025
  13.1716615957    4.0943657388
  68.3811189466   41.2832331040
   0.5363227112   -2.6292987117
  90.1883201722    3.4630753864
 101.5274721580  -51.6923560051
 116.4573325768    2.3609638894
 207.0047917900    8.1468978720
 297.7437315302  -14.3520836315
  55.8664162737    7.8072713256
  55.8993051319  -16.2486253851
  75.7390032171  -52.2760930162
  13.8593369494   14.6342789368
  38.2647151129   47.2375283155
  53.5302502820   30.1033268126
 257.4702816478   52.4332051003
 243.3501905768   -8.7848169525
 147.8748582267   69.2756020945
  47.5202070983   25.8840594939
 347.9024362068  -88.2219269082
 347.4841093565   19.2477568474
  28.2435857556   -4.0726925854
 185.3144641207  -31.3415078163
 149.6105648356  -78.6127480978
  59.4635222097   12.8799904338
  52.7519134777  -36.6550751748
 102.4367941365  -10.7758890016
 275.0750695876   -1.6516773467
 308.4069872713   72.1620752296
  40.7895660319   59.3454606047
 122.5252070921  -44.0780417593
  56.2661151188  -27.8028404277
  23.6567546705   17.6115174532
  70.7601312233   15.9741525451
  95.8607371060   69.8344175621
 334.4880727355  -34.8177372186
 133.8987826763  -29.1293332288
 252.3042414570  -31.5636655783
 155.7888738854   19.2649943324
 139.9698432179   77.1907463638
 263.5800798648   23.4715988761
   1.1307886710   13.5881064332
 143.9192663031   -1.2804137209
 299.1112028760   58.8697579664
 106.6358237925   24.1414812523
   7.2526949170   -7.5343808585
  47.0780126419  -55.3245298674
  45.8182057697   55.2086135161
 125.4659876834    5.5799901175
 260.4829650343   77.6353612453
 162.2799558586   52.9595896221
 281.5333193424  -32.8214257531
  58.3826305981  -34.7113951580
 156.8604712854   54.6808078936
 253.9309320596  -18.5514442796
 331.7006334322   59.8690012460
 213.7451601919  -34.2450013515
 172.0634445533  -43.6975259844
 339.0226922378    8.8519429447
  78.1043891853   23.0835594959
   7.6093822377   66.5551326720
  92.9619572990    8.9819089264
 348.1739130820   38.3407528607
