            lon             lat
--------------- ---------------
 335.2148114789   36.7853428835
 114.6617548116   26.3435617826
  67.0442841455   37.1080196780
  75.0458784621   70.6997327642
 204.8887502139   48.7724143638
 215.0025053467   12.1094439348
 347.8961682954  -26.5947517114
 235.7762236493    1.9940493208
 270.2084653877    7.9192134575
 235.4443842954   64.4891256482
 269.8492521193   -6.3818908891
 346.5812846896   63.2760527210
   3.6629302247    8.6483625504
  39.2259374737   56.8062458564
 108.1105206622  -13.5023590452
 237.4498476998  -65.1213321952
 291.9037914021   46.2420551349
 314.5102473553   29.8284751789
 347.9075039624    6.2162604305
 261.1012502823   13.5369022765
 231.7325691565   42.3692409334
 258.5613995335   53.0396058386
 168.9703164912   -6.3794171067
 117.5265479435  -52.7642562317
 159.0004582652   40.7484435690
 263.0335927939   46.8991137570
 358.4911618603  -30.0827124363
 244.3410969363   -5.9447517830
 285.2561817609   16.7465427693
  62.1081247749  -14.0358877493
  10.2864762989  -22.3577170023
 288.4364323721   51.9968852252
 325.9473180779   12.1772111476
   9.5757415192   49.2703805140
 177.6454148996  -62.0906348446
 190.0805975075   14.0794438792
 215.1862093494   42.4319974377
  19.3654855180   12.6039850571
 322.8083125518   21.0165099838
 262.6977453933   23.2899709380
 294.7548099460   62.8566011400
 180.7185666307   49.6979109045
 292.5353022145  -41.2130937706
  35.2509857461   21.2779903580
  78.7424671783  -69.2058920667
  93.9776533676   35.4974917237
 169.2014762635   38.3444273646
 165.9659548208  -35.5845617920
 256.0537831219    2.2000160923
  64.9164479680   35.1868937316
 191.9621302694    0.4045576146
  62.3230208003   79.3882695128
 277.4281468920   -2.9546586283
 334.7923686221   -4.7392616801
 219.8734526237   46.0676621060
  55.0130446687   53.5809516766
 176.9115871596   17.5967203936
 136.6325647429   37.4090264832
 308.4846644432  -84.5034817783
 328.5929523724   16.4335252013
 138.9842472682   40.5472006712
 113.6253732377  -66.8037299255
 205.2411531895   10.2415381041
  68.0573370352  -37.4416414029
  45.9058235577  -10.6584079218
 248.2618935816  -18.6181050253
 287.6650529955   72.4174901414
 207.0486833604   27.3641051008
 350.8850695759   69.1999092987
 228.8806027815    5.3092600169
 320.6036850489  -36.2427394938
 178.9846091100  -39.8490315253
 127.3272228782   25.1157183275
 257.4842863527   45.7941989149
 182.0521285731   19.7051911714
  81.7924152422  -15.7470013465
  88.4829169853  -51.3882685968
 285.9815425984   14.1778623236
 178.8971267650  -39.2846769153
 330.1686484397  -33.7981663342
 341.0156512023  -23.8810806379
 192.5732772861   27.5462739510
  91.5337818563   -0.8595901968
 259.4481719221   68.7074487840
 132.9830952712   17.3939016759
 180.1535092891  -37.0407751215
  82.0719517485  -26.1966690948
 127.8591836121  -16.5163280693
 235.3740670962  -62.0024032374
 113.1618749816  -27.7464160525
 277.4426381716  -11.6583856763
 282.0322836498   14.4092151198
 307.4515645671   14.4072778479
 342.2210263909   77.6299160361
  39.4218562874   39.7003507072
 328.5563900613  -20.2663533830
 121.2324636242  -58.5072672652
 297.9787929737   32.8980332788
 323.9477015189    3.3369284352
  16.0403176659   16.4871497357
  70.5438346797  -65.7164549719
 106.8063900913   28.5184674128
 226.0899962662   53.4637529477
  31.7413262212   22.7157206176
  51.9040596951  -41.9328751063
 186.3540771905  -28.5991419612
 248.8255058327   -4.8728438021
 308.9097970484   28.2314894473
 233.6587971076    8.1150738539
 209.9462846724   29.1372872412
 256.9980796939  -52.7485298648
  91.8785885491   52.8995478614
 324.8058631382  -33.4918800849
 159.8323511932  -19.3970597858
   8.0149929242  -19.3679140706
 346.1445497574  -20.6072033030
 235.2219965853   43.8854695268
 185.4001609934  -12.1033532639
 246.3849461162  -20.7105188140
 176.8592873913  -43.6588608690
 334.1126008516   27.8851262078
 186.3618408185   -8.7408284573
  26.6489368467   14.0981313024
 205.0988570431  -53.2645922296
 222.0950933822   10.0446291123
 339.6709777374  -36.6656922882
 150.2012338856   11.9136246151
  95.9545444279   22.6283731984
  35.9027420150   51.2596631156
 175.5546796117   23.4044785676
 168.0260934424   60.7408344315
  11.3362037160  -18.4054650542
 250.5043892413   16.1905688751
 258.6125161507   25.3365896455
 263.5540379174  -33.2564288723
 149.9193267223   38.4072858403
   6.0536757970  -38.9385120068
 327.9547422135  -28.9468180880
 284.9143907265  -19.8122092469
  60.2881806110   36.2161762711
 113.2835236537    8.8086346722
 220.5387098728   13.1468424301
 131.3000910115  -69.4982153490
  57.3752263823   67.5284070099
  64.5537478209   18.5418360995
 312.5946821278   67.2288463353
 104.8742657308  -36.6907407610
 211.2904065477    5.8542237102
 164.0294237127  -32.4826360274
 148.5456493469  -39.2609493940
 318.6338329178  -52.7119358882
 250.3585789696  -52.7321397209
 100.8992037761  -45.6763027448
  23.8060148084  -16.5006330079
  72.0375823777  -22.0898617536
 336.0824778054  -17.3163482384
 308.2911064247  -15.5485275708
 344.4211702837  -44.6676440049
  19.4583167515    4.1576139733
 209.0250131994   59.1318173043
 173.7348255635   74.2931192998
   8.3812316335  -62.1720401760
 135.0204006493  -32.1141406074
 149.8423033344   42.1646543231
 217.8401049165   50.5443646211
 242.6262384912  -32.4005247571
 302.7971980564  -34.9525264376
 282.2879462019  -74.9629653524
 144.9226072007   10.2856833684
 286.3819036604   47.3197059780
 322.0266129354   39.0024321936
  95.4772537696   50.8223393097
 356.7394797312   35.1883374858
 307.8921205533  -15.3109036727
 263.5965307828   53.6579842404
 128.3277890595  -55.4146962230
 318.5496507198   22.2340299270
 313.1554129583  -13.4933152224
 344.6723345116   30.7331741449
   0.6802439301   27.6447369971
   6.6533409930   62.2882850193
 113.6595653471  -10.3174266044
 358.9561442766  -13.4054182598
  54.1591843653  -16.1310234878
  60.7083423956  -37.7534714567
 273.8094394552  -16.5684990807
  25.5620058904  -42.4683200533
 254.7524233509  -27.8150701403
 169.4774961135  -50.3293374678
   4.2497406261  -71.7522461729
 279.1868376932   54.8884939637
 286.2802420194   45.6242146577
  54.5965353801   26.2379457030
   9.1213130836  -50.8396549528
 275.1147230341  -25.2604490419
  80.9221297307  -41.0869820561
  93.6327979465  -78.7144289175
 165.1729138187   38.9770615880
  90.8448020294   39.6317421197
 205.2729533361  -23.2702728044
 306.1718447117  -70.1845003379
 136.7026238713  -15.7687492875
 156.2407025773  -37.7468559706
 300.3971154585   -3.1189731039
 134.5096265035   52.4961689612
  15.2227802590  -13.2890426538
 200.4393099551  -50.8795282727
 163.1062135948   11.4627178896
 261.7697187366   -4.2959000280
 136.8332295700  -14.6187377863
 303.5881966868  -52.8759663428
 169.6661472515   54.2992414002
 203.0628141590   50.0829646333
 238.8084435981  -29.8904900117
 166.9060839046  -65.7321936952
 224.9152464256   50.0766195044
  80.2611344481  -43.0654323380
 264.4020445836   14.0712095400
 138.1091054842   18.4853670909
  70.7914485537    2.3152725642
  98.4240797222   30.8701923317
  90.2934178590  -13.7687478036
  55.5254649611   26.7577439727
 279.2022282568  -72.3554667305
  92.7090210033   23.3675524200
  46.4105545649  -35.8728889537
 240.2776297920  -36.3431562314
 149.5667425220   65.5617790904
