Tool 1     Tool 2     System 1   System 2         Median         Mean          Max     Std.Dev.
----------------------------------------------------------------------------------------------
astropy    kapteyn    fk5        fk4            0.000082     0.000075     0.000102     0.000022
astropy    pyast      fk5        fk4            0.000082     0.000075     0.000102     0.000022
astropy    pyephem    fk5        fk4            0.000169     0.000154     0.000194     0.000043
astropy    pyslalib   fk5        fk4            0.000082     0.000075     0.000102     0.000022
kapteyn    pyast      fk5        fk4            0.000001     0.000001     0.000002     0.000000
kapteyn    pyephem    fk5        fk4            0.000157     0.000160     0.000283     0.000071
kapteyn    pyslalib   fk5        fk4            0.000001     0.000001     0.000002     0.000000
pyast      pyephem    fk5        fk4            0.000157     0.000160     0.000283     0.000071
pyast      pyslalib   fk5        fk4            0.000000     0.000000     0.000000     0.000000
pyephem    pyslalib   fk5        fk4            0.000157     0.000160     0.000283     0.000071
astrolib   astropy    fk5        fk4            0.000082     0.000075     0.000102     0.000022
astrolib   kapteyn    fk5        fk4            0.000001     0.000001     0.000002     0.000000
astrolib   pyast      fk5        fk4            0.000000     0.000000     0.000000     0.000000
astrolib   pyephem    fk5        fk4            0.000157     0.000160     0.000283     0.000071
astrolib   pyslalib   fk5        fk4            0.000000     0.000000     0.000000     0.000000
astropy    kapteyn    fk5        icrs           0.000000     0.000000     0.000000     0.000000
astropy    pyast      fk5        icrs           0.000000     0.000000     0.000000     0.000000
astropy    pyslalib   fk5        icrs           0.000000     0.000000     0.000000     0.000000
kapteyn    pyast      fk5        icrs           0.000000     0.000000     0.000000     0.000000
kapteyn    pyslalib   fk5        icrs           0.000000     0.000000     0.000000     0.000000
pyast      pyslalib   fk5        icrs           0.000000     0.000000     0.000000     0.000000
astropy    kapteyn    fk5        galactic       0.349018     0.315269     0.403352     0.091704
astropy    pyast      fk5        galactic       0.349473     0.315815     0.404028     0.091816
astropy    pyephem    fk5        galactic       0.350211     0.315151     0.403089     0.091718
astropy    pyslalib   fk5        galactic       0.349473     0.315815     0.404028     0.091816
kapteyn    pyast      fk5        galactic       0.001235     0.001110     0.001414     0.000319
kapteyn    pyephem    fk5        galactic       0.007901     0.007152     0.009162     0.002086
kapteyn    pyslalib   fk5        galactic       0.001235     0.001110     0.001414     0.000319
pyast      pyephem    fk5        galactic       0.008617     0.007782     0.009988     0.002287
pyast      pyslalib   fk5        galactic       0.000000     0.000000     0.000000     0.000000
pyephem    pyslalib   fk5        galactic       0.008617     0.007782     0.009988     0.002287
astrolib   astropy    fk5        galactic       0.236550     0.215741     0.279218     0.062711
astrolib   kapteyn    fk5        galactic       0.217646     0.196028     0.248968     0.055728
astrolib   pyast      fk5        galactic       0.217783     0.196115     0.249066     0.055749
astrolib   pyephem    fk5        galactic       0.222743     0.200759     0.254952     0.057060
astrolib   pyslalib   fk5        galactic       0.217783     0.196115     0.249066     0.055749
kapteyn    pyast      fk5        ecliptic       0.036442     0.033079     0.041557     0.008934
kapteyn    pyephem    fk5        ecliptic       0.000524     0.000472     0.000601     0.000136
kapteyn    pyslalib   fk5        ecliptic       0.059455     0.053652     0.068848     0.015781
pyast      pyephem    fk5        ecliptic       0.036900     0.033479     0.042067     0.009054
pyast      pyslalib   fk5        ecliptic       0.075274     0.068358     0.086278     0.018900
pyephem    pyslalib   fk5        ecliptic       0.059412     0.053642     0.068845     0.015776
astrolib   kapteyn    fk5        ecliptic       5.267005     4.746177     6.040898     1.368954
astrolib   pyast      fk5        ecliptic       5.237257     4.718239     6.005755     1.361152
astrolib   pyephem    fk5        ecliptic       5.267529     4.746649     6.041499     1.369090
astrolib   pyslalib   fk5        ecliptic       5.288864     4.748203     6.041929     1.368455
astropy    kapteyn    fk4        fk5            0.303061     0.309964     0.583000     0.153905
astropy    pyast      fk4        fk5            0.303020     0.310458     0.582117     0.152985
astropy    pyephem    fk4        fk5            0.477914     0.431380     0.548609     0.121299
astropy    pyslalib   fk4        fk5            0.296480     0.270494     0.368485     0.078633
kapteyn    pyast      fk4        fk5            0.004460     0.004223     0.006199     0.001325
kapteyn    pyephem    fk4        fk5            0.564669     0.574735     1.020198     0.254926
kapteyn    pyslalib   fk4        fk5            0.217494     0.195931     0.248217     0.055696
pyast      pyephem    fk4        fk5            0.565967     0.575010     1.019607     0.254424
pyast      pyslalib   fk4        fk5            0.217934     0.196144     0.249062     0.055751
pyephem    pyslalib   fk4        fk5            0.463515     0.462427     0.866987     0.232047
astrolib   astropy    fk4        fk5            0.303019     0.310458     0.582113     0.152985
astrolib   kapteyn    fk4        fk5            0.004454     0.004216     0.006189     0.001323
astrolib   pyast      fk4        fk5            0.000009     0.000009     0.000014     0.000002
astrolib   pyephem    fk4        fk5            0.565964     0.575010     1.019603     0.254424
astrolib   pyslalib   fk4        fk5            0.217938     0.196143     0.249057     0.055751
astropy    kapteyn    fk4        icrs           0.303061     0.309964     0.583000     0.153905
astropy    pyast      fk4        icrs           0.303020     0.310458     0.582117     0.152985
astropy    pyslalib   fk4        icrs           0.296480     0.270494     0.368485     0.078633
kapteyn    pyast      fk4        icrs           0.004460     0.004223     0.006199     0.001325
kapteyn    pyslalib   fk4        icrs           0.217494     0.195931     0.248217     0.055696
pyast      pyslalib   fk4        icrs           0.217934     0.196144     0.249062     0.055751
astropy    kapteyn    fk4        galactic       0.297064     0.270353     0.342887     0.076601
astropy    pyast      fk4        galactic       0.305011     0.309454     0.586294     0.156881
astropy    pyephem    fk4        galactic       0.452828     0.408333     0.518495     0.114098
astropy    pyslalib   fk4        galactic       0.297058     0.270356     0.342899     0.076602
kapteyn    pyast      fk4        galactic       0.217934     0.196145     0.249065     0.055752
kapteyn    pyephem    fk4        galactic       0.459492     0.458129     0.860146     0.230674
kapteyn    pyslalib   fk4        galactic       0.000009     0.000009     0.000017     0.000004
pyast      pyephem    fk4        galactic       0.563261     0.569953     1.012050     0.253002
pyast      pyslalib   fk4        galactic       0.217934     0.196144     0.249062     0.055751
pyephem    pyslalib   fk4        galactic       0.459495     0.458133     0.860158     0.230677
astrolib   astropy    fk4        galactic       0.297069     0.270357     0.342892     0.076602
astrolib   kapteyn    fk4        galactic       0.000004     0.000004     0.000005     0.000001
astrolib   pyast      fk4        galactic       0.217933     0.196145     0.249069     0.055752
astrolib   pyephem    fk4        galactic       0.459495     0.458131     0.860151     0.230676
astrolib   pyslalib   fk4        galactic       0.000010     0.000009     0.000015     0.000003
kapteyn    pyast      fk4        ecliptic       0.240140     0.215617     0.273277     0.060939
