             az             alt
--------------- ---------------
 307.6469225620   -1.8109291498
  61.3473281907   50.5532186625
 343.8074598372   62.7959284304
 359.1996181196   30.4210600411
  31.6659426167  -15.1201331724
  61.0690131439  -43.1200233654
 243.0902636253   -3.2944632898
  57.6661911473  -65.9786116063
 322.3954021526  -66.2879379906
   8.4888798842  -12.8004845563
 307.5860505503   -1.3852451584
  61.5991718385   50.0699160800
 344.7846489695   62.9340657489
 359.4681795993   30.4177184739
  31.4892506579  -15.4136532781
  60.7755821395  -43.6008468018
 243.0515488978   -2.8042670982
  56.9659448592  -66.4423807066
 321.3621884742  -65.9592146747
   8.3149214036  -12.8896490046
 307.7304729997   -1.7310402035
  61.4748466468   50.4314899104
 344.1395116605   62.8024074873
 359.3586117518   30.3940099367
  31.7282166766  -15.2091158213
  61.1232761404  -43.2415600077
 243.1785370607   -3.1717652751
  57.6590541291  -66.0978696594
 322.2208073067  -66.2353398376
   8.5487206179  -12.8469945934
 307.6684198633   -1.3072087739
  61.7210283843   49.9482639235
 345.1150861616   62.9364565977
 359.6245148166   30.3883919218
  31.5495795829  -15.5031868618
  60.8287601449  -43.7220060026
 243.1375709491   -2.6818648989
  56.9562104563  -66.5610577507
 321.1915526561  -65.9066108643
   8.3729638899  -12.9373035145
 307.8143102603   -1.6515977139
  61.6023103044   50.3110953244
 344.4692644871   62.8087448811
 359.5169437032   30.3675298090
  31.7906025823  -15.2968278580
  61.1773618852  -43.3617135224
 243.2668642885   -3.0504140455
  57.6510429897  -66.2156937427
 322.0505957104  -66.1823451882
   8.6088023331  -12.8925483606
