            lon             lat
--------------- ---------------
  74.9708256117  -19.5155175691
 172.2311112580   32.4056107581
 143.3401678537    1.1135709814
 116.5854087065   22.8193280192
  59.3208931424   63.3339056695
 345.0498847833   53.6889030779
  17.9320333762  -78.3678778878
 349.3300496084   30.9604034965
  13.0641426931    4.2835905939
  68.4200411045   41.3724252692
   0.4280045279   -2.4397129075
  90.0906459544    3.4835492380
 101.1779238277  -51.7091169667
 116.3554348870    2.2954745417
 206.8861084410    7.9685586384
 297.6798393139  -14.2825339066
  55.7772751232    7.9309988296
  55.7480565358  -16.1249026139
  75.3997142752  -52.2086144999
  13.7567027075   14.8232178942
  38.2649208271   47.3992150252
  53.5023653789   30.2327850549
 257.1271223237   52.3711356911
 243.2658637177   -8.8886053513
 148.0768422150   69.1261109673
  47.4721233027   26.0274707359
 349.5570267300  -88.0402334818
 347.3532850517   19.4280648592
  28.1294651896   -3.8958497916
 185.2031592405  -31.5320452598
 148.9275133962  -78.7648696926
  59.3893645178   12.9943605635
  52.5403912300  -36.5235083036
 102.2915182535  -10.7959981881
 274.9713960461   -1.6559464295
 307.7929428358   72.2624784783
  40.8631731411   59.5024778461
 122.2500472129  -44.1618232124
  56.0803131713  -27.6800042333
  23.5656734966   17.7934617934
  70.7002971377   16.0564252938
  96.2704871522   69.8352202729
 334.4486047431  -34.6558410555
 133.7051503107  -29.2453315294
 252.3021776261  -31.6411883182
 155.7134052245   19.1008882926
 140.4613234086   77.0585823395
 263.3903005284   23.4293080703
   1.0173829523   13.7778819787
 143.8070599051   -1.4210425980
 298.7103102758   58.9430051599
 106.6106137235   24.1073537319
   7.1431337418   -7.3438342047
  46.7899542420  -55.1798943531
  45.8841388418   55.3555685054
 125.3729439989    5.4872729764
 259.5412412427   77.5818897201
 162.2732904533   52.7855364971
 281.5465065770  -32.8040444293
  58.1697001220  -34.5939881354
 156.8830697652   54.5148382579
 253.8810100648  -18.6240674506
 331.4036929422   60.0255736156
 213.6959048603  -34.4141708857
 171.9090838043  -43.8821737048
 338.8997522768    9.0212168171
  78.0724752908   23.1431396683
   7.5098588525   66.7456569811
  92.8828715969    8.9931596080
 348.0174814865   38.5217772551
 344.3442314660  -55.9490728909
 275.0087816062   20.6004551065
 178.3283682288   42.8190033280
  45.1578994688   29.4470643072
