            lon             lat
--------------- ---------------
 334.6617841532   36.5332374633
 113.8951932525   26.4579985148
  66.2107624197   36.9976272253
  73.6416825940   70.6246573895
 204.3810111068   49.0253510548
 214.3960880215   12.3382589214
 347.2252231916  -26.8666126819
 235.1437487093    2.1518531045
 269.6063835080    7.9196476885
 235.2851581746   64.6472570212
 269.1773246851   -6.3795371181
 346.0704092873   63.0056657662
   3.0197800660    8.3704938220
  38.3199602995   56.5893045592
 107.5333307736  -13.4171689711
 236.3080084778  -64.9691854178
 291.5325128892   46.1390564694
 313.9833214306   29.6342723999
 347.2731281893    5.9444157831
 260.5267193522   13.5813173621
 231.2911166639   42.5424132033
 258.2833019222   53.0954301220
 168.3356357133   -6.1065076833
 117.2104771869  -52.6362760156
 158.2720554088   41.0076087967
 262.6880668629   46.9336744646
 357.8452477430  -30.3609717839
 243.6745293964   -5.8227725136
 284.6961003764   16.6746020195
  61.5291276703  -14.1673603610
   9.6657353721  -22.6318993881
 288.1332823219   51.9095545612
 325.3401067391   11.9474255222
   8.8834226627   48.9957031334
 177.0290182231  -61.8125100618
 189.4518553864   14.3537259497
 214.6917629038   42.6601093173
  18.7047085529   12.3408712113
 322.2322226667   20.7956332122
 262.1758199610   23.3265826565
 294.6059977327   62.7403850130
 180.0801912457   49.9761756505
 291.6681805372  -41.3178451921
  34.5486606030   21.0497285422
  78.8220187612  -69.2600752404
  93.1388542307   35.5147726391
 168.5180689872   38.6174705309
 165.3743432392  -35.3148302037
 255.4235146662    2.2685715148
  64.0990724659   35.0671259291
 191.3219520783    0.6771691281
  60.3871700277   79.2548891610
 276.7730041680   -2.9890781978
 334.1413916585   -4.9904418426
 219.4177166610   46.2819230368
  54.0660445907   53.4195245490
 176.2656086946   17.8745396119
 135.8441787176   37.6100201622
 305.4965142983  -84.6710395969
 327.9949949739   16.1967279408
 138.1855353537   40.7559040427
 113.5785191066  -66.6922640826
 204.6218897711   10.4939208010
  67.6144896623  -37.5466856115
  45.3029505067  -10.8531621347
 247.5344819654  -18.5133708608
 287.8584143316   72.3325778638
 206.4731602880   27.6125885272
 350.3627739708   68.9253588253
 228.2595699437    5.4934251227
 319.8318164871  -36.4566898302
 178.3493022854  -39.5707061658
 126.5819449967   25.2830353022
 257.1229301231   45.8553375638
 181.4144775923   19.9833721259
  81.2295329310  -15.7881032774
  88.1907955090  -51.3963646325
 285.4082459000   14.1025541229
 178.2620584498  -39.0063625206
 329.4337184096  -34.0387871551
 340.3338557858  -24.1437873495
 191.9635994446   27.8182128750
  90.8973277159   -0.8536891625
 259.5103435651   68.7582329491
 132.2779491907   17.5823989402
 179.5134289734  -36.7623792572
  81.5670123572  -26.2362928904
 127.2836260752  -16.3465977260
 234.3066269622  -61.8420602190
 112.6558360553  -27.6380586559
 276.7447542347  -11.6927708089
 281.4613512054   14.3525343621
 306.8674071691   14.2391439191
 341.9660401366   77.3651271376
  38.6362371736   39.4841724458
 327.8611230339  -20.5029760102
 120.9798508266  -58.3634379570
 297.4969470926   32.7684854887
 323.3162221231    3.1127882153
  15.3775014546   16.2192181431
  70.4862027250  -65.8093455503
 106.0204690506   28.5971128040
 225.7199583502   53.6573709528
  31.0403089841   22.4781422305
  51.4602056707  -42.1055088463
 185.6975374623  -28.3222947879
 248.1628719484   -4.7708107510
 308.3852847498   28.0576625268
 233.0502004125    8.2811874164
 209.3827202399   29.3791010228
 256.0017325024  -52.6835275577
  90.8700589440   52.9062369710
 324.0574816892  -33.7183400425
 159.2257216029  -19.1362692373
   7.3874925881  -19.6437900933
 345.4779604770  -20.8770989283
 234.8011507997   44.0450202078
 184.7542424792  -11.8260864512
 245.6482898464  -20.5973706185
 176.2345292097  -43.3809609828
 333.5364532904   27.6353490229
 185.7167107636   -8.4640199100
  25.9775495662   13.8486407949
 204.3029729210  -53.0116454813
 221.4875408313   10.2521334217
 338.9566628431  -36.9261512841
 149.5308020885   12.1543345392
  95.1983836444   22.6554223446
  35.0615257811   51.0330699005
 174.9039158313   23.6818186565
 167.2786329968   61.0126650911
  10.7133497507  -18.6787130175
 249.9398811551   16.2847287367
 258.1009558055   25.3927372138
 262.7321039234  -33.2231917967
 149.1663625866   38.6471764133
   5.4355824507  -39.2155274018
 327.2310521649  -29.1818595561
 284.1763317619  -19.8821294488
  59.4716909054   36.0765317054
 112.6029396835    8.9171334374
 219.9403051258   13.3592895853
 131.2164922472  -69.3146106094
  56.1738733290   67.3759509036
  63.8293649041   18.4206679260
 312.4402708139   67.0407709533
 104.4340750742  -36.6203219492
 210.6646579573    6.0928508373
 163.4381460817  -32.2153909605
 148.0241185055  -39.0241266266
 317.7483970676  -52.9194626002
 249.3748733165  -52.6363001697
 100.5384030160  -45.6245349914
  23.1984786951  -16.7559230665
  71.5044962840  -22.1769542919
 335.4057829904  -17.5701565110
 307.5888784252  -15.7196890610
 343.7045026669  -44.9353596366
  18.8111985947    3.8946445711
 208.6098088941   59.3756109876
 172.9786683898   74.5695100671
   7.8152372256  -62.4476994031
 134.5033592927  -31.9181144497
 149.0730452066   42.4043318383
 217.4066051054   50.7647541174
 241.8295324318  -32.2708055223
 301.9916463482  -35.1016802382
 280.6294231601  -75.0182711310
 144.2523700522   10.5125203709
 286.0305179158   47.2420155303
 321.5247431684   38.7837924092
  94.4962797854   50.8465429483
 356.1109125658   34.9105766549
 307.1905496523  -15.4805333377
 263.3317741025   53.6896340780
 128.0036164988  -55.2426597618
 317.9842093165   22.0263219921
 312.4652667912  -13.6824963685
 344.0759114201   30.4651481707
   0.0386031239   27.3664302081
   5.9547578910   62.0117002825
 113.0652142809  -10.2070491939
 358.3138178194  -13.6837169433
  53.5839155290  -16.2951606552
  60.2557602162  -37.8906534306
 273.0859262662  -16.5852469262
  25.0306790671  -42.7200437171
 253.9704294531  -27.7400278215
 168.8994891832  -50.0558673721
   3.6677689508  -72.0300215059
 278.9365865972   54.8446415377
 285.9123575817   45.5470366573
  53.8449936727   26.0752326377
   8.5333083268  -51.1147839849
 274.3429501680  -25.2834034441
  80.5212613730  -41.1318840769
  94.3827873288  -78.6949822929
 164.4730184362   39.2456426643
  89.9736822056   39.6337403033
 204.5820732292  -23.0178285130
 304.8994755771  -70.3463242922
 136.1158263478  -15.5671365347
 155.6874324884  -37.4926009887
 299.7428971287   -3.2584556669
 133.6074930899   52.6896888537
  14.5991729759  -13.5580465156
 199.6817212112  -50.6180015393
 162.4486419868   11.7285618456
 261.1083450112   -4.2544750333
 136.2421810952  -14.4166962349
 302.6384932268  -53.0280644160
 168.9532902747   54.5726831871
 202.5516354103   50.3394714226
 238.0317528694  -29.7447014126
 166.4070554803  -65.4612838284
 224.5093008912   50.2743581749
  79.8770241050  -43.1134617656
 263.8307164512   14.0997229350
 137.4055463674   18.6914069104
  70.1404285112    2.2222001177
  97.6185915035   30.9090342224
  89.7210129715  -13.7687205899
  54.7700534202   26.5987057354
 277.6945215889  -72.3963645660
  91.9482162790   23.3788651354
  45.9156235796  -36.0657244133
 239.4601651854  -36.2034040952
 148.6097827339   65.8005267474
 240.3963895475   -0.1095990307
 237.5328546609  -45.1858338248
 109.9359552897   24.6086561312
  72.4407212168  -11.2014689315
  79.9297585494   10.3200450639
  43.1895048359   -3.9047181575
  13.3723514168    9.4549729674
  12.2873759199  -64.0654003977
  82.9787540613  -44.8974020404
  82.2073282433   -4.8625355731
 224.9678209712   31.1188909760
 321.3220197520   13.4640708789
 280.7020801896   25.7613757690
 259.7224485497  -27.3331149173
 111.7591709979  -19.6086555642
 130.7100232970   -8.5594814043
  70.5894274164   63.3567288412
 336.7770425631  -21.7869881856
 202.2242364300   24.1869709860
 294.2249468272  -68.1539961140
 125.6090263868  -18.6645480872
 287.8971295524   61.4147507211
  37.4776000934    0.5350423015
 256.3632543718   18.8972520754
 330.2814538346  -25.1564407104
 289.2907267849   38.1428170290
 117.7607270966   66.8440240290
  91.8385784621   -6.9938434301
 178.2007734995  -28.1022778296
 148.8999374878    5.2000462973
 152.9773513458   42.0148723207
  26.7761956300  -63.6210781838
 217.2206226377  -42.6612563696
 268.9918917715  -66.1746560020
 287.1274299081  -81.5907008272
 137.3401811708  -14.0224142536
 286.9769312227   72.6268686476
 169.8470422789  -41.5082965056
 259.7036966716   22.2344651769
  68.1165613024    6.1570490652
 156.4544471758  -24.3887133654
 296.4485131728  -54.1464474247
 297.4581410622  -77.6074936704
  68.2291680108   -4.1423147529
   7.2367613866   66.7535676056
 253.2568932558    9.0157570833
 125.0172361435  -23.8100339390
 151.0213679578    7.5481514148
 276.5119994177   18.6174045914
 346.6360963775   13.2741288178
 321.3235042083   -1.5947607830
  48.5792320776  -76.0994293777
 287.2096904214  -38.2681195856
 245.5526181426   51.5973183355
 190.8190324166   -5.6669589080
 311.7533904475  -27.4960161167
 271.1693084492   11.3195436205
  33.5529242823    5.8160196512
 118.5981900172   63.2673421935
 148.4505714285   65.2867732165
   0.3472513887   10.6864777196
 215.1228711392  -41.1683825785
 245.7221462968  -28.5643479305
 131.8610629639  -69.4988413155
 142.7395819563   -7.0794333652
 171.1292802330  -48.7822216669
 209.1887597167   17.2587590127
  49.3694133241  -84.1302397089
 359.7890982369  -21.2947996078
 182.6377874258  -13.7057618382
 177.5040049526  -23.2266661004
  67.2749073276  -22.8102147787
