            lon             lat
--------------- ---------------
 223.2695346042   -4.0491688981
  82.0178079566   74.2135400520
 245.9981220490   63.9309953043
 190.9110441525   47.2623090330
 140.4919611499   11.5101453027
 115.6347632016  -16.9709376953
 286.3288958171  -28.5982474221
 121.6754820304  -39.2965912938
 169.1478077979  -51.7104223625
 163.4245350076    9.7462687885
 162.4538015535  -65.6056994474
 206.5804922825   17.8347461403
 261.0903711186    1.2620177616
 218.9011187365   41.8921339469
  15.5742685793   45.4543980175
  23.5596119599  -47.0018667272
 190.7217248616  -12.8185166475
 214.5281481419  -20.5910177568
 255.0235637233  -13.3577798751
 158.3555213532  -43.9932318477
 148.3297877557   -6.6139445053
 169.2149266591   -5.6069318676
  75.4652320612   12.3793291638
  12.5400602174    5.5675778429
 120.5497605663   39.3984307039
 170.4961528231  -12.2654456858
 293.7357797262  -21.2488161075
 121.4187574669  -50.9646642419
 190.9052396544  -42.8276945847
 317.6709920323   34.6588754955
 291.3669160361   -8.3624969049
 187.3009494584   -7.6299751508
 235.9508180936  -27.0303598538
 225.6785449656   23.5795713693
  30.1523689800  -21.8131459496
 104.0013887051    4.4869801007
 139.6414650070    1.9653434668
 265.1198138813   16.6873163442
 226.7334314635  -22.8602559305
 164.0226170867  -35.1362955324
 188.2709595585    3.6956548008
 134.5723826422   26.2286712054
 317.0654753332  -73.1066888374
 263.5944401745   34.1113457514
 353.7919796714   -9.9032838979
 204.7392574880   83.6779337025
 119.6132860123   31.2143582264
  49.6752106357   -1.9237350896
 144.3644525403  -52.1805105886
 250.5538328245   62.3770697160
  93.0672453353   -3.9469815497
 188.0407207846   38.2659001054
 180.8834418282  -63.1750660973
 257.3932590116  -30.2897137956
 144.5900686192    1.8570571041
 220.0458306574   51.4050329438
 101.0823682211   17.3159669754
 114.1418068868   56.5187957286
 356.8778647714  -34.4301044938
 234.4391248863  -22.2555806099
 119.5224681023   54.5378057710
   6.7927270452   -7.3895421741
 108.4390611768  -10.1651423795
 336.4401389465   17.4614364186
 301.6207508588   26.2154632003
 106.7359065432  -61.4644521960
 183.5637556727   12.4527600951
 123.6461683804   -1.9302692160
 201.9367898221   22.1971510535
 119.1705084932  -31.9344333636
 292.1794338833  -53.3263686752
  51.5578141745  -12.8991117196
  87.7593808147   62.9230740300
 166.4173446801  -12.3416937950
 105.3145987428   13.9166010631
 340.1970932875   42.1165432486
 354.8618554596    8.4721071539
 192.4959830794  -45.2317464937
  52.0345995721  -12.5723586880
 289.7897743247  -45.2729732810
 280.7708415131  -33.4379313364
 116.9756480718    9.0540067668
 349.3585313620   58.8915202096
 173.9008525037    9.3545468301
  77.7232939304   55.1071670790
  54.5378829557  -12.3809364223
 344.2948143561   32.1832414629
  37.0367961696   35.0636623322
  28.1748804577  -47.9219789974
  16.7603143689   30.4805217899
 181.1601428954  -71.8781839620
 187.0554903069  -45.5652254581
 218.0497170780  -37.0466180411
 192.6109400977   23.9949670492
 242.0253000531   42.3379398618
 271.1046523498  -42.8656480284
  12.6301133333   -0.5415553703
 199.4304527220  -24.3007509188
 242.1281769408  -34.3749616521
 259.9899479726   15.6121470721
 349.6146574590   -7.6802783120
  84.1802180265   81.5022947732
 152.6560313651    4.2728046177
 260.5480893007   31.6390382104
 328.1568500018    7.0346927307
  64.6762203073  -13.1049823867
 127.7325507580  -53.4404523341
 210.9598551619  -24.5498170035
 125.4314202357  -33.5693900753
 126.5830799387   -2.9541503189
  27.4036690611  -62.6789081037
 188.3907154135   66.5542789364
 288.3047593606  -49.6335301685
  59.3338086012   12.1906218631
 287.6841385957   -8.7885763741
 279.3524359393  -27.8027317809
 151.2956531740   -6.9434912346
  78.9356919891   -4.4598537605
 101.2231496729  -60.8119412716
  47.3430815795  -13.3181349074
 229.2675511307  -10.7379520367
  82.3356477011   -3.6239292660
 267.1520930609   23.6739777483
  43.6244409735  -33.8990623629
 118.4450400168  -23.7364673969
 295.5042159100  -38.1816687630
  82.1007922950   37.8344660161
 351.3105096848   82.7657972424
 226.4630091441   40.4209806611
 106.0513692855   20.9654282635
 146.0659338106   34.9235349467
 288.3754482408   -5.5745296392
 147.5048993663  -37.3238548534
 160.4799416024  -32.0792648556
  70.1713729536  -77.8845114474
 116.2922899454   46.0822958002
 305.0075913006  -18.9911067087
 282.4309671647  -46.1111578140
 217.2024724407  -77.8182443336
 248.6761108453   58.5916434629
  39.3240393770   64.1735199621
 120.0055479595  -20.5964379931
  11.9377415141  -12.3292017785
 200.7868241865   45.5447127275
 283.6071224230   58.3177403273
 193.5273042480   10.6115948712
   7.0408297472   23.1397640188
 108.0689424294  -17.5797525532
  51.2140514843    1.2113006147
  37.7957781341    6.0435418862
 319.5616120976  -52.1146737261
  33.2382718677  -59.7997739798
   3.0191072746   14.4695618509
 292.9544890428    5.5685661063
 332.4186399188   32.7697790267
 271.2791544386  -35.1568017084
 250.7623387190  -58.1089542569
 306.1670991866  -36.0117487074
 272.8283474649   12.7139906146
 150.7809721311   15.1060344502
 162.2099864383   32.1909023512
 329.1959584706  -25.5137590790
  33.5499994592   18.4542623685
 121.7103471044   46.3513490991
 147.0021082330    5.8665884474
  76.3008577477  -60.4201853763
 290.5102574318  -67.8202005315
 358.4737996318  -44.7434678825
  76.9256297815   41.5272381973
 186.7102198282  -12.4571457436
 214.0958567470   -9.5356507380
 183.3299174081   68.9175945727
 234.8161775586    9.0702443983
 249.9917309588  -58.3078761036
 172.2952949396   -5.7342201595
  17.4118896405    0.7318686983
 222.5894362305  -24.5202985605
 252.0907314098  -53.0263603016
 232.9428686551   -1.8223034225
 243.1268017400    8.2440358499
 211.4474207288   25.8467467149
  24.4324052627   46.8773789803
 278.1504284151  -13.6464388993
 312.3277902869   28.1371363800
 331.3166186099   14.3448674808
 166.4315111861  -76.4335774776
 315.3996347843   -7.6683770412
  90.5126187417  -70.2782174968
  38.8385391525  -12.3447347727
 339.3768473731  -29.0500024715
 181.4952992624   -5.3153388838
 186.8861095993  -14.1454275338
 265.0912521921   52.4460238237
 317.6228991133  -21.5021752706
 157.7729962715  -85.1246624014
 347.5497488568   17.5550644922
 359.6051870539  -18.5126907206
 119.4429964494   34.4195906654
 206.4420047679   78.8624264392
  77.3609369364  -26.3477796126
 346.5447896800  -46.4359256108
  45.7069681964   30.6212482288
  43.1037352641    2.7987020135
 224.2713959632  -55.4377706611
 140.8541867945   54.5067007086
 285.8305236949    0.2296104678
