            lon             lat
--------------- ---------------
 353.8108176174   43.0746868748
 111.3360484827    4.7716876525
  70.4986366711   15.1547873160
  82.0253685925   47.6376596896
 175.0227421244   53.1655576748
 207.5911571260   24.5551313909
 337.4748331703  -19.6431976110
 232.2386738215   21.1389462355
 269.5395903623   31.3583107975
 171.4740361150   75.7251695354
 269.1409385244   17.0573076539
  29.9800063185   59.4276773789
   6.1042020416    6.4784250431
  56.1947846453   39.0540455158
 111.1150696992  -35.5798282477
 251.0416363477  -43.7315270257
 309.8593938124   66.6230316054
 327.9995031153   44.6230747109
 350.6404438560   10.4966597661
 258.4947685018   36.6431408630
 209.2938196644   58.1071053278
 241.1486771478   75.3602964730
 171.6922687776  -10.2279270865
 147.1688455731  -70.7169743774
 143.5704009433   29.3991595245
 255.2763358840   69.9995991817
 345.0096881183  -26.7971444355
 242.7960118433   15.1652474365
 288.2688853040   39.1862232481
  55.9718827089  -34.3046425512
 359.3107292067  -24.5003993319
 310.4933990589   72.8034953468
 331.9823809490   24.2832974311
  31.2320087475   40.6989416003
 214.8194557438  -54.9262703338
 182.8328861518   16.9019153949
 190.7155448341   52.0195567095
  21.9216150783    4.0987087540
 332.5332910852   33.6068416234
 259.5365316242   46.4821846661
 351.5060484108   78.8824237492
 154.7115609312   44.6637519818
 287.0677010301  -19.1541686879
  39.2649910524    6.8350234477
 322.1917040442  -85.0154664308
  92.6087461390   12.1039481965
 152.9476865812   30.7138323554
 182.9619009765  -37.7578340994
 253.9005891599   24.8970615568
  68.4187088309   13.5478492777
 190.1391538416    5.1020705766
  80.3058467433   56.8163224944
 277.2092193219   20.2807797941
 334.2023351806    5.3374891271
 192.1647841602   56.8946334206
  65.3465019580   33.0119786013
 169.3244503368   14.8891098479
 127.1854319802   19.9020657479
 276.6052672485  -62.0600781845
 336.3827385915   27.2820187255
 127.9794758379   23.4578282348
 191.6361952476  -80.7006096502
 198.7449424214   19.2721414144
  54.9322694079  -58.2916698424
  39.3070888591  -26.7726701591
 248.7148334316    3.2815416010
  50.7637491075   81.5379265316
 192.6474264828   35.6173054241
  41.7037335741   61.6495400850
 224.1483474741   22.5368538761
 310.7833407539  -19.8045809434
 196.8227039473  -36.3912597467
 122.8000887309    5.9135503400
 245.2979969247   68.1934602411
 173.0383020046   18.8308339533
  79.1294294017  -38.8971252222
  85.6850893986  -74.8085772124
 288.7047923447   36.5464488464
 196.4056601674  -35.9333534963
 319.5011898346  -20.2392089921
 332.6463977901  -14.6621518637
