            lon             lat
--------------- ---------------
  92.1793548030  -16.9378610153
 193.3900889117   21.4367004235
 163.7116680957   -8.0612047163
 140.7360048113   17.0439367203
 102.8370233470   66.4358541079
   1.3847256881   64.3772765418
  28.5709564334  -67.7604003210
   8.9473968147   41.8551015638
  34.3370739687   14.8259640602
  99.0629959920   43.9272015920
  21.2080751727    8.5361022820
 111.4343647865    2.7752513701
 107.6637538076  -53.1293276677
 137.0255011326   -3.1515689448
 227.3188867757   -1.5624368049
 320.3048077235   -8.4549234215
  78.3222487193   13.4492397918
  74.2967914090  -10.2726323637
  83.3552547094  -48.8333556380
  35.7208595878   25.3076635322
  68.9807312499   55.0057423577
  80.4458787275   35.7710155531
 264.8291588719   49.2915799554
 265.9887544304  -13.1015399032
 178.0671471150   59.0408700015
  73.1817231310   32.6284211206
  16.3639170917  -77.0541259238
   7.2260913667   30.2681454020
  48.9515830038    5.4943836242
 207.2654553765  -42.3927583117
  96.2851358268  -84.6883165247
  82.8653700686   17.8215222955
  67.5179784664  -29.8746300496
 120.7286624881  -13.5451095560
 295.8761720610   -0.0555072383
 291.1401583753   76.6959738005
  78.8150102908   66.2477924373
 132.7897925687  -49.7689429752
  72.5547967646  -21.7103802508
  46.4649332144   27.5193124008
  94.7970504209   18.7883795693
 142.1429991253   65.5798454383
 357.4435000537  -24.3906867363
 149.3076072467  -36.9641887216
 279.9998141501  -33.7370889402
 177.4155485859    8.7951756723
 177.4224145328   67.2553559910
 279.4957518761   22.3442687698
  22.0586980036   24.7439300405
 163.9106312622  -10.6309654418
 300.9370439986   63.2623429138
 131.4960521399   19.9784451708
  27.8176783504    3.4756524100
  57.7552977068  -47.3880269858
  81.6616832136   61.4611173629
 146.4199287601   -1.4199386714
 242.5449415608   72.4669294466
 185.7328807347   42.0669887791
 308.6205084963  -29.3902932786
  73.0926713842  -28.8347782060
 181.5566050417   44.0366807870
 278.4956558222  -20.7102413195
 339.9289474463   69.4735351914
 240.0888238506  -42.8843324479
 191.4393621185  -54.8332791252
 358.7642917250   19.4704460490
 103.6398240403   24.3405998455
  37.2584864396   77.3897611768
 115.2268825559    7.6536252838
   6.9896679975   49.3697233149
   7.6626913429  -45.1510631472
 291.4962647178   21.7870662535
 198.8489043011   31.8235644307
  71.4671218074   36.3555403026
 247.4886662400   77.6228578578
 218.2609562268  -25.5728945986
 258.8770637272  -29.6171907900
  46.9703806077    3.7091116880
 291.2848210181   22.3205820435
  11.9084962488  -52.8691911502
  32.2062598209  -61.1527950667
 154.1813062191   89.5107664532
 208.4884446978  -10.4631300669
  99.3511715613   33.5915015687
 209.6263059866   34.2317936221
 291.7871343843   24.7285864258
 229.3813417585  -28.9936400821
 239.6713111116   13.3541761101
 321.5140976414   -5.4319511074
 242.1254067534   -4.0956524174
  20.1046036065   -0.5649760407
  45.4542008077    7.2335894582
  57.6403648173  -14.1977815319
 116.3992862481   16.3411911371
 144.2351274921  -18.7358351806
  32.7436832909  -49.0637893639
 272.2024491609  -14.0210041668
  68.6691059658    3.0241456469
  57.9393308827  -33.8750773963
 127.3467191749  -46.2754487884
 276.8811463900  -37.6837547671
 188.5478924378   15.7554709478
  89.1686382647   54.0538848971
 144.8565491278  -36.9195856367
 248.1899689265  -54.9778504377
 296.0466998198   33.9244196923
  11.1543956657   27.2309874204
  69.9761414353   -7.3919454656
  14.4594784920   46.9992561367
  44.5224280653   74.8123939058
 336.2446709436   -7.3522423824
 160.7752923035   15.1545060793
  12.0269490853  -48.3953934795
 264.8541318248   33.5307844389
  92.1019712923  -81.0564129430
  42.1128673065  -64.7702886937
  70.5417418678   52.1905409836
 291.5168639065   50.1058573510
 355.8591080281   19.4887132585
 290.8486926783   17.7061197881
  85.7984455952  -23.5942605478
 292.0724282683   53.5819554910
 142.6138126066  -46.6548863094
 310.3059566150    8.9047080057
   6.7381797542   57.5913376779
   5.7631776631  -60.4265516162
 225.2172415890   47.2682000205
 189.7167575879    4.3978055041
 137.2923424144   -9.0237955455
 222.4981109521   73.9288101625
 142.6039614323   52.4270641725
 113.4793357210  -81.1651164852
  33.9071222472   35.7708058330
  47.3333947761   31.6997034592
 355.0436330403   -0.2297745873
 184.3093714997   52.5445863461
 326.9176320835  -76.8941853958
  19.4469308816  -50.5613580611
  15.9977391925  -10.6362793867
 160.4176939156  -12.4945073660
 209.7071419125   13.2355175473
  10.0624992899   60.5978384467
 284.2285928441  -16.1798936562
 138.7372136223   10.2996507010
 176.4085140791  -22.2115998242
 102.6236324942   14.4532337595
 247.1321047629  -14.3212900162
 345.7385983605   62.4295297478
 276.4059130449   24.3818410647
 269.3881529074   11.7996654158
 344.8957239072  -42.6859601004
 333.7345091984   -4.2039552890
 254.7978784047  -20.3335532065
 168.8268520561  -75.3117794126
 221.3814339633  -36.4420412593
  41.2703981763  -54.7128997707
  29.6483678753  -29.3689858680
