            lon             lat
--------------- ---------------
 353.8146942278   43.0746937419
 111.3399167565    4.7716764219
  70.5025071636   15.1547800558
  82.0292445456   47.6376508225
 175.0265979195   53.1655510014
 207.5950200472   24.5551307348
 337.4786988636  -19.6431884656
 232.2425378360   21.1389503808
 269.5434548670   31.3583205231
 171.4778696518   75.7251623036
 269.1448048014   17.0573173381
  29.9838937105   59.4276775606
   6.1080713316    6.4784298183
  56.1986611151   39.0540406485
 111.1189364314  -35.5798394710
 251.0455127919  -43.7315196827
 309.8632660343   66.6230428550
 328.0033763524   44.6230848488
 350.6443135823   10.4966671252
 258.4986309056   36.6431492732
 209.2976694856   58.1071050098
 241.1525076039   75.3603022112
 171.6961384859  -10.2279342847
 147.1727280991  -70.7169845894
 143.5742665854   29.3991490162
 255.2801816377   69.9996071475
 345.0135522301  -26.7971362591
 242.7998773387   15.1652534551
 288.2727513908   39.1862343614
  55.9757437871  -34.3046473783
 359.3145929012  -24.5003933672
 310.4972733115   72.8035065761
 331.9862517181   24.2833071841
  31.2358866587   40.6989415331
 214.8233400420  -54.9262695542
 182.8367512140   16.9019100375
 190.7193992582   52.0195527810
  21.9254840004    4.0987105302
 332.5371631715   33.6068513194
 259.5403918152   46.4821932145
 351.5099613182   78.8824309761
 154.7154227827   44.6637425199
 287.0715700914  -19.1541576291
  39.2688605189    6.8350217897
 322.1955247316  -85.0154558199
  92.6126154123   12.1039381675
 152.9515511064   30.7138227029
 182.9657768855  -37.7578394342
 253.9044534105   24.8970693249
  68.4225791233   13.5478423408
 190.1430210066    5.1020665408
  80.3097261895   56.8163138457
 277.2130857472   20.2807902236
 334.2062038809    5.3374986449
 192.1686357344   56.8946297637
  65.3503761753   33.0119721585
 169.3283161873   14.8891022911
 127.1892996443   19.9020544278
 276.6091441972  -62.0600678039
 336.3866101173   27.2820279985
 127.9833433443   23.4578169331
 191.6401290233  -80.7006134064
 198.7488066445   19.2721390176
  54.9361206886  -58.2916744816
  39.3109512908  -26.7726718254
 248.7187010317    3.2815485845
  50.7676892165   81.5379226607
 192.6512868503   35.6173018583
  41.7076224221   61.6495379490
 224.1522109900   22.5368564873
 310.7872081654  -19.8045697239
 196.8265802052  -36.3912625157
 122.8039568076    5.9135389575
 245.3018415554   68.1934666761
 173.0421670540   18.8308269643
  79.1332913974  -38.8971337169
  85.6889333323  -74.8085865176
 288.7086586783   36.5464599784
 196.4095362750  -35.9333563455
 319.5050566107  -20.2391981987
 332.6502643380  -14.6621421795
 178.8463331259   30.0718430871
  90.9843838246  -24.2899196537
 146.3542155378   85.4554800634
 129.8891357226   -0.1954910608
 196.1397772052  -33.4917612638
  78.3537459400  -49.3352187534
 134.6446527503  -34.1886346969
 248.5936356837  -41.0294748751
 121.1059396882  -48.6599746098
 276.7422286597   11.5888087041
 283.9926521431   37.2367484035
 313.4622134856   32.2847949511
  57.4629620649   67.2499012237
  49.0626613969   23.0608888725
 323.0543394620   -7.0740029484
 164.6863813294  -73.7437592961
 309.6152587579   52.4927213806
 326.7154389156   16.6845113496
  20.4220678703    8.9157179004
 356.4542910245  -82.1175590632
 104.1003309925    5.9386294854
 189.4489833663   65.2012207880
  36.6585326143    9.2797299304
  29.8909527711  -57.7794447449
 197.0655539744  -23.6106175619
 247.1992208286   16.9566649790
 320.7599267062   44.9671602397
 228.3271744506   26.5334488801
 194.5529949417   38.3285407602
 260.2794670089  -29.7155564164
  90.6027243615   29.4687606484
 315.1988627761  -18.3666740571
 168.6666598605  -25.7252147900
 358.6127604392  -20.8915661401
 338.4769798436  -13.5187147842
 212.3424462959   60.6329719744
 189.0836837762   -8.9609655843
 247.2922674803    0.9427442627
 197.5541720975  -40.4779378347
 347.3704134080   35.6340303851
 188.6056131063   -5.5003364441
  29.0794769727    2.8910682377
 224.8205911948  -39.3717516072
 215.5769732711   24.9986447127
 326.0480249665  -25.9144481393
 147.4144600809   -0.2297363130
  94.7966500079   -0.6973599872
  51.2218151322   34.7258218939
 165.5883238279   19.6428247974
 136.6750608812   49.4726998893
   2.1029866753  -21.3389214255
 245.2962091241   38.0192866634
 253.7837162226   48.1643857798
 263.8320919049   -9.9393754542
