            lon             lat
--------------- ---------------
 219.5260563766  -19.6814403992
 285.5593694545   81.9074366109
 256.1637331229   41.6384523307
 211.6074171453   38.5161345834
 146.9186550373   25.5335960028
 114.5210125400    4.3138836692
 292.9667467388  -50.7448814450
 115.3933427871  -18.6076176091
 145.4377368232  -42.3548817574
 168.5950399768   15.4938740792
 129.5721420122  -51.8171971033
 211.0580125768    6.4034417812
 260.3988035037  -21.8825164230
 230.1703690754   25.2549709623
 350.6980652405   46.7870567113
  40.8782930431  -34.2332612388
 184.6683707633  -16.0062210238
 204.2229091136  -32.2601820161
 251.9303348608  -35.8641059141
 142.1459673680  -32.1210405913
 148.1973080958    5.8412157204
 167.8956782235   -0.8929025403
  72.6037103899   34.9467529726
   9.3365070163   10.0788482735
 137.6516374872   57.8920413448
 166.4383007174   -7.5129968274
 300.4376639668  -42.2134822470
 112.2625328587  -29.9245475590
 168.7625656204  -42.7582929814
 309.6285666733   17.5435722771
 294.6003275038  -29.9963290276
 183.6552603332   -9.9011715122
 224.8670276441  -45.2811578067
 229.9136645552    6.0936439148
  35.6473334888   -8.9390098920
 105.7347507449   27.1660286783
 142.7047395754   16.7919393984
 265.2975702636   -6.6739998927
 216.1351764516  -38.5617458370
 151.0213373647  -26.0082855052
 189.0566222797    0.1148045992
 146.8997515619   41.2744499657
  43.0920882714  -73.0608794091
 264.6075828496   10.7902229206
 358.2887274795  -11.5452732698
 257.1288524507   63.3236705142
 131.6044364635   50.4649971771
  47.7701758166   15.8028357959
 127.8225338294  -35.6371631271
 258.4262747728   39.7151917724
  93.2496277610   19.4592633613
 204.0641096663   31.6340235807
 142.3121344463  -55.2373922653
 251.7838188216  -52.9365020116
 147.5299999943   15.0750718043
 234.8895914129   33.8760203060
 103.9114637357   40.2229305962
 150.0433740630   74.9027149775
  12.5773118086  -32.4515974776
 225.1029573763  -40.3158051020
 154.0493908944   71.4591384410
   9.1630713677   -4.0894123078
 108.5699986909   12.0946298577
 331.7863546890    7.1025700163
 298.2197095938    5.8199890098
 100.1417360581  -38.6116581520
 188.2626833494   10.0010872106
 125.4895949444   17.4608833786
 208.5713405700   12.0633957650
 114.9237627059  -10.9834577240
 320.1307477388  -72.9134376407
  52.4849243858    5.6767152567
  74.2759161757   86.2413792526
 162.7169263332   -6.0192691771
 108.5713558076   36.3750274842
 324.5286246476   31.0203475052
 351.9220671061    5.7367655203
 168.2843691316  -45.3981485079
  52.8566884026    6.1083307843
 306.2608875471  -66.2397454201
 286.3168255915  -56.2700765582
 121.0270083901   29.6348353521
 319.8665951363   48.3820679116
 178.1632250095   10.9998513673
  56.9030204131   77.1333589547
  55.1990647989    6.8790994886
 332.6175053356   23.4256262440
  18.9113277510   46.3205021648
  44.7509324981  -33.7168953347
   1.8237287131   34.3513193466
 129.8732747091  -60.9829735089
 163.5527233344  -43.5783080015
 198.6165245477  -48.4565525828
 201.1454463765   17.0810980440
 248.2019108781   20.9907836784
 272.0215873895  -66.2987525087
  11.8325495270    4.4927335441
 187.5892084046  -29.8806889552
 229.0643076471  -53.9265799799
 260.2828305461   -7.4918264974
 353.5222389705  -11.1662688581
 273.3144425675   74.9897363979
 156.2074562249   14.5099453119
 261.8772663802    8.4641895224
 327.8912983678   -5.5038919568
  65.1142580401    8.1750939614
 115.8718958593  -33.3365673143
 198.7049170596  -34.5663732132
 119.8204259086  -13.7243985962
 128.2080562886   15.7659813084
  53.3309858581  -46.9770079486
 226.7379666146   54.9464189513
 307.9323037693  -70.6723121048
  54.0517123066   31.8843569549
 290.5010235394  -30.9791420459
 283.1566301145  -50.8171344434
 150.8584909866    4.5151398399
  78.3620043331   18.5352745248
  96.8866072140  -37.6391909709
  48.6149395278    4.2068264859
 223.5301156933  -27.8475550302
  81.8815586936   19.6013153456
 267.3954447824    0.2588047912
  51.2022566904  -16.4920613965
 115.8874026690   -2.8162471564
 309.8907816051  -58.1416532876
  77.1012647696   60.9222799181
 286.8084132282   64.5023474034
 235.5474552218   22.0446909085
 110.7687250750   43.2555197274
 164.2271308864   45.0153232572
 290.7589647566  -27.7004419522
 136.6534297268  -22.7276718181
 149.4711057487  -22.0031496472
  82.8829704302  -54.9341190395
 137.2576933690   65.2659812802
 313.0336273033  -37.3473400455
 294.0541719946  -68.5160939896
 121.7321077008  -71.3645634174
 256.4289369587   36.1511285845
 342.7309164697   69.3355200818
 117.9158261601   -0.0169004928
  15.7966364597   -6.6320657907
 218.0262231343   33.7794104040
 278.7090870315   35.2876817172
 196.5651694275    4.4430746839
 356.6851923011   23.9166046429
 107.2637702831    4.7844807147
  48.4524512689   19.2339639962
  33.3590343641   19.8192692357
 353.7185565519  -61.9507036282
  54.8183610302  -43.0983293868
 356.8893278386   14.4513477396
 293.8193307644  -15.9938983505
 322.4730252309   19.9830336686
 272.0129490227  -58.5887201689
 214.5630303170  -77.7993068125
 322.5845342064  -53.0527236877
 272.8116340746  -10.6992533186
 158.6919712732   25.2490027865
 178.2054293597   36.2713751863
 341.9496361215  -35.3809069745
  24.1900211566   29.9332271402
 145.3404989008   63.8244288352
 151.3238673463   18.0150263060
  81.5422680200  -37.3807938701
  18.3857471500  -81.9861818070
  20.3051177107  -40.7942788574
  67.3297663487   63.9429345891
 181.1183450324  -14.0826486980
 208.3898545303  -21.8346961271
 227.3888136849   57.9664746977
 234.6892627562  -10.1625894146
 212.4862241792  -77.6983176274
 170.6657507492   -2.2138431003
  15.7733578440    7.5142636654
 210.8359746138  -38.7345451344
 228.2633616223  -73.8729220230
 230.0571016970  -20.2728726821
 242.7108122740  -12.6874778016
 218.2044334415   12.3091638782
 357.1561988669   51.4573434441
 279.9130074060  -36.8071213432
 307.0825186710    9.9820071211
 328.2909558715    2.4273971090
 117.5461454533  -60.4570584579
 320.3270365069  -23.5300380323
  90.2547749535  -46.8377903860
  40.3832105512    2.7269638234
 353.7722805667  -34.6083698764
 179.2545274298   -5.4717365437
 180.5659231175  -15.6934220574
 266.5819136399   29.0633245556
 328.0008187293  -35.8545560457
 100.4671428376  -64.3380368817
 341.6661524499   11.2439020195
   7.2346421549  -17.0906460422
 133.0450373059   53.5486218560
 249.7670916894   59.9936395347
  78.6755203553   -3.4022794331
  11.8935060740  -46.7671700964
  31.1036176430   45.4282518922
  39.7653909465   18.4405179785
 185.0308903419  -65.9361159636
 178.4260506302   63.2254895280
 287.1489153814  -22.2734864697
  52.1722198777  -12.8862823591
  88.1542337722   49.9005144957
 125.1669721864  -44.0448146483
  31.7570692983   46.4922495327
  13.2634825539  -64.0992733088
 155.2601411358   46.8691586247
 148.0830541195   26.9608330228
  83.6718308742  -33.6431452786
  29.6497012619   -8.4286200110
 152.7389631541   13.6829987809
 342.5192010770    9.3863209287
 145.3338276884  -33.9708086131
  73.5315790288   74.2430192330
 299.7086967955   33.7429056742
 267.1033952803   67.5939208263
 330.4479550625   37.9297417978
 266.2987001927   30.0123271796
  22.9640513726  -42.6952478941
 283.5471340238   61.7991253360
 320.4671460030   -6.1314494636
  76.2720621017  -36.1629685110
 177.4247473538   48.1337707206
 116.0890394026  -24.2885744625
  65.0325240987  -35.7750217297
 292.1216112728   78.0441484481
 314.0099159211   27.8295066710
 296.9674449960   46.2224585364
 291.0678460923    7.2999843163
 265.1513669980  -12.6504706537
 343.5848004650  -33.1816132403
 345.4120724613    9.2897107906
 315.7105596892   39.3015760848
 135.7450871839    4.4035866515
 218.8967384618  -45.6560173151
 168.9060503858  -32.9411423259
  92.2974633679  -51.7781126319
 358.6352589390   42.0253987491
  25.8694627513   53.5245214680
 220.7575562537   40.6466724658
 280.4967416737  -58.8281248242
 120.6350381884   19.7347250802
  17.7499851761  -48.6422178215
  16.3942984257   44.1336848252
 185.7293099223   -0.6216590690
 284.4584830819    4.2891545292
 143.2641316806  -25.5433855275
 284.4748730931  -65.4172252909
 181.1913962379  -23.4895121807
 196.0307050953   50.1566778656
 326.9132086348   44.5015280406
  61.0503345429   13.4432874492
  65.9436231837   56.9471528171
 141.9703357073   61.3524068239
 343.1955542810  -26.8018741594
  64.6124808400  -20.9741131124
  31.6904879550  -45.6746405998
  15.6530859775  -35.1918580529
  33.4051590967   46.5373820515
 188.0733972011   10.3508136106
  46.4632118411    8.8045164002
 148.3224960540  -25.3224132465
 294.3900296934   33.9708389380
  48.0333192562   29.1737494541
  21.1122078547  -62.5643115876
  14.3787742488  -39.4561037638
 304.7495291597   28.6834777077
 214.5146514467   15.4657386199
 132.6405554296  -29.8254948685
  15.3153728301   39.0219289526
  71.7317818476   56.9561745595
 160.7183091107  -37.5718517888
 244.8707720036  -31.4328600978
 230.5803141012  -58.9694493280
 358.3433977072  -22.6414170941
  58.6995189470  -72.7492374032
 161.2504493413    3.4003484911
  87.1852822007   16.7595965534
 287.5674772949  -82.1549784875
 149.9277839220  -40.7288362669
 277.9602883126    3.1989522254
 196.1549480749   53.7498574540
 177.0581379447   48.5908881617
 256.7193694482  -22.7326055549
  65.5744553328  -19.0125428933
  87.0789360304  -39.8922454818
  15.9979858877   -6.8450359413
  44.9910100664   50.7824456251
  42.3155079200    2.7455882504
 116.7477000193   10.9977628955
   6.6293839597  -25.3304437035
 289.5080607130  -38.2400602269
  75.4857341420   19.1548485171
  64.4411239591   17.1136014496
 320.2712220413   16.6210980147
 355.5557923001   33.0541028569
 184.1734482972   -6.0956932129
 349.4427859308   45.2216341883
 106.2075090719  -40.2794548335
 317.8326848268   59.6981507355
 330.9512808483  -62.8412670604
 195.8089305720   35.7818990639
 243.6638731913  -67.8122170731
 226.2106222864  -20.0960954447
 336.7733977192   -3.6608833439
  16.6225827850    8.2424129927
  88.3462873115  -39.5374315777
 227.1720559795  -36.1447801215
 310.0194938235    6.5636911782
   0.7920590750  -26.0411387016
  33.6397228441   20.1231678665
 310.0627750205  -48.5039042105
 302.5048062390  -27.2878163465
 325.1337443696   12.6100938035
 139.6311870442   11.7796342156
 235.8920066292   19.4932699740
 331.9168747852   76.6878499508
 120.4856495833    1.6624495653
 337.8120098262    6.4137957724
 125.8543652621  -29.0528240265
 329.0043837624   36.7919059265
 143.0148103060  -11.6547850317
 147.7322102549   44.5225525388
 347.3969500554   21.9690156456
 351.4331144850   30.2973195957
 224.8371340341  -43.9845615726
 330.8901152680   53.1975911462
 192.3389981799  -77.2443831211
 328.1944863452   13.9204355317
   8.0495838095   40.8174599338
 217.6487149595   -8.0265286897
 132.3468307078   39.8277395987
  50.1769739035   51.4200382967
 231.2240479282    5.8789731149
 153.1207551288   14.3361370745
 180.9321270418   81.6263668781
 356.7925548599   12.9678965159
 270.0865445203   -4.4274092654
  11.5344298835    4.0556420835
 262.1536058155    1.3185086319
 274.1982408476  -31.1745447359
 297.4798073356  -25.9400908457
  18.0601024194   58.8738306300
 215.3743302867   25.3883621478
 115.1829870892   32.4449746875
 358.4448630316  -12.3559029238
 214.5433154199    9.9382666457
 229.4022149513   60.1029178557
  59.6676075898  -40.7330195322
  89.5359501237   19.6445912606
  23.0976510855  -12.6033920513
 153.4725697184    3.4364573375
 331.2536085625   -9.9217284308
 155.4974039117  -56.9884856724
 315.5504217816    0.4411153252
  53.1374462992  -30.3037152265
 338.5914344658   10.6076451886
 295.6051296101  -31.5027018236
 146.6232326363    9.6789263871
 118.9442380995  -12.0787586354
 119.7144774890  -11.6139650120
 249.4865283728  -80.7281159776
 194.2914709867   57.2894342270
  47.2679398540   43.1712325493
  60.1030943305  -24.0344488339
 221.4755485398  -16.5500861863
 233.8549308335   34.2842867190
 301.2994418016   28.3197104446
 350.4802987241  -16.4417757572
 161.5229671742   -6.8715338710
 247.2515172348  -50.5102791151
  47.2528755363   35.4214847602
  64.2807213658   -3.2337706622
 359.7559088584   58.2297927942
 229.2679311448   35.8374200661
 165.1130334640    0.6492770386
 122.5327477674  -47.3744685472
 201.9566995255   17.4399303755
 174.1441286308   67.7229444750
 131.5132205087  -36.6148277837
 244.3307420369  -20.1210292271
   8.9265802518  -26.6454396618
  77.4539193666  -63.2028383914
 331.6252700484   -3.3673336625
 178.2474859943  -52.2349061045
 135.8958171257   26.7779097264
 133.3569489951   17.7190810812
 246.7598372801  -46.1241768563
 147.6572007751   57.4831178682
 100.2890724633   39.2885105079
 167.6219228968   12.4432894721
  55.4487797919  -29.4973466942
 354.1380226566  -21.5892386233
  16.9539775896   27.4476808926
 181.4231218360   23.7255049075
 348.9688450089  -53.0235485563
 272.9504148891    4.9552124524
 240.9183840738   13.2105699300
  32.9552857296   17.2359652976
 310.6931193787   36.6495906340
 100.0571868472   27.4046393273
 107.6740641441   15.5504303851
 153.1687326685   46.3834679132
 336.0846607389   14.4231483978
 232.5453831520   53.5867537966
 298.2980725544   43.5381376517
 123.3137759396  -15.1287578485
 193.4842715948    6.6034042040
 218.9713576029  -18.2770442231
  23.0072500996  -51.3948004099
 131.5105198536  -20.4848610882
 197.0665005063   30.3002542783
 170.5668671470   -6.5042375662
 126.2751162706  -30.9898296695
  18.8954909900   -3.0165913453
 196.4181840310  -37.6637513293
 119.9300807496   31.0553392025
 350.6295387881  -60.1270146775
  23.7120208930  -64.5738371433
 354.3253573081   -3.9875956046
 162.4372020828  -75.5319860671
 322.7706992929   -3.7787001503
  70.4881444678   26.6050770540
 337.8283271535  -10.0145025496
  31.6399792676   -1.6926295320
  95.7710790921  -32.0780712869
  68.0132716039  -71.5024511263
 150.7020564991    1.2481880334
  44.6597523902  -44.7612488002
 314.6969467399  -73.8258913988
 233.1865316100   32.1229818316
 264.9446589735   28.8469502735
   9.5271420940    8.8111981492
 281.4975598362  -23.2354876927
 103.2249421538  -37.7276794498
 172.2600213232  -15.4113079092
 188.7593995551   63.5288509406
 147.9131484541   13.4580839821
 326.1433625610  -51.4656494918
   5.2512049094   -3.0972779009
 120.3583516289  -29.9501195242
 258.1680173230   -6.4111193536
 313.7467972624  -23.7745416134
  45.0983350286  -75.6966242891
  80.7117215892   53.1703572579
  30.9854592533   29.9198449863
   9.7462091636   20.9976114571
  90.3098210168   48.0931911160
  79.3801179663  -87.8764014894
 139.6577032704   50.2727170105
 154.2623234992   59.2237972622
 107.4042513694   10.5684185271
 107.8209145390  -55.3729860293
 320.7959660860  -27.5302217252
 122.5538621819   -2.7379321189
  84.8773375733  -19.7552627410
 233.1913045840   -4.1919110487
  61.5984100479  -21.7311048347
 262.2526247830   -9.6963101024
  65.2206677832  -15.6873844232
  40.1147723285   10.8567389542
 189.8412697165   51.9707146011
 214.2932467971   -8.6453952561
 336.1901133464   42.6781586583
 333.8705316873   54.1006224937
  56.2479523976    5.3979539654
 146.1163366190    3.1239012446
 320.0119010916  -49.2371797395
 297.0679826090  -27.5901053773
  61.8586110639   49.4206515665
  74.3311294548  -12.6835041264
 148.8117800194  -30.0609485453
 302.5171020969   23.9784722490
  54.9549997355    2.2746688255
  58.9641084027    9.4898547542
   6.3849585118  -41.6220273990
  30.2746119833   37.9862943343
 107.2543489650  -26.5597041598
 348.1650950893  -30.9976591880
 155.8382922055  -33.1538406397
  82.1016976097   80.3509755112
 251.1676980292  -43.1948527381
  15.5325028263   43.1853781167
 126.6727709661  -25.0605422846
 109.1035577389  -84.5386842745
  87.5973514964   35.3140426271
 310.1611189676  -45.9262417872
  76.7021068772  -16.9194299017
  22.9792510155  -40.4905574112
 111.1904459231  -33.4828063363
 316.4608031826  -60.1017805230
 223.2584718814  -14.5978482849
 275.7147922456  -37.2713318702
 291.9794240633    9.3368450815
 277.8351868244  -43.2401592455
 289.8041153298   51.2530303886
 278.2597682351   38.5866504663
 110.4761833450   35.0298375852
 153.0329181901   34.3540797267
   1.8150136706    3.0118018953
   2.1058283290   28.7383305777
 213.2784654397   67.6229458263
 263.1132602375   65.9975950930
  37.6658887301  -25.2139128806
 316.2749207854   33.5641558204
  44.7695300582   46.1394489007
