            lon             lat
--------------- ---------------
 353.8147062289   43.0746941276
 111.3399234139    4.7716713499
  70.5025144511   15.1547747746
  82.0292519986   47.6376453188
 175.0265973847   53.1655507325
 207.5950246952   24.5551334824
 337.4787038539  -19.6431865434
 232.2425434335   21.1389548804
 269.5434618105   31.3583260524
 171.4778548842   75.7251616932
 269.1448116825   17.0573228684
  29.9839084786   59.4276746152
   6.1080787949    6.4784290202
  56.1986703095   39.0540359377
 111.1189448388  -35.5798445514
 251.0455211603  -43.7315143860
 309.8632814474   66.6230469627
 328.0033879313   44.6230875988
 350.6443214409   10.4966678155
 258.4986370813   36.6431547321
 209.2976687464   58.1071078989
 241.1525049436   75.3603071549
 171.6961463200  -10.2279348742
 147.1727485447  -70.7169874087
 143.5742708503   29.3991459037
 255.2801851814   69.9996125475
 345.0135563473  -26.7971350336
 242.7998835464   15.1652584681
 288.2727598088   39.1862395443
  55.9757486379  -34.3046520779
 359.3145972227  -24.5003935122
 310.4972922712   72.8035106425
 331.9862608063   24.2833095940
  31.2358974715   40.6989384861
 214.8233531750  -54.9262662242
 182.8367563813   16.9019105219
 190.7193991935   52.0195540166
  21.9254912039    4.0987082703
 332.5371733375   33.6068536813
 259.5403978187   46.4821986888
 351.5099961399   78.8824315834
 154.7154245954   44.6637403498
 287.0715762994  -19.1541524069
  39.2688678576    6.8350181273
 322.1954800129  -85.0154525983
  92.6126221547   12.1039326551
 152.9515549663   30.7138203772
 182.9657879943  -37.7578389373
 253.9044596351   24.8970746945
  68.4225864076   13.5478371227
 190.1430273658    5.1020677220
  80.3097341357   56.8163083613
 277.2130929228   20.2807956811
 334.2062111962    5.3375008602
 192.1686343569   56.8946311353
  65.3503843902   33.0119670463
 169.3283215744   14.8891014750
 127.1893052155   19.9020501517
 276.6091494438  -62.0600623371
 336.3866196148   27.2820300193
 127.9833486375   23.4578127061
 191.6401686690  -80.7006120843
 198.7488116797   19.2721409943
  54.9361226698  -58.2916791275
  39.3109560421  -26.7726754907
 248.7187077696    3.2815538120
  50.7677184586   81.5379182454
 192.6512898612   35.6173032749
  41.7076366516   61.6495341136
 224.1522162469   22.5368604892
 310.7872136492  -19.8045656765
 196.8265909015  -36.3912607134
 122.8039633207    5.9135344256
 245.3018431037   68.1934717864
 173.0421720157   18.8308265042
  79.1332975656  -38.8971391854
  85.6889394190  -74.8085920456
 288.7086669824   36.5464651464
 196.4095469166  -35.9333545814
 319.5050618520  -20.2391947696
 332.6502698697  -14.6621398275
 178.8463367651   30.0718431869
  90.9843908044  -24.2899251770
 146.3541630123   85.4554771765
 129.8891425769   -0.1954951668
 196.1397875216  -33.4917595244
  78.3537517234  -49.3352242100
 134.6446623327  -34.1886384815
 248.5936441100  -41.0294696516
 121.1059499814  -48.6599792337
 276.7422356775   11.5888141688
 283.9926601564   37.2367537162
 313.4622228265   32.2847988181
  57.4629755721   67.2498964500
  49.0626697127   23.0608845584
 323.0543457397   -7.0739997946
 164.6864066465  -73.7437605523
 309.6152704037   52.4927255043
 326.7154471770   16.6845142067
  20.4220755132    8.9157157737
 356.4542579219  -82.1175589321
 104.1003376728    5.9386241756
 189.4489784814   65.2012219038
  36.6585401600    9.2797264607
  29.8909521755  -57.7794476827
 197.0655630988  -23.6106157378
 247.1992270765   16.9566701567
 320.7599379577   44.9671635729
 228.3271795359   26.5334531495
 194.5529975955   38.3285423536
 260.2794742645  -29.7155509324
  90.6027310510   29.4687551232
 315.1988682661  -18.3666703118
 168.6666693335  -25.7252156693
 358.6127651697  -20.8915662174
 338.4769854304  -13.5187129525
 212.3424450388   60.6329751100
 189.0836914733   -8.9609645032
 247.2922742901    0.9427494435
 197.5541833827  -40.4779359662
 347.3704241493   35.6340313877
 188.6056204713   -5.5003354082
  29.0794840532    2.8910653666
 224.8206011318  -39.3717475610
 215.5769780737   24.9986481005
 326.0480295229  -25.9144452271
 147.4144669417   -0.2297391122
  94.7966568578   -0.6973654780
  51.2218242594   34.7258174523
 165.5883287399   19.6428236261
 136.6750628497   49.4726962501
   2.1029913619  -21.3389218393
 245.2962143096   38.0192917735
 253.7837215663   48.1643911466
 263.8320988139   -9.9393699358
 137.4451242789   24.4410755632
 346.5713390979  -37.5361370583
 319.4774794002  -15.0331125762
 283.3327105233    2.9034381929
  64.8129981086   15.2685555374
 112.9100352542  -12.7425595624
 212.8229698439   27.4160749449
 208.8740643979  -74.5859877394
  72.0331923121   46.0349862962
  65.2319125657   -2.7966171702
  21.2097106913   73.5990254639
 112.8032189704  -58.9222809193
 206.3185474447   17.4039723568
 179.3493537785  -35.8060695458
 169.0921086359  -47.8455690642
 302.9215636491  -34.7987041208
 255.6770630216  -30.2176672545
 110.2611231469  -68.3239110143
  14.7301382023  -24.4906216503
  65.8629902170  -44.0786630463
 330.8181682360   -6.8422459924
 306.0196006126    3.1435891814
 325.7175981445  -34.6815123899
  18.8368287806   -3.7641830879
 165.1590704096   62.4422076552
 122.5774470535   60.6302750245
 327.2329325684  -56.9766874174
 149.8840786496  -46.5423927016
 135.7789328488   27.8886909209
 185.0524910749   59.7093013345
 245.9927479083  -11.1494613434
 296.6056010143  -14.5704097306
 274.4166416210  -51.7419450866
 143.0794237275   -3.5025152400
 301.4447092781   68.9379985022
 342.2102595150   50.1402768575
  93.1977255840   27.4571383723
  12.1815920553   33.1749094065
 305.7046825106    3.4684631750
 252.5749742146   76.7253066863
 166.3334874768  -68.8232596313
 328.6183828638   36.2208388197
 311.1102065309    3.9040254554
 358.9431074275   34.0035616053
  11.6681863802   24.9299362239
  40.3059056871   52.2613058488
 116.8916858607  -31.5182367017
 352.9371386617  -11.8686619686
  46.3380909870  -34.3797727240
  44.4706657892  -56.7240561827
 272.9785446759    6.8221546130
   1.3197247409  -48.2521218711
 255.7966835514   -5.0876557403
 196.9112349845  -48.8140950796
 310.5175671487  -61.7119582424
 294.4582022985   77.5237437560
 299.8953792349   67.3419894645
  57.7611844695    6.5918060144
 340.1459406293  -48.6966639843
 273.9284200960   -1.9033050225
  73.5449767622  -64.0307124686
 265.9337216894  -77.8037183348
 149.3676419767   29.8663033452
  89.9789077725   16.1944400646
 211.1967794190  -11.9145194888
 287.0439114500  -48.9648082904
 143.9202089354  -30.7869663837
 175.4453531012  -43.5015709164
 301.1973356384   17.0176396706
 120.1738297790   33.7212213245
   7.9610457703  -18.2131867042
 220.1246883061  -38.6198373028
 159.3536001863    3.9595405835
 260.6235560729   18.8958801534
 143.6111820991  -29.6613042793
 292.5165871945  -32.1101408698
 143.1728510210   44.7028812942
 172.1135637978   53.4829156560
 242.2340618982   -9.3349592782
 214.0015398926  -60.8610628872
 192.9884358372   62.1122290067
  71.6786779736  -65.9101522713
 262.4632088582   37.3777587695
 134.2561617251    2.2355444939
  68.8552993073  -19.7711456914
  96.5903524927    7.6438584301
  89.6597903730  -37.2076932744
  58.6960748713    6.9070413981
 273.5423148542  -49.0516683731
  91.7882298289   -0.0483445218
  27.9629474671  -50.4528579166
 244.8311279695  -15.3945615996
 122.0587165856   48.7576557494
