             az             alt
--------------- ---------------
 307.6464513974   -1.8089573281
  61.3483313551   50.5509832663
 343.8117769971   62.7965905678
 359.2006788457   30.4210520187
  31.6649469741  -15.1214948211
  61.0674839070  -43.1222530159
 243.0899057579   -3.2921932779
  57.6628228522  -65.9807670886
 322.3903688992  -66.2864321956
   8.4878928437  -12.8008998580
 307.5855377758   -1.3831669183
  61.6001494136   50.0675330507
 344.7892594164   62.9347035671
 359.4692773605   30.4176772521
  31.4881595054  -15.4151059607
  60.7739218278  -43.6032121144
 243.0511332277   -2.8018540785
  56.9622568427  -66.4446578745
 321.3569430859  -65.9575968937
   8.3138461206  -12.8901009077
 307.7302398605   -1.7299478077
  61.4754452120   50.4302923935
 344.1418616395   62.8027953261
 359.3592073499   30.3940391141
  31.7276896506  -15.2098247697
  61.1224341689  -43.2427534034
 243.1783638737   -3.1705484658
  57.6571652335  -66.0990201438
 322.2181584573  -66.2344892806
   8.5482029357  -12.8471846211
 307.6682018119   -1.3060724633
  61.7216067787   49.9469353626
 345.1177146717   62.9367824660
 359.6251856615   30.3883458155
  31.5490417190  -15.5040080530
  60.8279210308  -43.7233242510
 243.1374034706   -2.6805206384
  56.9542621297  -66.5623275988
 321.1887015827  -65.9057276450
   8.3724332806  -12.9375740091
 307.8142465032   -1.6512547780
  61.6024753771   50.3106582126
 344.4701185610   62.8088250593
 359.5171656281   30.3674860786
  31.7904455874  -15.2971165949
  61.1771325153  -43.3621492711
 243.2668189678   -3.0499718268
  57.6505081073  -66.2161172670
 322.0496333184  -66.1820930817
   8.6086430030  -12.8926660452
