            lon             lat
--------------- ---------------
 334.1097712842   36.2822940718
 113.1272753153   26.5690097506
  65.3792803075   36.8835225715
  72.2462979589   70.5430451960
 203.8718628054   49.2793069150
 213.7898154719   12.5687406054
 346.5523093732  -27.1377409133
 234.5118620571    2.3121860779
 269.0043265012    7.9230231008
 235.1284464388   64.8060283354
 268.5054423484   -6.3739029801
 345.5627610943   62.7358851410
   2.3771820014    8.0924667898
  37.4214079645   56.3696414247
 106.9559505789  -13.3346713956
 235.1762724185  -64.8124329972
 291.1609802127   46.0377539192
 313.4565345959   29.4419279353
 346.6387913528    5.6732606441
 259.9523266829   13.6285000019
 230.8496532621   42.7172667220
 258.0055893398   53.1525906994
 167.7010287837   -5.8342328384
 116.8938535597  -52.5096812113
 157.5399804314   41.2654476944
 262.3426872388   46.9699148275
 357.1974341059  -30.6391049808
 243.0086724817   -5.6978809836
 284.1358823253   16.6053111461
  60.9504098398  -14.3013162400
   9.0440274361  -22.9065841568
 287.8296833357   51.8236422113
 324.7327684729   11.7193329089
   8.1954306373   48.7205125206
 176.4179149916  -61.5345486518
 188.8225909294   14.6285046283
 214.1966684666   42.8895919753
  18.0450485241   12.0767302640
 321.6562456365   20.5764859965
 261.6539770441   23.3657211481
 294.4553533754   62.6248482101
 179.4381179314   50.2544370334
 290.7988867472  -41.4186577543
  33.8481654101   20.8195310064
  78.9038149557  -69.3138886276
  92.2998079210   35.5279680158
 167.8316338542   38.8898405562
 164.7842330313  -35.0458355041
 254.7935646134    2.3401035310
  63.2837337004   34.9437795385
 190.6820180945    0.9503864436
  58.4923117011   79.1134105952
 276.1177025185   -3.0203194892
 333.4896484805   -5.2402280870
 218.9615808830   46.4975946067
  53.1245182264   53.2543748866
 175.6185374693   18.1521452722
 135.0526102112   37.8083239501
 302.3415229814  -84.8264236185
 327.3971154501   15.9614848918
 137.3831689498   40.9619983358
 113.5287334238  -66.5810317222
 204.0026661291   10.7475564012
  67.1717788801  -37.6537316387
  44.7003985987  -11.0500044699
 246.8080775841  -18.4053607320
 288.0466129481   72.2468018061
 205.8970249773   27.8623191041
 349.8452719802   68.6512408799
 227.6390401648    5.6798475091
 319.0568084317  -36.6681995755
 177.7165082465  -39.2924780900
 125.8348734377   25.4474239821
 256.7617841555   45.9182011109
 180.7757514239   20.2616220677
  80.6667688448  -15.8319229276
  87.8987366712  -51.4058956524
