             az             alt
--------------- ---------------
 307.6461182561   -1.8082834047
  61.3484517665   50.5504759341
 343.8125709680   62.7967728895
 359.2006866397   30.4210922424
  31.6643745016  -15.1219175866
  61.0667884255  -43.1230857589
 243.0898749761   -3.2914372117
  57.6613585582  -65.9816286277
 322.3882619569  -66.2857906119
   8.4872903929  -12.8009928396
 307.5853842140   -1.3831332639
  61.5999666525   50.0677249937
 344.7887416042   62.9346607484
 359.4689764703   30.4177010535
  31.4879438851  -15.4151137020
  60.7737596498  -43.6033436802
 243.0512434261   -2.8018133935
  56.9619266966  -66.4448452271
 321.3564389394  -65.9574429279
   8.3135952672  -12.8900815583
 307.7300749414   -1.7299154150
  61.4752542285   50.4305002462
 344.1412943124   62.8027493050
 359.3589011417   30.3940685990
  31.7274717891  -15.2098187061
  61.1222768824  -43.2428702015
 243.1784761900   -3.1705117007
  57.6568438032  -66.0991966739
 322.2176711522  -66.2343387969
   8.5479501566  -12.8471563806
 307.6680568238   -1.3060248037
  61.7214347367   49.9471140983
 345.1172190618   62.9367439561
 359.6248960287   30.3883722212
  31.5488213612  -15.5040239819
  60.8277591254  -43.7234730473
 243.1375223757   -2.6804616360
  56.9539114697  -66.5625293865
 321.1881703990  -65.9055608110
   8.3721795072  -12.9375564956
 307.8140862682   -1.6512131729
  61.6022957470   50.3108489923
 344.4696078454   62.8087803620
 359.5168697568   30.3675128235
  31.7902275672  -15.2971238916
  61.1769730372  -43.3622823987
 243.2669408001   -3.0499208689
  57.6501775385  -66.2163070974
 322.0491294042  -66.1819375855
   8.6083905006  -12.8926445867
