            lon             lat
--------------- ---------------
 322.7468015120   24.1660740451
 122.2946324295   47.2538012037
  53.2309555235   57.4391898136
 318.3197346878   82.8131976733
 222.5725820216   35.8048589176
 216.2624937607   -1.3447641063
 359.9200791772  -29.5436222433
 233.3382613135  -16.9616443365
 269.5953920465  -15.5190852552
 250.3358265753   43.5598883715
 269.0576772987  -29.8161319557
 314.0953221316   50.7198505991
 359.4150420782    8.8758044109
 357.5091879349   64.3790085233
 107.2578716200    8.9778538293
 170.9390717637  -76.2506806559
 286.1510120566   23.8997951237
 308.0752967371   11.8224799074
 345.9811873887    0.4501935920
 260.6633905065   -9.5514612234
 239.9499478291   23.0570675751
 261.9067379664   29.9848229166
 166.8917299489   -1.0103802461
 108.8822413070  -30.9659714130
 180.3838404627   45.4907888936
 264.5566280281   23.6324570499
  11.2358031415  -28.4663475085
 240.4351847853  -26.6003168341
 284.1454159146   -6.0459386816
  62.2722172657    6.5734108976
  17.9777367151  -16.9424883121
 282.7145775219   29.2676494284
 323.6219503828   -1.7985393392
 342.2722898725   47.1124126488
 141.6610639934  -53.0286444243
 194.3556723491    9.4488652941
 227.2262987631   27.0802930684
  12.3393753916   18.7056831354
 317.9511642706    5.6232539353
 262.8188670116    0.0821268195
 284.5330703615   40.5370818519
 205.4047620384   44.6060866022
 306.2821370566  -62.0549687160
  24.0296476053   32.6882676245
  84.3242384165  -46.0409201149
  94.9499966192   58.9001355646
 187.8496588457   39.3816843722
 152.0469667887  -26.6417323877
 254.4381127568  -20.3867083170
  51.3442786765   55.0843077101
 190.6745233865   -3.8556862944
 290.8342556484   74.9876959933
 277.5458493129  -26.2511247472
 337.8985410449  -14.6340736989
 232.2726314702   29.2454030438
  19.4197810596   68.2330167601
 183.9284725102   17.8341839078
 155.1223196232   51.2089021716
  80.6263924738  -70.6641356941
 324.6379039516    3.0649175481
 160.1619807720   53.1167391619
 102.7751708037  -44.2956363139
 206.6351146114    0.2377093926
  71.7376014491  -15.5159463515
  46.0036608680    6.0237919114
 241.8665604470  -39.7837018143
 278.2228171399   49.4028033869
 214.5800483064   15.5524497586
 309.7400776590   56.3221995847
 227.3544831424  -11.9825432411
 338.6999529579  -48.7248281912
 160.4396770338  -35.1438376171
 137.3565678855   42.8958149362
 260.3033411188   22.8485635579
 189.5002568532   17.7172104054
  81.4916298510    7.3925185877
  88.7220597115  -27.9651042360
 285.1039607444   -8.5324831549
 160.7011131872  -34.6174846169
 347.0576042712  -42.9365636006
 352.1118415941  -29.8302959373
 202.2422793389   20.8077325964
  90.9717474869   22.5825697218
 264.5985881773   45.5155408633
 140.5896750925   33.8977385439
 163.0398433413  -33.1207157293
  82.4306072884   -3.0183198909
 125.5826125184    2.6063437003
 180.1938035672  -74.0181751942
 110.0582800123   -5.7627152253
 278.0654133172  -34.9434102486
 281.2280965962   -8.6411369974
 305.6996173490   -4.7485140472
 294.7932669347   60.2649204368
  17.4229910784   50.8123190354
 338.1621382855  -31.3024664272
 109.7678692007  -37.0315873633
 293.3423859896   11.5305715297
 324.6084826585  -10.8045766638
   7.5377773889   20.9497054885
  79.1951594103  -43.1004003335
 112.5388556464   50.7903365585
 239.7574528743   34.7679716763
  19.8021241398   32.7046682848
  59.9528662167  -22.6026372892
 172.9366090858  -28.0371969656
 245.5591436038  -26.3761620271
 303.6966900465    8.9975582130
 232.7711882457  -10.5112073984
 217.7260976313   16.2624570105
 236.7102770740  -74.5043984470
  92.2223230758   76.3388106828
 341.3614555064  -44.7093761302
 153.6337737692   -9.6410509283
  14.6884526697  -15.0856116930
 355.3730061824  -24.8442553359
 243.0650040852   23.8418727944
 179.5833999237  -12.7266070937
 239.0043492960  -41.4519033664
 156.3895863084  -37.6750692605
 325.4194421706   15.5767547214
 181.8533611114  -10.0340690674
  18.6731167313   22.8783435911
 170.6237136054  -56.2368906170
 222.2207964092   -5.5094262611
 358.1282488571  -41.7122896442
 156.2324228335   22.9764861528
  96.9094865300   45.9701027480
   2.4665337829   58.9870896285
 185.3321937772   23.6326309354
 207.8756281614   57.6714967202
  17.2465642830  -12.9313508053
 250.6735713970   -5.8187960452
 259.2554307426    2.3961805256
 258.9793808713  -56.3847683228
 169.9501751744   47.0728031146
  22.4586055104  -33.4270397287
 341.9240635298  -39.4437485338
 288.1817662865  -42.4307555205
  44.5750697592   54.8057731431
 116.0983450140   30.3313926777
 221.7150724808   -2.0899303463
 110.7010000922  -48.8196876287
 340.9439169960   76.9054563535
  57.4489447954   38.9486242719
 292.6642243753   46.9110496448
 101.8872648665  -13.7747816853
 210.6831287125   -5.9893610223
 151.8826418903  -23.1526648877
 136.3838134709  -24.4590173831
 353.0235414857  -63.2805273163
 223.7935808080  -72.7735125364
  97.9566160015  -22.4758973824
  27.6321398332   -6.5728939156
  72.9165891859    0.1721308590
 344.2821895252  -25.7719656572
 314.7628259716  -33.5034587397
   8.2660653588  -46.6385306663
  15.8507367620   10.9693950825
 231.6915999227   43.8274079521
 233.2469600725   63.8116041760
  41.8444020791  -52.0371714082
 127.8471857432  -14.1389665738
 172.8071443732   50.3240482609
 232.7456434693   33.9040808906
 229.7479843268  -51.8464293920
 316.7397959294  -53.4741334383
  72.4904580945  -80.8807450923
 150.3390725723   23.3209963340
 281.8861180065   24.4620192192
 311.3210030530   22.4436867453
 100.4241655358   74.1231309445
 341.1903838299   30.1952476285
 314.2397570647  -33.3856008081
 265.4294632848   30.3560930537
 115.4085348092  -35.1058113048
 313.7897989143    5.5821173037
 319.3360820565  -30.1410195005
 333.2021796644   21.7839951162
 348.3997937528   24.9600246291
 326.7014781145   56.0517873082
 113.1621144063   11.3968432310
   3.9973940099  -13.2037027476
  55.2145079614    2.8551383889
  65.8430485546  -16.9128882549
 273.8609077365  -39.9831829853
  39.8219126186  -29.9198679743
 247.6801148070  -49.9446712050
 146.4134768398  -40.8617912016
  52.1688898842  -59.8684488478
 276.0275703056   31.5921863645
 282.0188245337   22.7694444224
  42.7906616238   43.7699826202
  32.4733358376  -42.6189801074
 275.9469660651  -48.6330737056
  82.5086925136  -17.9387754900
  91.5071060963  -55.2786274246
 184.7076726589   41.5218453341
  89.9552575634   63.0730219686
 193.1633768669  -30.7338590524
  32.2724082113  -76.8449162419
 133.9821440075    1.1117691754
 143.1542885112  -25.3719621676
 302.6596696911  -23.3886098706
 168.3369031888   64.7308406129
  18.6802273680   -6.7546345814
 169.4377977669  -52.5754280225
 168.4934882921   17.6950588066
 260.0030784946  -27.3857190989
 134.4295637022    2.1787255309
 335.6403341768  -69.1410058261
 201.3356819183   52.3533641660
 222.0038366563   37.5134934015
 226.1447000862  -48.4334910874
 131.8052719743  -52.7299575790
 237.5571177784   31.8320042615
  82.1548190804  -19.9494685518
 263.9388490166   -9.2098552610
 146.5472695405   33.3015004065
  68.1564669758   24.1680619631
 101.1729241767   54.0532254150
  89.7251297310    9.6702989841
  43.6480413592   44.5334690109
  68.7586105192  -83.5828220578
  92.6127755088   46.8004826659
  53.7472275298  -18.0089866325
 224.4825187963  -54.9212981952
 205.5036807719   67.1886819440
 238.2071399196  -20.3410298410
 214.8443581372  -62.5477998421
 116.6198438760   46.2225367116
  72.4424479806   11.1739703286
  78.1162484065   33.3448349610
  41.9395632697   12.0716030898
   8.5317476220   13.9729988854
  46.0389450072  -52.0049013424
  84.6567729342  -21.5882600017
  81.8165418691   18.3556540516
 231.4708792634   13.5037637154
 319.4215011824   -1.6121253250
 279.6383595028    2.6794563847
 255.6450483014  -50.2615046362
 110.4560616676    2.2987145234
 130.8103774981    9.3003694693
  12.3043818758   81.2261836722
 347.5567450600  -29.0894015750
 209.5908317215   13.8075950009
  20.7568338833  -80.6024427454
 123.4819762961    0.7316585759
 280.8517190502   38.6479738524
  34.9442482485   14.5121327714
 257.0803616061   -3.9325178971
 342.8490700734  -34.6459532865
 285.6613885027   15.7465340314
 194.2364768376   79.1076274907
  91.9026500492   16.4332999476
 166.4317571977  -24.9078746265
 152.9245970804   16.7247529987
 176.2425572930   48.4491430990
  53.7005852261  -47.9302229997
 193.3116732535  -53.0043492257
 223.2286127388  -89.4411323804
  80.7782568855  -74.4101976070
 135.5633777782    2.2472365667
 277.7378132282   49.6434248863
 152.4386040432  -33.7473961187
 260.4756321636   -0.8650429617
  65.2491997857   27.7354259827
 149.1829085603  -13.5402215410
 328.6808587441  -72.2195147480
  65.1624205158  -76.3740513895
  67.1657677089   17.5878107056
 320.7531396941   59.6294869148
 252.9903020464  -13.4403334494
 121.7600869572   -4.1488659593
 155.8738566342   18.1536454661
 276.1906193786   -4.6820502445
 342.5459704849    6.9601855735
 324.2371230931  -15.9034549803
  73.9209967915  -54.9802512267
 297.7389713036  -60.0608886418
 252.8010494895   29.6077198305
 187.6968294922   -9.4913410551
 324.3620505156  -43.3787835018
 271.1726866049  -12.1149822753
  29.2431447009   18.1614135536
 178.1121167120   77.5590325824
 204.2702737469   66.9942957619
 356.0240971654    9.9333272273
 192.4123846628  -50.9167704414
 236.4400528629  -49.2138716017
 110.9044727645  -49.0794646657
 142.7650764601    7.2337848436
 148.9191235946  -40.5206281102
 213.1879770927    4.9880940930
  81.8825840728  -61.8601301259
   8.6242727534  -19.5459696286
 176.8608258103  -13.6016222538
 168.0928955259  -20.2372424056
  69.1358951317   -1.0019066275
 104.7143411796   -5.0162195723
 281.6245715580   32.9925611723
 105.7451411642    7.9918989484
 246.8364443199  -36.7033561637
  99.5637539971   30.9988359707
 354.6129223107  -52.7821241753
 259.5829552715   74.9243801846
 326.9960273053  -26.1469072799
 329.4423811931   22.7640359964
  68.6499134540  -27.0219554878
 116.6008664525  -34.5764650625
 236.6487692068  -48.1856185641
 327.0137408717    6.8643259159
  54.9434785413   -1.6232550275
  72.8040220724  -59.0006874570
 136.6614638871  -24.1461001960
   9.4425622133  -37.5668311596
  25.0351555162  -20.2130858210
  70.1039172369   -7.1079358695
 228.9127071842   21.4564710434
   0.3274113945   56.6809608967
 119.3655705572   37.8322003306
 222.3814050315    0.9064881135
  76.2830936724  -19.7016776785
 248.1412289525  -17.1342198546
  88.0966078794    9.4902423581
 247.8904729144    6.4967997374
 201.6386658300   46.6019952250
  93.1567597168  -11.6741874472
 100.3458338597   -6.0142894085
 323.8196245373   -0.5169166297
  99.9889260130   21.3240738885
 309.0016010659  -33.4765573974
  73.2651886757   -7.9856110627
 116.7454726874   -1.1216723836
