            lon             lat
--------------- ---------------
 353.8146942175   43.0746937407
 111.3399167569    4.7716764322
  70.5025071626   15.1547800663
  82.0292445439   47.6376508335
 175.0265979343   53.1655510023
 207.5950200516   24.5551307296
 337.4786988673  -19.6431884699
 232.2425378387   21.1389503720
 269.5434548671   31.3583205120
 171.4778696949   75.7251623053
 269.1448048014   17.0573173269
  29.9838936942   59.4276775661
   6.1080713304    6.4784298195
  56.1986611101   39.0540406578
 111.1189364285  -35.5798394606
 251.0455127884  -43.7315196932
 309.8632660178   66.6230428465
 328.0033763431   44.6230848429
 350.6443135803   10.4966671234
 258.4986309072   36.6431492623
 209.2976695012   58.1071050044
 241.1525076244   75.3603022015
 171.6961384839  -10.2279342831
 147.1727280724  -70.7169845834
 143.5742665904   29.3991490228
 255.2801816454   69.9996071367
 345.0135522355  -26.7971362620
 242.7998773400   15.1652534452
 288.2727513879   39.1862343509
  55.9757437913  -34.3046473691
 359.3145929063  -24.5003933673
 310.4972732882   72.8035065677
 331.9862517137   24.2833071788
  31.2358866505   40.6989415388
 214.8233400290  -54.9262695605
 182.8367512174   16.9019100369
 190.7193992721   52.0195527790
  21.9254839997    4.0987105343
 332.5371631649   33.6068513142
 259.5403918174   46.4821932036
 351.5099612623   78.8824309745
 154.7154227926   44.6637425246
 287.0715700925  -19.1541576398
  39.2688605179    6.8350217967
 322.1955248323  -85.0154558267
  92.6126154124   12.1039381786
 152.9515511123   30.7138227080
 182.9657768769  -37.7578394348
 253.9044534120   24.8970693142
  68.4225791223   13.5478423511
 190.1430210076    5.1020665388
  80.3097261866   56.8163138567
 277.2130857467   20.2807902126
 334.2062038799    5.3374986401
 192.1686357510   56.8946297614
  65.3503761723   33.0119721686
 169.3283161902   14.8891022932
 127.1892996467   19.9020544366
 276.6091441996  -62.0600678149
 336.3866101121   27.2820279941
 127.9833433472   23.4578169418
 191.6401289568  -80.7006134087
 198.7488066481   19.2721390140
  54.9361206989  -58.2916744725
  39.3109512951  -26.7726718184
 248.7187010319    3.2815485742
  50.7676891693   81.5379226693
 192.6512868581   35.6173018558
  41.7076224068   61.6495379564
 224.1522109933   22.5368564795
 310.7872081681  -19.8045697323
 196.8265801974  -36.3912625189
 122.8039568082    5.9135389669
 245.3018415670   68.1934666660
 173.0421670577   18.8308269656
  79.1332913991  -38.8971337060
  85.6889333354  -74.8085865065
 288.7086586757   36.5464599679
 196.4095362673  -35.9333563487
 319.5050566139  -20.2391982059
 332.6502643406  -14.6621421847
 178.8463331324   30.0718430873
  90.9843838245  -24.2899196426
 146.3542156542   85.4554800696
 129.8891357225   -0.1954910523
 196.1397771982  -33.4917612669
  78.3537459426  -49.3352187425
 134.6446527450  -34.1886346890
 248.5936356802  -41.0294748855
 121.1059396817  -48.6599746003
 276.7422286594   11.5888086930
 283.9926521410   37.2367483927
 313.4622134808   32.2847949430
  57.4629620506   67.2499012330
  49.0626613938   23.0608888809
 323.0543394631   -7.0740029550
 164.6863812926  -73.7437592931
 309.6152587487   52.4927213721
 326.7154389128   16.6845113435
  20.4220678687    8.9157179043
 356.4542911046  -82.1175590639
 104.1003309928    5.9386294962
 189.4489833900   65.2012207862
  36.6585326129    9.2797299371
  29.8909527864  -57.7794447394
 197.0655539697  -23.6106175651
 247.1992208299   16.9566649688
 320.7599266976   44.9671602327
 228.3271744543   26.5334488718
 194.5529949502   38.3285407575
 260.2794670078  -29.7155564274
  90.6027243615   29.4687606595
 315.1988627787  -18.3666740649
 168.6666598552  -25.7252147878
 358.6127604435  -20.8915661404
 338.4769798461  -13.5187147882
 212.3424463126   60.6329719685
 189.0836837744   -8.9609655861
 247.2922674804    0.9427442525
 197.5541720885  -40.4779378380
 347.3704134002   35.6340303827
 188.6056131052   -5.5003364457
  29.0794769722    2.8910682431
 224.8205911883  -39.3717516150
 215.5769732753   24.9986447063
 326.0480249709  -25.9144481455
 147.4144600808   -0.2297363070
  94.7966500079   -0.6973599761
  51.2218151274   34.7258219025
 165.5883238317   19.6428248002
 136.6750608907   49.4726998969
   2.1029866796  -21.3389214251
 245.2962091278   38.0192866533
 253.7837162260   48.1643857691
 263.8320919047   -9.9393754653
 137.4451193564   24.4410791536
 346.5713364332  -37.5361381393
 319.4774737261  -15.0331160146
 283.3327036064    2.9034328519
  64.8129906756   15.2685606395
 112.9100278809  -12.7425545426
 212.8229653572   27.4160717652
 208.8740403338  -74.5859905989
  72.0331839072   46.0349916301
  65.2319058280   -2.7966120524
  21.2096865654   73.5990276646
 112.8032082441  -58.9222758952
 206.3185421299   17.4039697118
 179.3493429396  -35.8060696940
 169.0920957423  -47.8455682234
 302.9215590227  -34.7987086555
 255.6770555009  -30.2176726734
 110.2611109811  -68.3239058912
  14.7301337763  -24.4906200378
  65.8629853820  -44.0786579053
 330.8181619869   -6.8422485087
 306.0195935826    3.1435848256
 325.7175945520  -34.6815153353
  18.8368222793   -3.7641810997
 165.1590739314   62.4422088698
 122.5774458273   60.6302795783
 327.2329330681  -56.9766902376
 149.8840666397  -46.5423901051
 135.7789281857   27.8886946326
 185.0524936467   59.7093006364
 245.9927406604  -11.1494664891
 296.6055948665  -14.5704145885
 274.4166355872  -51.7419505928
 143.0794166070   -3.5025120815
 301.4446944656   68.9379938868
 342.2102462793   50.1402753662
  93.1977190123   27.4571438908
  12.1815817032   33.1749107816
 305.7046754626    3.4684588005
 252.5749735496   76.7253013384
 166.3334666139  -68.8232585277
 328.6183724781   36.2208361156
 311.1101994298    3.9040214209
 358.9430968473   34.0035617143
  11.6681770369   24.9299375509
  40.3058935643   52.2613095928
 116.8916773672  -31.5182318573
 352.9371329806  -11.8686624401
  46.3380866572  -34.3797685713
  44.4706647449  -56.7240521518
 272.9785377746    6.8221490926
   1.3197240984  -48.2521215325
 255.7966766070   -5.0876611617
 196.9112221565  -48.8140968928
 310.5175672917  -61.7119623159
 294.4581842238   77.5237388015
 299.8953653416   67.3419847678
  57.7611773070    6.5918108120
 340.1459397986  -48.6966656669
 273.9284132739   -1.9033105339
  73.5449727261  -64.0307070968
 265.9337140048  -77.8037238747
 149.3676379336   29.8663059858
  89.9789009915   16.1944456036
 211.1967716007  -11.9145225384
 287.0439067055  -48.9648135241
 143.9201993525  -30.7869632925
 175.4453410037  -43.5015706870
 301.1973278633   17.0176350421
 120.1738249173   33.7212260067
   7.9610407239  -18.2131857279
 220.1246781897  -38.6198410338
 159.3535937086    3.9595423390
 260.6235494688   18.8958746542
 143.6111726468  -29.6613011632
 292.5165818063  -32.1101459056
 143.1728486924   44.7028844452
 172.1135644052   53.4829162069
 242.2340546630   -9.3349642777
 214.0015250259  -60.8610661596
 192.9884391046   62.1122275561
  71.6786745779  -65.9101469468
 262.4632024117   37.3777532507
 134.2561550402    2.2355483137
  68.8552931130  -19.7711404492
  96.5903457645    7.6438639081
  89.6597833960  -37.2076877344
  58.6960677028    6.9070462404
 273.5423086497  -49.0516738884
  91.7882229868   -0.0483389922
  27.9629464304  -50.4528551329
 244.8311205318  -15.3945667024
 122.0587133013   48.7576603315
 238.2560630642   20.1266993445
 245.4357910000  -24.4765829282
 108.0758231992    2.4117057419
  69.2418095032  -33.3840307280
  79.8406838484  -12.7648129569
  39.4891398497  -19.5172327691
  15.9709740894    3.4380623632
 327.4915868147  -59.5541556197
  76.6288381327  -68.0110607496
  81.1932667014  -28.0639128190
 209.9867826387   45.6291819612
 328.5136682799   27.0892744063
 284.6661885153   48.6572488390
 260.8553500659   -4.2194876462
 117.5567283373  -40.9888605992
 135.7399046403  -25.7674290450
  78.6668479799   40.6790926390
 330.4605930208  -11.2380549397
 190.3079045924   30.8739615661
 282.6451767507  -45.7754063132
 133.5938567013  -36.8704314656
 335.0364392634   80.6660160308
  35.3030731004  -13.5002700989
 252.6675902307   41.5195247080
 323.5423162846  -12.2116389377
 300.8270764927   59.5345885530
 104.9702212912   44.8417725242
  92.1163408758  -30.4196341903
 190.4090628108  -26.3078401399
 149.2160793595   -6.9766849295
 138.9701857170   28.6734633613
 336.4710155662  -64.3651582614
 229.1691373377  -26.4108806442
 269.4455810072  -42.7372995226
 274.7190666630  -58.4326366045
 144.6119404667  -28.9356019750
  53.4513598121   81.5813198255
 190.9416191405  -41.3418813991
 256.4226737854   45.1896587543
  67.3745860213  -15.5799137509
 168.5207004987  -31.5723511765
 287.9862549030  -32.3463216340
 279.9648388274  -55.1204127050
  65.7468129828  -25.7671062451
  46.3958082191   55.4084441127
 250.5432761995   31.3310991622
 134.8977340838  -41.9465626786
 150.3872588308   -4.0442395735
 278.2983753581   41.8692964212
 353.0718689932   17.4664417618
 323.1811291666   12.8823544554
 305.7416294123  -74.2112108123
 283.9601899573  -15.6591750811
 218.8546673636   70.7236144177
 192.1624178464   -0.9337732908
 306.7589460805   -9.2278149770
 271.3955463678   34.7531759526
  33.3091494132   -7.2240701753
 106.7015179970   41.4767181805
 122.3705594966   48.2826616173
   4.6095412616    9.6578404392
 226.9538548986  -25.5741267909
 248.6690746031   -6.9051686543
 209.6930690097  -74.3926742536
 147.5492293077  -20.6139184696
 197.5572028522  -46.9331561712
 200.3534735167   27.2234767449
 281.5979298666  -70.6555739226
 350.9978220158  -19.3801704864
 187.9348800464  -11.5135232807
 187.4562117292  -22.1941392562
  60.3614135214  -43.9390855560
 113.0456884456  -49.7323016059
 315.8430208280   76.3748748036
 109.6402054778  -36.9172369744
 251.4550870444    7.4397773120
  98.4932510836  -15.3624012389
 314.1612222790  -30.1912779598
  95.0713577463   57.8584548309
 318.9365332099    3.1913896705
 357.2586176084   37.3492490240
  35.9865605985  -66.3708601321
 166.4269213960  -67.7112208972
 248.3768324779   -5.9092076916
 341.2777670005   28.4399231454
  43.1721199452  -38.0693384872
 297.7546508374  -70.9153091854
 168.9590006909  -47.4532541581
 335.5126110130  -30.7748780450
   1.2971904688  -31.7375557214
  58.3330677165  -49.9645301473
 199.1575174386   49.6450822216
  48.0943442606   34.6733799744
 112.8707470302   -4.7702396872
 211.3047239288   30.1824674086
  59.5077615767  -63.8988644507
 246.5768658989   26.4862526827
  87.6378586454  -37.3597016209
 235.6230682409   48.5239798169
 150.7833779111   42.9680136461
  95.9130663449  -58.4338532952
 106.7812355069  -51.7861278622
 333.0658009669   25.1317387208
 100.2616987323  -24.9016937053
 301.8287411937    5.5142176308
  62.4604871264  -51.9224530069
 127.0499133633  -41.6879507993
   7.9000750203   49.8351947720
 164.0066613412   36.0451757575
 149.2182784171  -17.6947931996
  31.0771749967   39.3837429784
 191.4532068638   62.3403993068
 119.0727734725   15.3358491183
 109.3106888491  -69.7710034149
  24.7540015281   -0.3482923794
 165.0592622495  -74.2622890154
  29.5027366736    8.2217827872
 358.4762412317   -6.9405209492
   3.5032093262  -27.4574299341
 129.0209038554  -22.6326743663
  62.0672353632   51.7833847055
 176.5748304051   24.6968920974
 317.5358250992  -84.3128890524
  36.6332205623   55.9900926118
  94.5129722889   25.3957552999
 251.8309869558  -27.5219399648
 189.5798793917    1.6430624316
 225.0336042541  -66.8278853198
 215.3222495557   63.0808843576
  21.2363826512  -61.1497603341
 284.8184680731   22.9137908220
  36.7617170054  -44.7719425854
 241.6249697129  -35.3506611479
  68.1089650998  -62.1653351485
 357.5524224413  -25.1768055089
 202.1365718977   56.6041762593
 226.3101056816   26.1219852469
 226.0111053694   26.9662310165
 307.8524656073   -3.6048177990
 109.5460069602   38.4946794026
 154.9723206931  -24.2588798445
 232.9960319613  -30.3332279858
 358.7885486599   42.9533070828
  66.0984749267   33.7266251510
  64.0523366803  -23.1316417366
 343.6160996312  -76.5233295495
 245.2683366039   66.7327348849
 335.4909783206    8.8209723780
 162.0005387512  -28.7933241742
 209.3598480940  -26.1815133153
 118.8698953284  -24.8060676423
  69.3562245996   36.7981486982
 231.1855501858   73.6130010002
 262.6801714215   15.6385266709
  57.5035878073   66.3962673282
 121.8281078600   29.0985504806
 256.5616842215   26.9292268512
   4.3084341017   21.4743283308
 277.4856942270  -68.6667943451
 272.4683069731  -11.9771740834
  34.8857965514  -61.2468221047
 297.7257055713   30.7768972332
 178.5321186059   43.4699538579
 191.3826021536   43.0565415145
 339.4846618092   10.7854718179
 139.5007022448   33.4798095419
 170.3975885846   12.1420858651
 184.4743983150   76.3810592302
 240.1243934694  -33.5802374814
 320.6139680072  -74.2174251643
 143.6043675970  -51.9948755856
 115.5371892873   73.2011552752
 308.4553891834  -43.0240719869
  34.4178170661   -2.0439091011
  40.4352238930   30.0976107826
 171.9611402944  -49.6463370305
  76.1952446198  -26.3573446527
 182.5461189621   11.8587097850
 195.0558424215   18.5680798911
 145.1814772190   44.2097275237
  70.9308158869  -57.8566690405
  87.2901226063   27.2669479928
  77.7396560170  -14.7471582377
 230.9218790911   29.3912895864
  28.3926090479   76.8800787142
 355.1235064629   44.2369854548
 280.3153997599  -41.7573049753
 240.1085687599   34.7836580854
  87.2667556944   61.8422814949
 263.2334875138   73.4108689683
 248.6940642673   25.9595047681
 198.0837028759  -71.0406191527
 316.6554314262   42.9001715457
 177.4224952805   28.8980417190
 305.1190843709  -36.3368979523
 287.7960202693  -30.0335529986
  55.5316928539  -83.3715959923
 294.7509115115    6.8166842622
  32.0496908595  -52.5344828659
 179.4024139380  -14.2513788154
  19.7670242110  -67.5949920090
 201.0604229764  -58.2982798159
 241.6557364960    0.9257512581
 281.5929267986  -13.5488390217
 218.8084690504   59.9670640525
 261.2489078403  -36.0911744427
 311.2506204347  -18.0565874254
  63.7635702945   34.8503969137
  57.4441537131    8.0061078172
 149.6163870406  -71.7289669001
   6.8573841019  -13.0216315061
 248.3815468362    5.8395221472
 279.6650790361   66.2579546173
 114.6697414735   33.1022142861
 195.0022278500   57.5256539081
 325.2590796936  -37.3505314585
 171.4579839451  -83.7158186567
 245.3455849865   21.7513503165
  21.1976573508   11.1498857163
   3.1774684626  -42.3629048888
 288.6824381297  -16.9424765908
 155.4073091741   -0.1052972800
 156.2624397552  -42.7830042680
 137.3669195770  -60.5334601675
 161.2913220525    5.1984703077
 297.0691660031   -7.3594790712
 149.7346459879   35.0853361832
 134.8963672750   34.0977692138
 200.2807739940   18.0355981951
 266.2739885542    4.0298707591
 355.4847783501  -47.3434145274
 216.7315655090   31.5798171836
 228.2892985937   -7.4046065352
  18.8108075265   36.0216492858
 230.2109511558  -29.1683658610
  18.5038868826    6.6704089709
 223.2655173426  -25.9441943951
 185.3039772126  -46.5284693578
 110.9473432773   44.3073846144
   4.9731642422   52.6731451869
  97.4794197016  -35.7350293754
 102.4453041542  -25.0314190091
 198.1359475667  -32.7933098703
 213.8689234849   55.7668619878
 330.5684910779  -35.9000758128
   1.7027624060  -26.9162308417
 155.0344551855  -12.4282928288
 220.3550337313  -17.0169915826
 261.5761552390   42.2266424237
  60.0697678107  -25.7584236800
 201.5270430333  -34.6550830643
 194.1713671225  -29.2632597879
 291.2161232253  -54.9185181707
 148.7713692520  -37.0802313719
 238.2379247205   11.8329472187
 322.8769002610  -63.4262114385
 270.5711650263   43.6523911980
 128.7664416807    5.5003723766
 343.3720190258    8.8541788330
 133.2584634217  -37.9736182454
 242.8350480960   28.8289855052
 293.9822868996   -5.1743557038
 173.8113325988    1.8461326364
 338.1737713759  -31.9948718357
 224.8861358352  -14.9615157105
 271.4890004422  -50.8165725825
 246.0126825884   13.2179133939
 322.0732604950  -27.5235879771
   2.1834949263   42.2353385659
 352.4022160821   -8.5270490149
  41.7924080648  -20.0315995161
 346.3861887849  -10.2630122596
  82.7523328143   -6.4952693044
  68.4129097047   -1.8426163282
 174.3024630465   20.5022240814
 157.9047917455   52.8426738383
 127.9736994198  -79.9078845368
 121.9182936255  -54.2553568889
 105.9009582817   25.4051283470
  95.0334566020    9.2702104729
 240.6004782272  -49.9218230929
  76.2045141689  -31.8667506011
 151.2215946736  -23.7797467899
 134.0235442910  -79.5287371885
  39.6850804038  -66.1008688011
  78.1486982640  -47.7205104459
 337.0669963889  -36.2499719127
 138.8269632309   34.4561888076
 297.0374043645    4.6578444737
 214.0222919071  -15.0864751478
 244.1686497402  -27.9183255788
 259.4292500654   53.1769742754
 147.2226485560  -25.2383304020
 127.4183844757   31.5406154494
 331.2603714109   57.5188497180
 300.0038737158   49.6381395164
 322.6968273932   62.3633390846
  68.3821103763   -6.3482785034
 202.5003228760  -74.8944959357
 140.9091312978   50.9469392477
 349.8520281690    7.3660102592
 206.2871686936   -4.2513430066
 299.3264260285   17.4547142448
  25.4246372367  -10.5700872605
 206.7399236281  -14.5234978663
 209.9737019005  -25.4442424363
 327.3654158724   10.5531244700
 192.3379468228  -72.2554575593
 324.9304924491    8.3520478175
  20.3730423688  -64.2033766552
  46.3062576031   22.7668680033
 346.0251371027   -8.0835955698
 330.8004904430  -16.1102313444
 228.4991720894  -33.2782681572
 333.5210322841  -60.8135959289
   4.9323993267  -31.7217953160
 123.1616986257  -38.1243272511
 115.2206714357   45.7206750081
 277.1123670399   50.2700107780
 297.4009025492  -32.4568453522
 199.6607806048   -4.3914606764
 259.6041497003  -72.5178415758
 138.6624470585   14.2912055547
  61.2022382158   45.6700094178
  44.2735547347  -26.1898442129
 268.8525112804  -29.6325015145
 308.4269906133  -15.2166439841
  93.1339251676   -7.2757408720
 215.0918258875   73.9554748314
 130.0000209015  -11.7941214445
 356.1502293947  -14.0220647731
 277.2443696554   65.7222380078
 142.7398733572   11.1167685742
 251.2657333690  -74.3583458056
 100.1517919575  -12.3138213640
 198.2293564891   40.2734293818
 249.1738865883  -75.6442374320
 322.4694108739  -29.6437308458
  42.2504556223   15.0733914019
 344.2665645657   57.2449669806
 170.2074199851   56.6692673395
  13.6571298514  -24.5571169263
 305.4237164972  -22.8897719168
  83.5348499231   27.2601598698
 296.9890985388   56.3598528912
 288.4717532866    9.5873292770
 337.8772211407  -52.3683425728
 239.7337741509  -34.6510197352
 192.7851362128   54.1183926493
  37.9223474466   19.6081475271
 302.7339678231   82.3245750888
  54.8105266707    3.2923754181
 183.6980769912  -36.1797952287
 332.3899816599  -69.1562617701
 225.7967623283  -39.7149332479
 166.2652172935  -48.7382705824
 203.4905403421   25.4180922499
 269.2838009684   57.3333878235
 349.1563016014   58.2944244802
 209.6000674426  -72.6855981047
 118.9608130780  -67.7027935532
 172.9594621711   23.1960742701
 196.5939246132   -8.8008563547
  19.5081354553  -47.1476684322
  11.7796163799  -14.5704084518
 215.2002148362   32.9642400375
 327.7252123151   72.1803068923
   1.9824241781  -39.5528826259
 285.4222998419   -4.1818322744
  88.0896109054   -0.6530666060
 281.8798974336  -37.8509524809
 103.4699278114   20.1994698945
 160.2572906079   15.9376643298
 337.0092859983    7.8831182674
 337.2650482159   30.3289418485
 339.4671923508  -73.2076169789
 222.1344646995  -50.1437738125
 210.7063978493   39.7186769514
 218.8972430346   26.5097336959
 231.2563824538   15.5177972429
 122.3334139340  -22.9310904781
  76.1333294398   59.7296607804
 141.5411922804   67.1890170737
 110.3678027387  -22.7910193404
  82.3865760125   54.2210588894
 193.9438776756   26.3204987345
 235.7444766827  -36.0742515703
   7.4417579030  -23.3204721176
 358.3806265440    9.4463930593
  34.4382269124  -15.5087206860
 140.7319186761    8.7094709909
 233.9062100233   33.4503760753
  74.0533074509   12.4298010819
  87.0891412977   -9.4380979338
 232.3269860252  -17.9575744545
 293.2847916382   45.6914883505
 198.8641754936   -3.4623341932
  72.5681607716   -0.1727654678
 286.2438287219   45.4321613039
 295.1004275184   22.0120782949
 254.6073673605   23.5928035774
 342.5710783745   10.7031270280
   2.8842347889   73.4033385703
   0.3131579987   30.8877211397
 174.1301296884  -18.2143749838
 171.3622747616    6.3558906210
 207.6471771323   15.3554133919
 344.9161564045   18.0512255416
 138.0922244033  -21.5706146053
 213.5150142489   12.0893128635
 223.0399452606    0.9976741190
 204.1853223675   -2.0562959530
  39.7254516827  -17.1186547055
 144.1003743506   -4.0552630739
  78.8138780800  -23.3415329435
 280.9547729736  -17.5676053199
 278.8716856484   64.7590258193
  55.7263812177  -40.2270961068
 257.3958227462   46.6214561584
 331.3361967519    1.4458310491
 179.4947614758  -19.9354681726
 314.2219032618  -30.3338833841
 115.3584737872   58.5909955481
   9.6793258229  -35.0130383788
 193.2262549148  -73.3771790535
  63.0123600697  -38.5607928649
  50.1933549883  -21.5639755024
  72.0307508221  -42.4308707387
 306.2441200290  -24.5465791078
 299.9991098353   37.7712120951
 226.5562579930   11.4679238328
  34.7304272862   62.3694464057
  44.8225829245   -1.6421957081
 204.4618537156   37.1582348879
 112.8383223131   21.1984975585
 291.3039295631  -14.3270000169
 238.9675060457    3.4226409743
 172.6291239895  -45.6443071921
 258.4320582545    4.0044544702
  77.0927918139  -15.9389178771
   6.6792721207    0.1835005322
 101.2002912283  -13.2182136075
 221.0768431592   -6.1138913475
 163.6453529436    2.2384664846
 258.6391493417  -16.6186224659
  66.0945544203   21.5072054698
 338.6727254639    4.8187659393
 335.0156664027  -17.6996023058
   0.0894130781   17.1955211825
 357.1643503722  -47.3857024879
 265.8409841169   35.3445096683
 203.7586570471   37.1218758485
  23.2746628505  -28.0561644218
   4.7471420795   19.7442863646
 203.6638407281  -11.0942013322
 243.6276847350    6.1186798169
 256.8844381112   53.2625665328
 179.2782804316   49.7925225897
 181.9613750882   19.7664604883
  43.6783696062  -43.0655089778
  88.1940792234   45.2610873145
 164.1418952404  -46.8696299166
  44.5125196832   38.7646996377
 273.1562151249   17.8395715066
 114.1936195169   28.3512642406
 343.9485807811  -25.7235345213
  64.2517047100   71.5521092387
 334.4134843941   -4.2467620262
 264.7934115271   45.8221166494
 334.6341706850  -54.0010085424
 219.3871404344  -72.8172661100
 357.5672622222  -14.8030805093
   3.5736729331  -43.4211706822
 246.9723719171    0.8865232274
   5.6095058941   23.5410675593
 229.8197813637   45.8542781082
 166.3368044643  -41.9148900991
   9.0124830988  -16.4640488182
 314.4214140073  -15.0979806565
 250.0980439602   42.1538216161
 170.7326267181    2.3223691308
  79.4364517103    9.5180372931
  18.5142822243  -31.4992127530
 215.7786106306   68.5483415986
 340.2547915095  -35.0529351707
 205.5744834026   27.2499683669
 307.6907529102   30.5685866490
  49.9566429770  -28.8247033307
 300.4445804036  -36.2340347198
 198.6190878808   -2.6871159123
  58.3087218050   64.5241394853
 265.7420755121  -12.8460445023
   3.2506054145  -56.8508285395
 103.8054398049    1.8327597588
  99.7375662825  -32.7129900494
  14.3559643359  -30.7962245247
 254.4912308572  -38.4323413424
  75.4288212222  -59.7749726771
 186.0996829748   30.6784892938
 278.0748440390   28.7454037363
  22.1556375554  -83.3847930697
 107.2612649328  -26.7876890905
 130.9783246548  -19.0544295630
 332.1352137360  -24.3706908862
 243.1629584492  -14.7694352961
 353.9645378961   29.2882569250
  34.4261037583   -8.0338557504
  96.9742709102  -46.2794271534
  96.1846583009   19.7257394008
 302.3943721432   18.1057742293
 327.8682274792   75.5505451950
 101.0904268437   28.7471200632
 238.8482153901  -10.8015265737
 147.9811713914    3.9119619878
  28.4243670301   -1.2901789273
 266.4648112831   -5.8020164298
 190.9931608720   45.7741903733
 158.4082453676  -69.0081837129
  95.7576883604  -69.7893421203
 100.2788059021   31.0351947261
 277.9797899640   27.3193308066
 147.9254886639    7.2850991478
 102.8384023867   -0.6167982721
 155.6938803158  -87.6811356268
  98.2878878832    9.1108390901
 318.6345767749   53.5461594190
  71.0233677644   35.0866693259
  90.8430881242  -27.2485428947
 238.5036414225  -48.0182341280
 347.1580623425   -7.4134146921
   6.9368264588   12.0669667551
  86.0636289443  -24.0583201853
 261.5052952462   12.2575416182
  90.5986598293  -73.8954828319
 323.6078320454  -12.6943865913
 122.9156598341   63.5068770793
 175.0200058952   13.4996740930
 259.1577074268  -17.0268373835
 234.3711894210   -6.2640999367
 111.5835346514  -64.3156409853
  28.4978623916   43.9653286593
 173.2157661652   63.0050235843
 314.4505761819   47.4367695151
 146.2160241215   47.8841117547
 334.8965884763   84.6306673340
 143.3132950749    8.1501757318
 118.5615927867   41.8083880740
 337.6572518826   40.2818122938
 331.9912432141   30.9740999718
 260.2841711621   -0.8569138024
 107.8566548604  -51.7488664018
 119.0714052015    5.0520212263
  99.9789525861   18.3915264498
 282.0029353296   27.5400412709
   7.1196505228   12.0889586247
 314.0845333579  -69.5834585976
 147.1740007305   23.4944780949
  90.3153461016   13.6737271822
 338.2070911429   35.4298117253
 306.0260439873  -26.2089318059
 260.2646191636  -15.7661773897
  86.6453530344   13.4118129104
 348.1947782207   37.8220913948
 343.5250927935  -10.6611723561
 130.2648756002   69.1818990482
  97.2742512757  -19.8937098961
 107.8749479243   -7.6490805045
 237.2510920664  -29.8668413348
 280.7404010891   11.4750127502
