            lon             lat
--------------- ---------------
 223.2733266129   -4.0502631532
  82.0209261631   74.2151144830
 246.0033031841   63.9295409323
 190.9166046788   47.2620012267
 140.4960852833   11.5111505590
 115.6384250335  -16.9695083548
 286.3330166773  -28.5997701474
 121.6786678361  -39.2952429031
 169.1497031029  -51.7101302404
 163.4286704961    9.7467151695
 162.4543299391  -65.6052272491
 206.5848219584   17.8340287915
 261.0942499471    1.2604469917
 218.9060973561   41.8911306028
  15.5765891208   45.4548314859
  23.5650443178  -47.0012250733
 190.7252435253  -12.8188192740
 214.5315314534  -20.5919242262
 255.0273414330  -13.3593165892
 158.3579665931  -43.9926524614
 148.3335041044   -6.6131164249
 169.2186468732   -5.6066416001
  75.4690196272   12.3808689440
  12.5437827474    5.5679298118
 120.5543025463   39.3997953354
 170.4996854600  -12.2651904166
 293.7399045430  -21.2502676525
 121.4216020229  -50.9633120968
 190.9076683623  -42.8280021906
 317.6740501921   34.6578108917
 291.3708756860   -8.3639739156
 187.3046120287   -7.6301841717
 235.9542408125  -27.0316803026
 225.6829007925   23.5784296552
  30.1567909587  -21.8123416701
 104.0052929892    4.4885199912
 139.6453802894    1.9663668780
 265.1237258229   16.6857326636
 226.7368481064  -22.8614177846
 164.0254143166  -35.1358650748
 188.2749346121    3.6954191416
 134.5768081116   26.2297979929
 317.0731954975  -73.1077657985
 263.5984289736   34.1097660398
 353.7961291385   -9.9034485781
 204.7561272110   83.6772621169
 119.6176391223   31.2157359769
  49.6791185421   -1.9225191425
 144.3666571974  -52.1795907027
 250.5587042235   62.3755691289
  93.0711125435   -3.9453953793
 188.0458344801   38.2656707465
 180.8841740324  -63.1750977219
 257.3969341035  -30.2912658856
 144.5939843172    1.8579718623
 220.0512223017   51.4040051839
 101.0863392037   17.3175247980
 114.1466728745   56.5202426544
 356.8828261130  -34.4301838525
 234.4426226983  -22.2568772881
 119.5274496236   54.5391847699
   6.7968051110   -7.3893471263
 108.4428434252  -10.1636373869
 336.4435535007   17.4608079203
 301.6242112599   26.2141140096
 106.7389261243  -61.4629327269
 183.5679793221   12.4526541720
 123.6500120877   -1.9289505279
 201.9412636440   22.1965508325
 119.1738954986  -31.9330495322
 292.1841218667  -53.3278372300
  51.5619126668  -12.8978628300
  87.7631468848   62.9246619258
 166.4208799741  -12.3413276282
 105.3185780095   13.9181315796
 340.1996131709   42.1160117058
 354.8654932221    8.4719720021
 192.4982944042  -45.2320972516
  52.0386898517  -12.5711016684
 289.7941978065  -45.2744658461
 280.7749158067  -33.4394908346
 116.9796375126    9.0554194774
 349.3598150884   58.8912338250
 173.9049864512    9.3547085073
  77.7266931140   55.1087210996
  54.5419575746  -12.3796381588
 344.2977241491   32.1828182775
  37.0397825849   35.0646250439
  28.1803014802  -47.9212224675
  16.7632937038   30.4809868140
 181.1591631188  -71.8782232340
 187.0577565433  -45.5654277104
 218.0526495403  -37.0476029461
 192.6155031247   23.9946131525
 242.0298468902   42.3365333103
 271.1085610027  -42.8672364250
  12.6340015351   -0.5412009644
 199.4336508062  -24.3012862174
 242.1315467181  -34.3763695206
 259.9938967334   15.6105811815
 349.6187419555   -7.6805576693
  84.1830608664   81.5038761400
 152.6600106298    4.2735280455
 260.5521192651   31.6374697724
 328.1605565594    7.0338605611
  64.6802505647  -13.1035431665
 127.7351055538  -53.4392001441
 210.9631080573  -24.5506404998
 125.4346786828  -33.5680996332
 126.5869043527   -2.9528787725
  27.4102665681  -62.6781704336
 188.3982108610   66.5540399453
 288.3092279882  -49.6350363478
  59.3375084231   12.1919921574
 287.6880878434   -8.7900879462
 279.3564493902  -27.8042983257
 151.2993566159   -6.9427344236
  78.9395887851   -4.4582930865
 101.2264570965  -60.8103842196
  47.3472087434  -13.3169615810
 229.2712291082  -10.7391606745
  82.3395342355   -3.6223536733
 267.1559980958   23.6723905241
  43.6290840150  -33.8979609846
 118.4485780438  -23.7350737929
 295.5086325773  -38.1830996761
  82.1045017892   37.8360407558
 351.3020019969   82.7655641224
 226.4678103737   40.4198239218
 106.0554138322   20.9669531682
 146.0707306021   34.9244159319
 288.3793713644   -5.5760351958
 147.5077482685  -37.3230073271
 160.4828750473  -32.0787407162
  70.1777254203  -77.8830143725
 116.2969010940   46.0837170783
 305.0117805942  -18.9924039646
 282.4352035736  -46.1127078509
 217.2005033784  -77.8192106416
 248.6809196390   58.5901607918
  39.3253827561   64.1745323334
 120.0091206100  -20.5950656871
  11.9419545107  -12.3288661097
 200.7922090611   45.5441421399
 283.6103790863   58.3161977780
 193.5314669115   10.6112162532
   7.0440298091   23.1399658807
 108.0726577123  -17.5782443015
  51.2179041145    1.2125435868
  37.7995192329    6.0445212646
 319.5670458800  -52.1156988140
  33.2444218600  -59.7988970821
   3.0225715076   14.4696526892
 292.9583015606    5.5671058844
 332.4216048497   32.7690497317
 271.2830580366  -35.1583899825
 250.7653817964  -58.1104567261
 306.1716585095  -36.0130271309
 272.8322017288   12.7124040737
 150.7852209620   15.1068037731
 162.2148137571   32.1913809439
 329.2004851276  -25.5145665566
  33.5534324612   18.4551464304
 121.7151025814   46.3526969665
 147.0061191305    5.8674477207
  76.3053819061  -60.4186400435
 290.5155130649  -67.8216861254
 358.4792474969  -44.7435030085
  76.9291912315   41.5287874620
 186.7137449930  -12.4573385130
 214.0995099621   -9.5365473395
 183.3379042336   68.9174950684
 234.8201963284    9.0689417017
 249.9947349181  -58.3093714869
 172.2990103083   -5.7340142538
  17.4157438623    0.7323509809
 222.5927784178  -24.5213790605
 252.0939650214  -53.0278743473
 232.9467119314   -1.8235756862
 243.1307784255    8.2426153565
 211.4519490893   25.8459116708
  24.4347373750   46.8780426614
 278.1543583967  -13.6480106642
 312.3310888853   28.1359665744
 331.3201348544   14.3441111788
 166.4289774040  -76.4332116112
 315.4036613601   -7.6694875424
  90.5164326551  -70.2766287943
  38.8426825686  -12.3437327839
 339.3815483171  -29.0505553661
 181.4990250759   -5.3153875115
 186.8895858422  -14.1456251430
 265.0952932915   52.4444402070
 317.6272369863  -21.5032408508
 157.7595971666  -85.1240678001
 347.5531311247   17.5547289498
 359.6095926313  -18.5126944898
 119.4474094692   34.4209707615
 206.4530876942   78.8617124354
  77.3649792105  -26.3462277135
 346.5502896968  -46.4362883111
  45.7101880562   30.6223904799
  43.1075523508    2.7997929308
 224.2736252680  -55.4388848756
 140.8597946776   54.5076981502
 285.8343955031    0.2280838539
  45.9366782345  -30.7230185612
  88.6720016312   26.4697277696
 147.6160556625  -60.6435007815
  46.6886353234   31.4194729936
 327.9803300115  -59.9041071335
 138.3215051686   33.7633292477
 140.9983289452   13.2102335959
  80.3345046459  -56.8703091287
  24.4386539095  -19.2163004385
 149.8134009735    2.2925139066
 347.5923002666   15.5167178087
 162.8477685043  -44.4509809413
  82.9418434685   51.2072225402
 313.0153856569   52.8370816404
 136.1886040633   88.4704515429
 350.6955688910   45.9487897375
 264.6225273556   53.3825527537
 359.4375919256  -47.4092679524
 327.3435831179   82.4448725649
 320.9026279974    8.8442430512
  68.4378016548  -58.5789971691
 154.1001768936   42.1694374446
 124.3075072168  -44.6695575357
  52.2481783695  -55.9888204524
  69.8915943676   76.8849344420
 327.0761848643   42.9468443791
 318.4019053575   65.1938447925
 294.0579617330   28.9966544249
 265.1853193216   10.7078251454
 331.5660958705  -24.0825479031
 350.2658270096   14.2987808423
 336.2434118804   52.7567279742
 136.8722374355  -11.9070475393
 231.6327193804  -28.7874392147
 184.7301615967  -34.2732408792
  95.5619814791  -75.1730493829
  18.6095947674   38.4078497820
  46.2021886147   39.3888831519
 198.7743371296   52.6250772476
 276.6623586674  -35.6313510923
 118.6642088844   -0.7079153320
 349.7539715430  -50.2452845195
  33.9095170887   33.9380310558
 185.5056593992    1.7049594483
 286.2144449666   26.9182558021
 155.8888824595  -37.6097357518
 278.0927687196  -42.3840678473
 190.8679751805  -20.9839108281
 166.9186377659   50.7887232200
 352.5240869387   52.9364457098
  61.6722589203   -7.1944580928
  74.2884001620   34.8126470674
 121.3424188058   43.4469277833
 334.0342126682  -18.1227190534
  57.6310518082  -41.6027318805
   5.0187523444  -53.3562224892
 358.0390579558  -38.0587153841
  47.9294010389   31.0164975536
 183.2487600296   12.6974986627
  46.5338233520   -8.3100826983
 160.9665066691  -35.5374156268
 306.0373881034   54.4006373575
  53.5168562831   10.8940388919
 334.9626369195  -61.6794238569
 354.1322775181  -41.2478263845
 316.7484079792   46.6430780407
 206.4432652663   27.5087283114
 146.5875723415  -45.2489739607
  30.3487628043   29.7381549687
  78.0628791007   34.2714612183
 180.1853973393  -41.5709938834
 248.4217407093   -9.8567662218
 245.1319730617  -38.8863438606
 349.1027364728  -20.0343267437
 316.2668785957  -77.6887253641
 161.4073526582   -4.1986766967
  87.2866520493   -6.6531912225
 274.5874841071  -58.9962031950
 172.2840532764  -48.5632278596
 278.8797315262   26.3932072406
 163.3518596098   53.6432035961
 153.4904442183   42.4241681407
 257.7676736950    0.1445111900
  59.3675101338  -39.8896515942
  85.0111779108  -63.2809635173
  12.0449116592  -12.6031531948
  58.0973198720   32.2090276150
  40.7316127765  -12.9166132594
 116.6547699475  -10.0007800512
 355.2598067904  -25.7242670678
 285.8233569836  -15.8663004978
  76.2779303710   -3.5957176032
  65.5790142112   -4.1850520540
 328.6965622165   30.4014645021
  10.6653738649   31.7529333948
 186.2513205626   -3.9359838564
  13.3209537459   44.6356907470
 117.1648190882  -62.1987541084
   4.9934411907   67.9512698454
 305.6051033237  -46.7327232858
 177.8129621137   38.6356116851
 256.1365825162  -45.6364131975
 229.4166083989   -2.6121307250
 337.1478584665    5.6222067338
  18.4714518560    1.0839025393
  87.1938372801  -62.9606188148
 234.7928310444  -17.7928502693
 314.3911455169   24.0482933799
 349.7018779289  -24.0623222929
  38.1516226627    6.2429972228
 299.1953778041  -29.0443074903
 298.7633474367   -7.0362657695
 332.0413196380   24.9741639126
 138.3675591328   -3.7219305524
 227.8195876390   38.0707723954
  54.7681749781   69.3814925805
 122.3101398284  -18.4227351136
 341.9490937157   14.5822372975
 138.2568432683  -46.6670713509
 348.4621687001   45.5230386385
 149.5323512896  -24.8167198267
 133.8233524818   29.4667871991
 357.6688513818   25.0700166407
   5.5304826922   30.9319329145
 235.4757752253  -25.8077442404
   5.5782464419   58.2725189984
 243.4277178697  -61.1719948469
 335.6306755418   25.1006083994
  25.4888178440   33.8871674924
 217.9058737938    6.4582949461
 123.7055216737   21.2141120107
  61.9771726196   31.7839273963
 227.1151401555   23.7315433600
 149.9282965033    3.0345638712
 110.4079624419   65.3185657324
   2.3093949820   13.1544114474
 270.0912696735   19.0118584416
  12.1898906979   -0.8279487465
 261.3722799625   24.5231117938
 273.6246111548   -7.7880566787
 294.6086909006   -4.8180349889
  44.7707886988   46.1906888140
 202.7766050170   36.9710650414
 111.4470951032   10.8616567304
 353.6051608079  -10.7066620094
 208.6775575090   22.3654102275
 180.4229332089   71.0726819043
  41.6616607438  -59.1873869350
  89.5620056336   -3.7939983077
  16.4152674677  -20.6392685923
 154.1412238990   -7.0273441071
 329.7735650214    1.7396918220
 194.2882362034  -59.2316601661
 318.1482060059   16.5953900936
  39.8992856662  -47.5370158160
 344.3738349560   18.1560532291
 291.9718714762   -9.9957782895
 145.5625011534   -3.5239456207
 123.9903429290  -32.1659674392
 124.7286528216  -31.5406485365
 263.9309566268  -57.7222521362
 157.9317759510   55.5928266364
  57.0544598015   24.4961694631
  51.1124127429  -43.5211527092
 224.0917796592   -0.5050266954
 218.5316420217   51.4645049315
 312.3668863512   47.2609322867
 344.7364900942  -11.3375030071
 165.6387805677  -13.5875363401
 253.7751405856  -28.3444841259
  54.6440187689   17.0806014905
  61.6452558117  -24.1768429939
  32.5538264498   51.3434940032
 212.0137169204   51.4010941534
 166.0412250243   -5.2666434400
 147.5973251656  -64.4469062470
 193.2325667581   24.6370650538
 133.0583886792   56.4721984451
 149.4343876010  -51.8405924528
 245.9942817471    1.2045262650
 356.6849201503  -27.8156957008
  26.4382386927  -83.7209580117
 332.4283129358    7.7482936089
 205.9023881615  -47.1170667640
 130.5499833577    9.5672709728
 130.8420971592    0.2140773221
 252.5689411397  -24.0813350626
 127.1566170341   41.2433588734
  98.2745916595   16.1442998786
 163.7636796422    6.5706085773
  43.0949468271  -47.4683170102
 345.8328319569  -17.4462851597
  26.3672690533   18.6609090770
 171.3525040339   22.2220992824
 324.3548118374  -43.4073227455
 273.3407184609   28.3602995071
 235.5462320237   33.2368959188
  36.5707264339    3.7377417967
 328.4906845090   52.1515761308
  98.9438621523    4.2770565853
 107.1328066175   -6.8438483235
 137.0183963514   32.7094093158
 343.5663321117   22.6250364041
 197.2696388922   67.7881005214
 317.7995598704   62.3613099842
 129.8010509534  -34.0796300080
 189.7954375323   11.3992574106
 222.3392690413   -2.8762927207
 351.3761071234  -54.4871034633
 140.9088409038  -36.8781482580
 182.2056838805   34.3114596097
 173.9231363796   -9.7124758078
 139.7574415452  -48.3575647587
  16.2718728293  -10.1904938529
 210.5590202605  -28.1385238369
 115.7448404687   10.2521168305
 319.5265736130  -49.7577305848
 332.9372418359  -63.8045512634
 353.2119067098   -1.4076352821
 232.9913484816  -66.6895641144
 323.8652459312   10.3505277349
  72.5727807089    4.3385605335
 335.7846605819   -0.6715551791
  28.8773920617  -13.6314277495
  98.6174206600  -55.3448632054
 317.9036548771  -80.7885562862
 152.3112338628  -10.0565926921
  19.3951248591  -57.6264180932
 289.1658328595  -53.3603256864
 218.9738753069   49.2499207244
 262.7721506229   52.1594812981
  12.2161043543    4.3286847357
 280.5539035421   -0.2164404984
 111.3454046273  -60.1907404911
 179.1955306392  -17.1853010473
 146.3013316790   58.0265621786
 145.4877964339    0.4601190164
 309.4106515184  -35.4243796244
   3.5883025036   -4.9292296127
 131.9405942381  -49.0645503847
 257.7287874791   16.5255719793
 309.5269226524   -6.1367886088
 307.7921676363  -73.4658006674
  83.5897070892   29.9375515311
  39.2825410401   16.2684356733
  17.3539706246   15.4201138621
  90.2276973949   24.6541408630
 271.0745479867  -68.6445443873
 125.3977615846   32.7553306201
 130.1898580475   44.4181024047
 107.4821426796  -11.8208682848
 135.8177265142  -75.9658490037
 314.5466090569  -11.6022656084
 125.5024241761  -22.2546769865
  83.3937568579  -43.0771541857
 231.8857871175   14.5105924937
  53.7416554947  -41.6616862355
 262.1445815031   13.5319734248
  59.8402357333  -36.5680729993
  41.1128765076   -4.5251888015
 160.3517140838   49.8697944110
 214.9501580215    4.7988503786
 359.7737515792   47.7313495365
   9.2030027771   57.7711288706
  55.2343485673  -14.0610129362
 147.2876544873   -9.8713290516
 306.0911236980  -31.8714015015
 293.9418145296   -6.3727914925
  69.6769315036   27.9478000382
  71.2113987845  -35.1063963840
 164.0250411153  -39.6330523531
 312.0135940384   42.7912731758
  53.1773924279  -16.7974515405
  58.8392279521  -10.6553524855
 345.8034741820  -39.9764281685
  41.8369968969   23.9933270109
 113.6487685485  -48.5922262662
 336.4219851384  -23.7392966706
 172.7731302153  -39.6481123146
  87.5777030695   56.9781192395
 255.4291759705  -20.7035015049
  32.7207312175   33.3822129172
 137.3645397031  -42.6587058283
 264.3252364528  -71.6389410203
  87.9966366109   11.8914546223
 300.1124586061  -26.5966270904
  73.4063882246  -39.5957857112
   1.1550696229  -45.5484581149
 121.3934292361  -54.6364953887
 298.7045515067  -41.2079308427
 225.1596403470    1.8657408924
 274.6828447052  -13.9248876281
 295.4797112895   30.8525220819
 276.0652565313  -19.9656897902
 312.6700743119   71.7680230646
 283.6720344830   61.6345000071
 107.0823553747   12.7969175956
 142.3360609739   21.6429692154
   2.8631523253    2.0415817726
  14.1443760791   25.3609050873
 151.0347407888   68.6678676837
 188.3227432407   87.1744955421
  25.2498958066  -37.6439154060
 332.8728507940   47.4213925733
  56.1890368285   27.8670753279
   3.9640526561    1.7290691882
 337.7194038010    7.0260569076
 343.4684405844   33.6460773687
 304.9812001311  -26.6980395735
 128.6469634527   41.3522714096
 240.4995722188  -65.8427373941
  73.7957940352  -29.1085082186
  47.9460076980  -53.3510895491
 166.5117401274  -28.7809152476
  52.9940755062   30.6233346121
 131.7070574997   51.1238507386
 204.4228983257  -11.8496814338
 195.4841491718  -29.9761097909
 197.8337088417  -12.3199131446
 292.2746543373   59.9807846949
  12.1663931293  -10.6383212011
 145.6269606332   31.8626207062
 258.0870476862  -14.6240106514
  85.3995916969  -21.0306823483
 221.5524545071  -56.4703044206
 280.8573687770   18.1159921232
  74.3988678090  -22.0667082864
  62.4027433883  -24.7881491090
 249.4880574750  -35.6912961912
  15.2789149226   -8.2457388609
 251.3344996537  -38.5978314727
 332.5896386262    0.4930122761
 243.1071316717   39.9128892494
 273.7255462246  -20.1840937558
 282.6250761848  -35.1546567400
  49.3263672961  -38.8879468846
 331.2225124122  -20.8478592036
 298.9778677454   -3.9518636880
  25.2288771281   38.5284287947
 157.2405109675   47.2461436810
 178.6485203676  -33.2187266525
 322.2619919221  -57.0323418680
  84.5935655392  -14.4663404142
   2.6327234082  -23.2575152070
 101.4841965521   46.9754499064
 208.9031966747   40.8444220664
 303.1055333513   30.5001235548
  11.9602733534  -66.0126911800
 285.3720455071  -56.6246841838
 347.4148079660   76.0155574831
