            lon             lat
--------------- ---------------
 218.8230085511  -19.4656129173
 286.7903316757   81.8298756706
 255.7636208853   41.7059795359
 211.0826511646   38.7539066894
 146.2044685331   25.7659147343
 113.8610827490    4.4279639654
 292.0108497354  -50.8513679034
 114.8374076216  -18.4894553405
 144.9415354114  -42.1263025835
 167.9386811774   15.7664586058
 129.2043588876  -51.6405331918
 210.4337679779    6.6427151119
 259.6482914346  -21.8342808100
 229.6307171691   25.4342980137
 350.1067216842   46.5125516949
  40.3615939800  -34.4445841791
 184.0218579045  -15.7286184239
 203.5116393601  -32.0055852598
 251.0992463604  -35.7758314439
 141.6128910987  -31.9020199377
 147.5413333581    6.0769752232
 167.2559511248   -0.6210206970
  71.7782539148   34.8616006981
   8.6883453340    9.8038821865
 136.7083515632   58.0962455595
 165.8064289891   -7.2427218442
 299.5779027462  -42.3527130873
 111.7702642800  -29.8201858802
 168.1732697108  -42.4855114300
 309.0557513225   17.3670819851
 293.8128892132  -30.1104783827
 183.0119571775   -9.6232398898
 224.0303136909  -45.0824089866
 229.2961191053    6.2740673742
  35.0324713907   -9.1661150815
 104.9562360593   27.2397009558
 142.0125553509   17.0123897762
 264.6246609011   -6.6495431056
 215.3655136506  -38.3357998880
 150.4468691093  -25.7654200957
 188.4162900017    0.3899775326
 146.1238468171   41.5066354800
  43.0799708889  -73.2642108547
 264.0199312587   10.8178114682
 357.6461660395  -11.8235004314
 257.0291487340   63.3859282236
 130.7091211914   50.6482174018
  47.0720014942   15.6144640048
 127.3396961676  -35.4673728486
 258.0123724388   39.7720363597
  92.5108302544   19.4732484886
 203.4930839957   31.8887943691
 141.9169417930  -55.0176678115
 250.7947446253  -52.8471887188
 146.8485159834   15.3090572368
 234.4019768164   34.0371159748
 103.0417046612   40.2878079229
 148.8740210398   75.1424933020
  11.9746289289  -32.7236351520
 224.2968559419  -40.1179131262
 153.0363459753   71.7083828090
   8.5257161714   -4.3645050990
 107.8726040439   12.1816792002
 331.1621146346    6.8579668012
 297.6039847156    5.6896687987
  99.7200376755  -38.5636487498
 187.6290464227   10.2768173581
 124.7771086301   17.6210956577
 207.9592921637   12.3086047746
 114.3320961585  -10.8674443310
 318.8982808944  -73.1251826321
  51.8228838618    5.5058999938
  69.6508723237   86.1551227605
 162.0850870324   -5.7538982732
 107.7356652821   36.4617639980
 323.9854680449   30.7943855019
 351.2855342311    5.4613475594
 167.7023017111  -45.1258373432
  52.1928556976    5.9389420917
 305.1046992010  -66.4021353031
 285.2744992101  -56.3458563678
 120.2498265009   29.7767111083
 319.4282324113   48.1699067128
 177.5206414366   11.2780562217
  55.2573681348   76.9779918281
  54.5314016525    6.7188748029
 332.0326824080   23.1790756172
  18.1785158800   46.0565543966
