            lon             lat
--------------- ---------------
 223.2733088632   -4.0502606075
  82.0209040322   74.2151122054
 246.0032865309   63.9295434598
 190.9165849960   47.2620031256
 140.4960669752   11.5111504143
 115.6384079478  -16.9695095722
 286.3329977725  -28.5997685765
 121.6786520172  -39.2952438729
 169.1496882803  -51.7101291269
 163.4286522962    9.7467160430
 162.4543175595  -65.6052264155
 206.5848037972   17.8340310947
 261.0942321899    1.2604492898
 218.9060789821   41.8911331042
  15.5765729608   45.4548294485
  23.5650251439  -47.0012273108
 190.7252261447  -12.8188173798
 214.5315139896  -20.5919217807
 255.0273234258  -13.3593141778
 158.3579512281  -43.9926518054
 148.3334866217   -6.6131162158
 169.2186293209   -5.6066404850
  75.4690016328   12.3808665399
  12.5437651315    5.5679278629
 120.5542828087   39.3997943184
 170.4996681805  -12.2651892494
 293.7398858880  -21.2502663600
 121.4215871943  -50.9633130769
 190.9076522090  -42.8280002900
 317.6740341893   34.6578111628
 291.3708575815   -8.3639725313
 187.3045944980   -7.6301823864
 235.9542229767  -27.0316777156
 225.6828828528   23.5784322174
  30.1567727633  -21.8123440422
 104.0052750498    4.4885183379
 139.6453624189    1.9663666948
 265.1237084443   16.6857348720
 226.7368304552  -22.8614152146
 164.0253982424  -35.1358641749
 188.2749167114    3.6954209580
 134.5767890706   26.2297975825
 317.0731692505  -73.1077655011
 263.5984120647   34.1097682828
 353.7961109663   -9.9034498758
 204.7560981385   83.6772643818
 119.6176199077   31.2157349210
  49.6791007531   -1.9225217244
 144.3666427490  -52.1795906714
 250.5586878769   62.3755716045
  93.0710948735   -3.9453973803
 188.0458152396   38.2656725550
 180.8841603259  -63.1750961563
 257.3969157117  -30.2912635152
 144.5939664514    1.8579719026
 220.0512037559   51.4040076979
 101.0863208264   17.3175230455
 114.1466516870   56.5202413787
 356.8828068475  -34.4301852687
 234.4426049009  -22.2568746993
 119.5274285256   54.5391837109
   6.7967870844   -7.3893488945
 108.4428260212  -10.1636388810
 336.4435365129   17.4608073490
 301.6241946583   26.2141149820
 106.7389121453  -61.4629342818
 183.5679611021   12.4526558308
 123.6499943871   -1.9289514154
 201.9412453067   22.1965530326
 119.1738791837  -31.9330506061
 292.1841011203  -53.3278358778
  51.5618948620  -12.8978654160
  87.7631262636   62.9246597822
 166.4208627147  -12.3413266283
 105.3185597235   13.9181299724
 340.1995976321   42.1160109696
 354.8654757703    8.4719706625
 192.4982783397  -45.2320953029
  52.0386720523  -12.5711042552
 289.7941778544  -45.2744644028
 280.7748967716  -33.4394890719
 116.9796193615    9.0554183135
 349.3598011711   58.8912327029
 173.9049683014    9.3547098092
  77.7266738178   55.1087187357
  54.5419398002  -12.3796407464
 344.2977078917   32.1828173661
  37.0397653221   35.0646225632
  28.1802824647  -47.9212248022
  16.7632768365   30.4809847442
 181.1591516108  -71.8782216586
 187.0577406795  -45.5654259321
 218.0526322835  -37.0476004527
 192.6154845865   23.9946151027
 242.0298294498   42.3365358700
 271.1085417591  -42.8672343692
  12.6339837372   -0.5412029158
 199.4336336816  -24.3012840775
 242.1315286743  -34.3763669596
 259.9938792706   15.6105835016
 349.6187238602   -7.6805588004
  84.1830342868   81.5038739105
 152.6599926572    4.2735284484
 260.5521022026   31.6374720808
 328.1605390960    7.0338603598
  64.6802328965  -13.1035457070
 127.7350911268  -53.4392008549
 210.9630907312  -24.5506381117
 125.4346625314  -33.5681004439
 126.5868866979   -2.9528795342
  27.4102465700  -62.6781727534
 188.3981888405   66.5540417657
 288.3092077224  -49.6350348494
  59.3374905846   12.1919895812
 287.6880697367   -8.7900864243
 279.3564306306  -27.8042965165
 151.2993391466   -6.9427340813
  78.9395710879   -4.4582954276
 101.2264427318  -60.8103859659
  47.3471908932  -13.3169641529
 229.2712113628  -10.7391580936
  82.3395165307   -3.6223559450
 267.1559809384   23.6723926830
  43.6290659292  -33.8979635319
 118.4485612905  -23.7350748968
 295.5086130003  -38.1830984538
  82.1044830487   37.8360384789
 351.3020022750   82.7655629220
 226.4677923147   40.4198264883
 106.0553952637   20.9669515873
 146.0707110151   34.9244160391
 288.3793533753   -5.5760336992
 147.5077324553  -37.3230071545
 160.4828588183  -32.0787399681
  70.1777110624  -77.8830168532
 116.2968809247   46.0837158877
 305.0117619680  -18.9924031353
 282.4351837673  -46.1127061442
 217.2004889939  -77.8192081596
 248.6809029535   58.5901632908
  39.3253662979   64.1745298255
 120.0091037181  -20.5950667269
  11.9419363525  -12.3288680401
 200.7921898475   45.5441443120
 283.6103645122   58.3161994434
 193.5314488172   10.6112182307
   7.0440128312   23.1399641034
 108.0726405960  -17.5782458090
  51.2178863338    1.2125410008
  37.7995015253    6.0445187751
 319.5670247806  -52.1156986281
  33.2444025262  -59.7988995062
   3.0225542423   14.4696510486
 292.9582839946    5.5671072075
 332.4215887143   32.7690493385
 271.2830391408  -35.1583879313
 250.7653627902  -58.1104542517
 306.1716389331  -36.0130263517
 272.8321843142   12.7124060812
 150.7852024871   15.1068040922
 162.2147944311   32.1913817657
 329.2004661166  -25.5145668046
  33.5534149758   18.4551439998
 121.7150822826   46.3526959982
 147.0061010832    5.8674478699
  76.3053658774  -60.4186424315
 290.5154899674  -67.8216847099
 358.4792276097  -44.7435044845
  76.9291725430   41.5287850833
 186.7137276291  -12.4573367469
 214.0994923252   -9.5365449008
 183.3378812854   68.9174967196
 234.8201785537    9.0689442892
 249.9947159563  -58.3093690026
 172.2989927549   -5.7340130147
  17.4157261000    0.7323488945
 222.5927608618  -24.5213765199
 252.0939461514  -53.0278718911
 232.9466941494   -1.8235730980
 243.1307607039    8.2426179096
 211.4519308330   25.8459140656
  24.4347209423   46.8780404023
 278.1543401732  -13.6480088165
 312.3310724600   28.1359670842
 331.3201177286   14.3441108354
 166.4289695108  -76.4332106098
 315.4036432331   -7.6694871688
  90.5164192004  -70.2766308649
  38.8426646411  -12.3437352852
 339.3815291519  -29.0505560656
 181.4990074845   -5.3153859250
 186.8895685358  -14.1456233711
 265.0952772630   52.4444424151
 317.6272181904  -21.5032405770
 157.7596088060  -85.1240671700
 347.5531140917   17.5547279027
 359.6095741482  -18.5126960074
 119.4473900695   34.4209696986
 206.4530639016   78.8617147362
  77.3649619421  -26.3462300834
 346.5502694087  -46.4362893162
  45.7101704854   30.6223879159
  43.1075345912    2.7997903865
 224.2736080984  -55.4388823215
 140.8597732712   54.5076980227
 285.8343777282    0.2280854427
  45.9366602448  -30.7230211248
  88.6719831087   26.4697256485
 147.6160424705  -60.6435006034
  46.6886177326   31.4194704238
 327.9803077777  -59.9041073275
 138.3214856642   33.7633290053
 140.9983105565   13.2102334738
  80.3344886421  -56.8703114410
  24.4386356870  -19.2163026959
 149.8133830888    2.2925141821
 347.5922831419   15.5167167600
 162.8477531205  -44.4509800912
  82.9418241108   51.2072202819
 313.0153712297   52.8370821191
 136.1884901951   88.4704512061
 350.6955534922   45.9487885614
 264.6225113633   53.3825549728
 359.4375718601  -47.4092694638
 327.3435848065   82.4448723989
 320.9026106176    8.8442431775
  68.4377849514  -58.5789996708
 154.1001568069   42.1694379120
 124.3074918477  -44.6695583942
  52.2481604915  -55.9888230385
  69.8915734809   76.8849319569
 327.0761694869   42.9468442258
 318.4018931506   65.1938450301
 294.0579451971   28.9966557046
 265.1853017940   10.7078273525
 331.5660769433  -24.0825482572
 350.2658098178   14.2987796844
 336.2433974209   52.7567274108
 136.8722201953  -11.9070478469
 231.6327016479  -28.7874366273
 184.7301451447  -34.2732391791
  95.5619702236  -75.1730513090
  18.6095781639   38.4078476630
  46.2021711079   39.3888805849
 198.7743174098   52.6250793690
 276.6623396193  -35.6313491983
 118.6641911308   -0.7079164274
 349.7539509676  -50.2452856563
  33.9094998949   33.9380286194
 185.5056415602    1.7049611735
 286.2144282266   26.9182573768
 155.8888666262  -37.6097352044
 278.0927492833  -42.3840659981
 190.8679580730  -20.9839089293
 166.9186170705   50.7887242405
 352.5240721578   52.9364444606
  61.6722411826   -7.1944606559
  74.2883817449   34.8126446440
 121.3423987559   43.4469267993
 334.0341940535  -18.1227195175
  57.6310341839  -41.6027344615
   5.0187319514  -53.3562241977
 358.0390385020  -38.0587168437
  47.9293834115   31.0164949776
 183.2487417986   12.6975003104
  46.5338055222   -8.3100852661
 160.9664906523  -35.5374148577
 306.0373737658   54.4006381416
  53.5168385013   10.8940363032
 334.9626144291  -61.6794243631
 354.1322577807  -41.2478276952
 316.7483929178   46.6430783530
 206.4432468677   27.5087306114
 146.5875571666  -45.2489738293
  30.3487456072   29.7381525914
  78.0628605889   34.2714588602
 180.1853814022  -41.5709923432
 248.4217228115   -9.8567637182
 245.1319548636  -38.8863413231
 349.1027178392  -20.0343278537
 316.2668490554  -77.6887250306
 161.4073350576   -4.1986759094
  87.2866344331   -6.6531933787
 274.5874635033  -58.9962012390
 172.2840380682  -48.5632266200
 278.8797146544   26.3932090646
 163.3518385184   53.6432044668
 153.4904241064   42.4241685810
 257.7676559143    0.1445135534
  59.3674925655  -39.8896541686
  85.0111628016  -63.2809657272
  12.0448934931  -12.6031551282
  58.0973019629   32.2090250337
  40.7315948610  -12.9166157812
 116.6547525714  -10.0007812281
 355.2597879469  -25.7242684221
 285.8233386198  -15.8662989086
  76.2779126501   -3.5957199931
  65.5789964670   -4.1850545868
 328.6965459472   30.4014642760
  10.6653571754   31.7529315019
 186.2513029121   -3.9359821060
  13.3209376182   44.6356887740
 117.1648056975  -62.1987552633
   4.9934282070   67.9512681361
 305.6050829277  -46.7327224825
 177.8129426204   38.6356131363
 256.1365637216  -45.6364108050
 229.4165906247   -2.6121281438
 337.1478409327    5.6222061319
  18.4714341022    1.0839004250
  87.1938222971  -62.9606209719
 234.7928132450  -17.7928476809
 314.3911288744   24.0482937982
 349.7018591092  -24.0623234273
  38.1516049558    6.2429947289
 299.1953587136  -29.0443064169
 298.7633293644   -7.0362646781
 332.0413030487   24.9741635366
 138.3675415184   -3.7219307930
 227.8195696496   38.0707749689
  54.7681570628   69.3814899925
 122.3101228486  -18.4227360574
 341.9490765734   14.5822364867
 138.2568282169  -46.6670715954
 348.4621533110   45.5230375532
 149.5323346983  -24.8167195632
