            lon             lat
--------------- ---------------
 322.9276022293   24.2370667561
 122.5808962324   47.2060181715
  53.5480401999   57.4923166047
 318.0514905091   82.8795930315
 222.7340812406   35.7393410885
 216.4687540842   -1.4164984523
   0.1250465125  -29.4545387792
 233.5651122798  -17.0146934568
 269.8251163789  -15.5195355873
 250.4610505742   43.5300030350
 269.3137126366  -29.8173978321
 314.2220855868   50.7819105771
 359.6199116242    8.9648847244
 357.7064066438   64.4680143669
 107.4762711981    8.9512629361
 171.0869982026  -76.3386705666
 286.3180752141   23.9247003535
 308.2655890944   11.8775338874
 346.1859901481    0.5366622925
 260.8831848419   -9.5657448333
 240.1221201927   23.0125745005
 262.0608393104   29.9724000916
 167.0963484551   -1.0971784658
 109.0366448745  -30.9949146866
 180.5880601634   45.4017086280
 264.7228136981   23.6241352005
  11.4313155205  -28.3790012210
 240.6790579005  -26.6441061815
 284.3595313321   -6.0240066022
  62.4863289061    6.6147113352
  18.1743259747  -16.8578015497
 282.8708592258   29.2873748616
 323.8285596257   -1.7267211097
 342.4481712913   47.1973075187
 141.7926566311  -53.0985810238
 194.5569756726    9.3626024036
 227.3978493516   27.0198941593
  12.5508792196   18.7926733643
 318.1502534723    5.6895087005
 263.0237360375    0.0711489966
 284.6643037739   40.5595352562
 205.5719906089   44.5256734561
 306.6220488746  -62.0020395574
  24.2580535548   32.7695581361
  84.4373029978  -46.0321974944
  95.3020463733   58.8921760845
 188.0445514903   39.2934564690
 152.2310330057  -26.7204897342
 254.6750312679  -20.4104299169
  51.6492440143   55.1397673160
 190.8806461611   -3.9431983462
 290.7283322849   75.0193032379
 277.7943654063  -26.2392346878
 338.1122143301  -14.5514737474
 232.4381671516   29.1909943885
  19.6996184026   68.3169594715
 184.1314509024   17.7453207126
 155.3736444478   51.1280028614
  80.5810145001  -70.6495918544
 324.8401048297    3.1376570431
 160.4069571914   53.0328777790
 102.8953810116  -44.3154262713
 206.8399634304    0.1581510802
  71.9191125276  -15.4881645090
  46.2154577374    6.0855517321
 242.1370933781  -39.8255213323
 278.3249172691   49.4156231002
 214.7709650848   15.4791887283
 309.8422313259   56.3792123666
 227.5734380989  -12.0427683496
 338.9415535927  -48.6417618223
 160.6237312705  -35.2278278924
 137.6174228285   42.8301492499
 260.4713327144   22.8336879634
 189.7005102549   17.6293745820
  81.7080614065    7.4055322500
  88.8797622382  -27.9632401908
 285.3218269839   -8.5091069257
 160.8858386122  -34.7016096622
 347.2809703635  -42.8497044651
 352.3237332339  -29.7420329091
 202.4344275656   20.7253344083
  91.2137765584   22.5808706353
 264.7132815354   45.5072441114
 140.8325160407   33.8287911341
 163.2279409537  -33.2059673579
  82.6309461389   -3.0067397677
 125.7908605691    2.5543764327
 180.4004090648  -74.1072574668
 110.2548050633   -5.7934123252
 278.3319957416  -34.9307061963
 281.4463440845   -8.6236245269
 305.9105729708   -4.6963974230
 294.8566002495   60.3023220549
  17.6609644449   50.8972597589
 338.3871438989  -31.2197105953
 109.9096041477  -37.0618201364
 293.5306725170   11.5660031154
 324.8232563585  -10.7318579399
   7.7473110666   21.0379976153
  79.3182675979  -43.0837945325
 112.8445188274   50.7559704632
 239.9090191722   34.7232057119
  20.0266263377   32.7884247524
  60.1257578783  -22.5581486302
 173.1358339408  -28.1256232878
 245.8044189736  -26.4128468296
 303.8899221124    9.0471064509
 232.9893895870  -10.5649675774
 217.9151865653   16.1920870285
 237.1850311652  -74.5529850247
  92.7934195699   76.3349125064
 341.5944148551  -44.6249070032
 153.8320355823   -9.7209357811
  14.8873292277  -14.9994789425
 355.5812393052  -24.7554492643
 243.2349006159   23.8016377546
 179.7882765191  -12.8156892265
 239.2769331670  -41.4975970470
 156.5670795600  -37.7567507862
 325.6103340554   15.6501839491
 182.0588888899  -10.1231006204
  18.8902317469   22.9626835209
 170.8071660008  -56.3248070542
 222.4316042975   -5.5752876399
 358.3356820426  -41.6232485781
 156.4525361705   22.8948891569
  97.2059104431   45.9591570012
   2.6781837014   59.0760833265
 185.5334981621   23.5439476557
