            lon             lat
--------------- ---------------
 353.8146942276   43.0746937419
 111.3399167565    4.7716764221
  70.5025071636   15.1547800561
  82.0292445455   47.6376508227
 175.0265979199   53.1655510014
 207.5950200473   24.5551307347
 337.4786988637  -19.6431884657
 232.2425378361   21.1389503806
 269.5434548670   31.3583205229
 171.4778696528   75.7251623036
 269.1448048014   17.0573173378
  29.9838937101   59.4276775607
   6.1080713316    6.4784298183
  56.1986611149   39.0540406488
 111.1189364313  -35.5798394707
 251.0455127918  -43.7315196829
 309.8632660339   66.6230428548
 328.0033763522   44.6230848487
 350.6443135823   10.4966671252
 258.4986309056   36.6431492729
 209.2976694860   58.1071050097
 241.1525076044   75.3603022110
 171.6961384859  -10.2279342847
 147.1727280985  -70.7169845893
 143.5742665855   29.3991490163
 255.2801816378   69.9996071472
 345.0135522302  -26.7971362592
 242.7998773387   15.1652534548
 288.2727513907   39.1862343612
  55.9757437872  -34.3046473781
 359.3145929013  -24.5003933672
 310.4972733109   72.8035065759
 331.9862517180   24.2833071839
  31.2358866585   40.6989415332
 214.8233400417  -54.9262695543
 182.8367512141   16.9019100375
 190.7193992585   52.0195527810
  21.9254840004    4.0987105303
 332.5371631713   33.6068513192
 259.5403918153   46.4821932143
 351.5099613168   78.8824309761
 154.7154227829   44.6637425200
 287.0715700914  -19.1541576294
  39.2688605189    6.8350217898
 322.1955247340  -85.0154558200
  92.6126154123   12.1039381678
 152.9515511066   30.7138227030
 182.9657768853  -37.7578394342
 253.9044534106   24.8970693246
  68.4225791233   13.5478423410
 190.1430210067    5.1020665407
  80.3097261894   56.8163138460
 277.2130857472   20.2807902233
 334.2062038809    5.3374986448
 192.1686357348   56.8946297637
  65.3503761753   33.0119721587
 169.3283161874   14.8891022912
 127.1892996444   19.9020544280
 276.6091441972  -62.0600678041
 336.3866101172   27.2820279984
 127.9833433443   23.4578169333
 191.6401290217  -80.7006134065
 198.7488066445   19.2721390175
  54.9361206888  -58.2916744814
  39.3109512909  -26.7726718252
 248.7187010317    3.2815485843
  50.7676892154   81.5379226609
 192.6512868505   35.6173018582
  41.7076224218   61.6495379492
 224.1522109900   22.5368564871
 310.7872081655  -19.8045697241
 196.8265802050  -36.3912625157
 122.8039568076    5.9135389578
 245.3018415557   68.1934666758
 173.0421670540   18.8308269643
  79.1332913974  -38.8971337167
  85.6889333324  -74.8085865174
 288.7086586782   36.5464599782
 196.4095362748  -35.9333563456
 319.5050566108  -20.2391981989
 332.6502643380  -14.6621421797
 178.8463331261   30.0718430871
  90.9843838246  -24.2899196534
 146.3542155406   85.4554800636
 129.8891357226   -0.1954910606
 196.1397772051  -33.4917612639
  78.3537459400  -49.3352187532
 134.6446527502  -34.1886346968
 248.5936356837  -41.0294748754
 121.1059396880  -48.6599746096
 276.7422286597   11.5888087038
 283.9926521430   37.2367484032
 313.4622134855   32.2847949509
  57.4629620645   67.2499012239
  49.0626613969   23.0608888727
 323.0543394620   -7.0740029485
 164.6863813285  -73.7437592960
 309.6152587577   52.4927213804
 326.7154389155   16.6845113494
  20.4220678703    8.9157179005
 356.4542910264  -82.1175590633
 104.1003309925    5.9386294856
 189.4489833668   65.2012207880
  36.6585326143    9.2797299306
  29.8909527715  -57.7794447448
 197.0655539743  -23.6106175619
 247.1992208286   16.9566649788
 320.7599267060   44.9671602395
 228.3271744507   26.5334488799
 194.5529949419   38.3285407602
 260.2794670089  -29.7155564167
  90.6027243615   29.4687606487
 315.1988627761  -18.3666740573
 168.6666598603  -25.7252147899
 358.6127604393  -20.8915661402
 338.4769798437  -13.5187147843
 212.3424462963   60.6329719743
 189.0836837761   -8.9609655844
 247.2922674803    0.9427442625
 197.5541720973  -40.4779378348
 347.3704134078   35.6340303850
 188.6056131063   -5.5003364441
  29.0794769727    2.8910682378
 224.8205911946  -39.3717516074
 215.5769732712   24.9986447126
 326.0480249666  -25.9144481394
 147.4144600809   -0.2297363129
  94.7966500079   -0.6973599870
  51.2218151321   34.7258218941
 165.5883238280   19.6428247975
 136.6750608814   49.4726998895
   2.1029866754  -21.3389214255
 245.2962091242   38.0192866632
 253.7837162226   48.1643857795
 263.8320919049   -9.9393754545
 137.4451193528   24.4410791462
 346.5713364251  -37.5361381368
 319.4774737239  -15.0331160076
 283.3327036065    2.9034328625
  64.8129906768   15.2685606297
 112.9100278818  -12.7425545526
 212.8229653524   27.4160717711
 208.8740403682  -74.5859905937
  72.0331839106   46.0349916198
  65.2319058278   -2.7966120622
  21.2096865998   73.5990276607
 112.8032082511  -58.9222759052
 206.3185421268   17.4039697166
 179.3493429474  -35.8060696942
 169.0920957541  -47.8455682254
 302.9215590186  -34.7987086464
 255.6770555025  -30.2176726629
 110.2611109905  -68.3239059014
  14.7301337715  -24.4906200406
  65.8629853777  -44.0786579152
 330.8181619858   -6.8422485034
 306.0195935829    3.1435848343
 325.7175945458  -34.6815153292
  18.8368222787   -3.7641811032
 165.1590739113   62.4422088671
 122.5774458169   60.6302795691
 327.2329330541  -56.9766902318
 149.8840666497  -46.5423901105
 135.7789281816   27.8886946250
 185.0524936282   59.7093006374
 245.9927406613  -11.1494664791
 296.6055948652  -14.5704145788
 274.4166355861  -51.7419505820
 143.0794166075   -3.5025120881
 301.4446944803   68.9379938961
 342.2102462917   50.1402753695
  93.1977190120   27.4571438799
  12.1815817101   33.1749107793
 305.7046754629    3.4684588093
 252.5749735358   76.7253013488
 166.3334666411  -68.8232585303
 328.6183724848   36.2208361213
 311.1101994303    3.9040214291
 358.9430968546   34.0035617145
  11.6681770419   24.9299375487
  40.3058935750   52.2613095857
 116.8916773702  -31.5182318670
 352.9371329784  -11.8686624388
  46.3380866521  -34.3797685792
  44.4706647331  -56.7240521594
 272.9785377746    6.8221491034
   1.3197240862  -48.2521215328
 255.7966766072   -5.0876611511
 196.9112221684  -48.8140968897
 310.5175672786  -61.7119623077
 294.4581842441   77.5237388114
 299.8953653545   67.3419847773
  57.7611773077    6.5918108028
 340.1459397870  -48.6966656632
 273.9284132739   -1.9033105231
  73.5449727198  -64.0307071072
 265.9337140084  -77.8037238639
 149.3676379282   29.8663059803
  89.9789009915   16.1944455928
 211.1967716027  -11.9145225328
 287.0439067018  -48.9648135138
 143.9201993577  -30.7869632988
 175.4453410140  -43.5015706879
 301.1973278651   17.0176350514
 120.1738249137   33.7212259974
   7.9610407203  -18.2131857294
 220.1246781964  -38.6198410268
 159.3535937079    3.9595423351
 260.6235494682   18.8958746649
 143.6111726518  -29.6613011696
 292.5165818037  -32.1101458956
 143.1728486838   44.7028844387
 172.1135643907   53.4829162054
 242.2340546638   -9.3349642681
 214.0015250420  -60.8610661536
 192.9884390846   62.1122275585
  71.6786745703  -65.9101469571
 262.4632024106   37.3777532615
 134.2561550399    2.2355483059
  68.8552931116  -19.7711404594
  96.5903457643    7.6438638974
  89.6597833960  -37.2076877452
  58.6960677035    6.9070462311
 273.5423086489  -49.0516738775
  91.7882229868   -0.0483390030
  27.9629464188  -50.4528551380
 244.8311205331  -15.3945666925
 122.0587132948   48.7576603224
 238.2560630621   20.1266993538
 245.4357910020  -24.4765829183
 108.0758231991    2.4117057316
  69.2418095006  -33.3840307381
  79.8406838480  -12.7648129676
  39.4891398467  -19.5172327760
  15.9709740900    3.4380623602
 327.4915867992  -59.5541556139
  76.6288381265  -68.0110607601
  81.1932667005  -28.0639128297
 209.9867826291   45.6291819667
 328.5136682846   27.0892744119
 284.6661885185   48.6572488495
 260.8553500661   -4.2194876354
 117.5567283417  -40.9888606088
 135.7399046440  -25.7674290526
  78.6668479817   40.6790926284
 330.4605930190  -11.2380549344
 190.3079045860   30.8739615681
 282.6451767482  -45.7754063026
 133.5938567069  -36.8704314734
 335.0364393232   80.6660160354
  35.3030730983  -13.5002701052
 252.6675902278   41.5195247184
 323.5423162827  -12.2116389312
 300.8270765021   59.5345885624
 104.9702212884   44.8417725137
  92.1163408760  -30.4196342012
 190.4090628160  -26.3078401380
 149.2160793607   -6.9766849351
 138.9701857125   28.6734633542
 336.4710155455  -64.3651582571
 229.1691373412  -26.4108806360
 269.4455810073  -42.7372995117
 274.7190666615  -58.4326365937
 144.6119404716  -28.9356019813
  53.4513598557   81.5813198168
 190.9416191498  -41.3418813971
 256.4226737828   45.1896587648
  67.3745860202  -15.5799137609
 168.5207005052  -31.5723511787
 287.9862549009  -32.3463216237
 279.9648388247  -55.1204126943
  65.7468129807  -25.7671062550
  46.3958082300   55.4084441048
 250.5432761973   31.3310991725
 134.8977340907  -41.9465626863
 150.3872588315   -4.0442395789
 278.2983753595   41.8692964319
 353.0718689966   17.4664417631
 323.1811291685   12.8823544619
 305.7416293899  -74.2112108035
 283.9601899566  -15.6591750706
 218.8546673394   70.7236144245
 192.1624178466   -0.9337732885
 306.7589460794   -9.2278149683
 271.3955463680   34.7531759635
  33.3091494120   -7.2240701812
 106.7015179943   41.4767181701
 122.3705594901   48.2826616081
   4.6095412635    9.6578404383
 226.9538549021  -25.5741267830
 248.6690746035   -6.9051686442
 209.6930690434  -74.3926742483
 147.5492293112  -20.6139184755
 197.5572028633  -46.9331561679
 200.3534735114   27.2234767486
 281.5979298604  -70.6555739120
 350.9978220120  -19.3801704847
 187.9348800486  -11.5135232792
 187.4562117336  -22.1941392548
  60.3614135162  -43.9390855654
 113.0456884506  -49.7323016159
 315.8430208601   76.3748748111
 109.6402054806  -36.9172369846
 251.4550870439    7.4397773223
  98.4932510841  -15.3624012496
 314.1612222746  -30.1912779520
  95.0713577447   57.8584548201
 318.9365332103    3.1913896777
 357.2586176166   37.3492490245
  35.9865605784  -66.3708601385
 166.4269214217  -67.7112208998
 248.3768324783   -5.9092076815
 341.2777670060   28.4399231489
  43.1721199390  -38.0693384946
 297.7546508228  -70.9153091758
 168.9590007024  -47.4532541602
 335.5126110071  -30.7748780405
   1.2971904621  -31.7375557216
  58.3330677097  -49.9645301565
 199.1575174266   49.6450822251
  48.0943442656   34.6733799664
 112.8707470305   -4.7702396972
 211.3047239234   30.1824674142
  59.5077615655  -63.8988644601
 246.5768658968   26.4862526927
  87.6378586451  -37.3597016317
 235.6230682340   48.5239798258
 150.7833779023   42.9680136409
  95.9130663468  -58.4338533060
 106.7812355109  -51.7861278726
 333.0658009715   25.1317387257
 100.2616987332  -24.9016937160
 301.8287411943    5.5142176400
  62.4604871200  -51.9224530165
 127.0499133692  -41.6879508080
   7.9000750331   49.8351947705
 164.0066613336   36.0451757545
 149.2182784201  -17.6947932052
  31.0771750044   39.3837429728
 191.4532068436   62.3403993090
 119.0727734711   15.3358491088
 109.3106888589  -69.7710034251
  24.7540015281   -0.3482923839
 165.0592622867  -74.2622890182
  29.5027366750    8.2217827818
 358.4762412304   -6.9405209489
   3.5032093206  -27.4574299348
 129.0209038582  -22.6326743748
  62.0672353696   51.7833846959
 176.5748304001   24.6968920967
 317.5358250189  -84.3128890451
  36.6332205752   55.9900926053
  94.5129722884   25.3957552891
 251.8309869575  -27.5219399545
 189.5798793914    1.6430624334
 225.0336042720  -66.8278853121
 215.3222495383   63.0808843639
  21.2363826329  -61.1497603380
 284.8184680743   22.9137908325
  36.7617169968  -44.7719425919
 241.6249697165  -35.3506611384
  68.1089650922  -62.1653351586
 357.5524224362  -25.1768055085
 202.1365718824   56.6041762634
 226.3101056780   26.1219852547
 226.0111053655   26.9662310243
 307.8524656069   -3.6048177904
 109.5460069573   38.4946793924
 154.9723206975  -24.2588798490
 232.9960319652  -30.3332279772
 358.7885486700   42.9533070831
  66.0984749297   33.7266251410
  64.0523366783  -23.1316417464
 343.6160995878  -76.5233295465
 245.2683365933   66.7327348948
 335.4909783222    8.8209723825
 162.0005387569  -28.7933241776
 209.3598480986  -26.1815133100
 118.8698953308  -24.8060676518
  69.3562246024   36.7981486881
 231.1855501627   73.6130010086
 262.6801714211   15.6385266817
  57.5035878207   66.3962673191
 121.8281078568   29.0985504714
 256.5616842202   26.9292268618
   4.3084341060   21.4743283300
 277.4856942234  -68.6667943344
 272.4683069730  -11.9771740726
  34.8857965352  -61.2468221109
 297.7257055743   30.7768972428
 178.5321185956   43.4699538577
 191.3826021436   43.0565415166
 339.4846618111   10.7854718217
 139.5007022393   33.4798095349
 170.3975885823   12.1420858633
 184.4743982704   76.3810592310
 240.1243934729  -33.5802374720
 320.6139679775  -74.2174251574
 143.6043676082  -51.9948755921
 115.5371892718   73.2011552654
 308.4553891771  -43.0240719784
  34.4178170658   -2.0439091073
  40.4352238978   30.0976107755
 171.9611403070  -49.6463370320
  76.1952446185  -26.3573446633
 182.5461189598   11.8587097855
 195.0558424180   18.5680798940
 145.1814772103   44.2097275175
  70.9308158813  -57.8566690507
  87.2901226066   27.2669479820
  77.7396560164  -14.7471582483
 230.9218790873   29.3912895948
  28.3926090888   76.8800787090
 355.1235064734   44.2369854557
 280.3153997582  -41.7573049646
 240.1085687561   34.7836580948
  87.2667556954   61.8422814840
 263.2334875095   73.4108689791
