            lon             lat
--------------- ---------------
 219.5260837019  -19.6813924763
 285.5598102042   81.9074260401
 256.1638213073   41.6384711296
 211.6074771295   38.5161865779
 146.9186773356   25.5336418809
 114.5210479486    4.3139033500
 292.9667184218  -50.7448997133
 115.3934006697  -18.6075969938
 145.4378098499  -42.3548365378
 168.5950747543   15.4939299779
 129.5722422739  -51.8171636630
 211.0580546555    6.4034940619
 260.3988201148  -21.8825019109
 230.1704277691   25.2550119640
 350.6981201004   46.7870004976
  40.8783561546  -34.2333082020
 184.6684100397  -16.0061627054
 204.2229360664  -32.2601270164
 251.9303352905  -35.8640832920
 142.1460315280  -32.1209975922
 148.1973439228    5.8412624810
 167.8957177828   -0.8928467799
  72.6037125023   34.9467309522
   9.3365459208   10.0787903795
 137.6516088684   57.8920807135
 166.4383424374   -7.5129414912
 300.4376557819  -42.2135075191
 112.2626043762  -29.9245299101
 168.7626197346  -42.7582368526
 309.6286212522   17.5435392367
 294.6003352855  -29.9963487710
 183.6552997799   -9.9011132193
 224.8670289155  -45.2811132160
 229.9137081492    6.0936850922
  35.6473779321   -8.9390597745
 105.7347610188   27.1660396541
 142.7047672004   16.7919825667
 265.2976028252   -6.6739901945
 216.1351914594  -38.5616960434
 151.0213925141  -26.0082369589
 189.0566615169    0.1148627190
 146.8997595268   41.2744957574
  43.0922470222  -73.0609250488
 264.6076330352   10.7902333691
 358.2887658138  -11.5453310270
 257.1290017643   63.3236883969
 131.6044194476   50.4650318582
  47.7702043551   15.8027932775
 127.8226082941  -35.6371312013
 258.4263603311   39.7152083837
  93.2496468543   19.4592617711
 204.0641606309   31.6340785584
 142.3122304586  -55.2373490983
 251.7837870084  -52.9364793031
 147.5300298764   15.0751181127
 234.8896605138   33.8760577765
 103.9114547670   40.2229396908
 150.0432901037   74.9027625404
  12.5773565674  -32.4516551240
 225.1029645622  -40.3157606594
 154.0493412187   71.4591882231
   9.1631113967   -4.0894702485
 108.5700261501   12.0946437167
 331.7863982222    7.1025213593
 298.2197544557    5.8199660239
 100.1418219721  -38.6116525367
 188.2627231914   10.0011453583
 125.4896186897   17.4609130576
 208.5713847672   12.0634491048
 114.9238128516  -10.9834375879
 320.1306542530  -72.9134792402
  52.4849598549    5.6766761490
  74.2751297611   86.2413586721
 162.7169679571   -6.0192151529
 108.5713537667   36.3750412282
 324.5286868363   31.0203033416
 351.9221080740    5.7367089125
 168.2844251482  -45.3980925102
  52.8567235170    6.1082919557
 306.2608142071  -66.2397759866
 286.3167794648  -56.2700883149
 121.0270182050   29.6348609858
 319.8666809669   48.3820270026
 178.1632629527   10.9999092165
  56.9028601275   77.1333231291
  55.1990991336    6.8790624584
 332.6175583660   23.4255771952
  18.9113527726   46.3204458586
  44.7509972255  -33.7169398666
   1.8237705366   34.3512614088
 129.8734000499  -60.9829398051
 163.5527826747  -43.5782535536
 198.6165479688  -48.4564959394
 201.1454905933   17.0811539489
 248.2019700459   20.9908098875
 272.0214940527  -66.2987498306
  11.8325886899    4.4926758913
 187.5892459880  -29.8806306837
 229.0642909265  -53.9265382781
 260.2828623981   -7.4918118207
 353.5222763902  -11.1663258670
 273.3146983377   74.9897381750
 156.2074883509   14.5099964167
 261.8773140829    8.4642026782
 327.8913345607   -5.5039384031
  65.1142905046    8.1750651942
 115.8719711284  -33.3365461919
 198.7049465949  -34.5663165945
 119.8204783055  -13.7243738558
 128.2080820458   15.7660133364
  53.3310724270  -46.9770463881
 226.7380610038   54.9464623356
 307.9322042567  -70.6723441212
  54.0517246842   31.8843189926
 290.5010292722  -30.9791578266
 283.1565987569  -50.8171430124
 150.8585277858    4.5151881687
  78.3620253229   18.5352580638
  96.8866917179  -37.6391886614
  48.6149763136    4.2067845680
 223.5301356265  -27.8475095518
  81.8815781874   19.6013023334
 267.3954843283    0.2588124073
  51.2023089173  -16.4921014372
 115.8874448747   -2.8162261409
 309.8907444450  -58.1416869069
  77.1012050217   60.9222620969
 286.8085718014   64.5023355951
 235.5475126427   22.0447278603
 110.7687120239   43.2555355948
 164.2271496468   45.0153776277
 290.7589747525  -27.7004579693
 136.6534873193  -22.7276328219
 149.4711587195  -22.0031020074
  82.8830913559  -54.9341308693
 137.2576395161   65.2660203271
 313.0336319084  -37.3473761331
 294.0540716761  -68.5161133716
 121.7323011515  -71.3645367930
 256.4290164930   36.1511471216
 342.7310144104   69.3354664166
 117.9158657006   -0.0168775816
  15.7966774772   -6.6321228377
 218.0262835822   33.7794591659
 278.7091674156   35.2876779896
 196.5652095591    4.4431317367
 356.6852356524   23.9165472005
 107.2638051021    4.7844933165
  48.4524770247   19.2339219477
  33.3590641137   19.8192182102
 353.7185754038  -61.9507608590
  54.8184425753  -43.0983666763
 356.8893695944   14.4512902436
 293.8193543889  -15.9939172761
 322.4730790260   19.9829908451
 272.0128930007  -58.5887174573
 214.5629349801  -77.7992562473
 322.5845217776  -53.0527669285
 272.8116623904  -10.6992512267
 158.6919985037   25.2490550043
 178.2054636455   36.2714329513
 341.9496597156  -35.3809606479
  24.1900498303   29.9331723584
 145.3404629178   63.8244735433
 151.3238962606   18.0150748335
  81.5423510181  -37.3808070525
