             az             alt
--------------- ---------------
 307.6462631123   -1.8083032589
  61.3486672394   50.5503122278
 343.8130537656   62.7968555909
 359.2009681565   30.4211096306
  31.6645844094  -15.1218698796
  61.0669135045  -43.1229218826
 243.0897544669   -3.2915098132
  57.6616118492  -65.9814097459
 322.3888344587  -66.2859130804
   8.4875394944  -12.8009703393
 307.5860517111   -1.3852465509
  61.5991711877   50.0699161626
 344.7846492926   62.9340642876
 359.4681803074   30.4177171845
  31.4892522125  -15.4136539715
  60.7755847751  -43.6008467361
 243.0515499972   -2.8042671809
  56.9659495514  -66.4423807438
 321.3621892297  -65.9592161975
   8.3149228153  -12.8896501810
 307.7304734318   -1.7310402083
  61.4748470923   50.4314899970
 344.1395119336   62.8024075504
 359.3586121222   30.3940100280
  31.7282170762  -15.2091156853
  61.1232765111  -43.2415599279
 243.1785374464   -3.1717653595
  57.6590544542  -66.0978695838
 322.2208078831  -66.2353398125
   8.5487210244  -12.8469944677
 307.6684199763   -1.3072090770
  61.7210282682   49.9482642427
 345.1150855644   62.9364565029
 359.6245146968   30.3883919169
  31.5495797568  -15.5031866144
  60.8287604045  -43.7220055833
 243.1375709966   -2.6818652481
  56.9562110099  -66.5610574405
 321.1915533868  -65.9066110972
   8.3729640603  -12.9373034096
 307.8143102883   -1.6515977853
  61.6023102552   50.3110954476
 344.4692642365   62.8087448546
 359.5169436425   30.3675298342
  31.7906026444  -15.2968277789
  61.1773619762  -43.3617133919
 243.2668643093   -3.0504141332
  57.6510431877  -66.2156936175
 322.0505960011  -66.1823452761
   8.6088024034  -12.8925483367
